Nynorsk Norwegian	Limburgish	probability
b	b	1.0
d	d	0.597
d	t	0.286
d	-	0.116
e	j	0.309
e	ə	0.305
e	ˈɔu̯	0.224
e	-	0.162
f	v	0.929
f	ˈv	0.071
h	ɦ	1.0
j	ɣ	0.433
j	ˈeː	0.318
j	-	0.177
k	k	0.797
k	ʦ	0.086
k	ʃ	0.069
kʰ	k	0.913
kʰ	v	0.087
l	l	0.759
l	l_ə	0.121
l	ə_l	0.05
lː	l	0.506
lː	w	0.213
lː	j	0.144
lː	ʀ	0.137
m	m	0.776
m	ə_m	0.11
m	-	0.059
m	f	0.055
mː	m	1.0
n	n	0.816
n	-	0.184
nː	n	0.699
nː	ʀ	0.157
nː	n_d	0.076
p	p	0.741
p	p_ə	0.188
p	ə_p	0.071
pʰ	p	1.0
s	s	0.502
s	z	0.427
s	-	0.061
sː	s	1.0
t	t	0.881
t	-	0.119
tʰ	d	0.554
tʰ	t	0.293
tʰ	b	0.08
tʰ	t_β	0.073
v	β	1.0
ç	k	0.449
ç	d	0.337
ç	t	0.166
çː	t	1.0
ŋ	-	0.531
ŋ	ɪ	0.469
ŋː	ŋ	1.0
ɑ	ə	1.0
ə	-	0.841
ə	j	0.159
ɛ	ə	0.531
ɛ	-	0.469
ɡ	ɣ	0.466
ɡ	x	0.388
ɡ	k	0.083
ɡː	k	0.404
ɡː	-	0.298
ɡː	x	0.298
ɪ	ə	1.0
ɲ	ŋ	1.0
ɾ	ʀ	0.968
ʃ	ʃ	0.486
ʃ	s	0.222
ʃ	z	0.183
ʃ	-	0.109
ʉ	-	1.0
ʋ	β	0.517
ʋ	v	0.284
ʋ	f	0.177
ʰkː	ŋ_k	0.676
ʰkː	k	0.324
ʰtː	x	1.0
ˈeː	ˈeː	0.597
ˈeː	ˈɛ	0.09
ˈeː	ə	0.089
ˈeː	ˈi	0.083
ˈeː	ˈɔː	0.071
ˈeː	ˈɛi̯	0.07
ˈiː	ˈiː	0.394
ˈiː	ˈeː	0.278
ˈiː	ˈɛ	0.093
ˈiː	ˈɛː	0.083
ˈiː	ˈi	0.075
ˈiː	ˈɪ	0.061
ˈoː	ˈɒː	0.578
ˈoː	ˈiː	0.127
ˈoː	ˈʊː	0.078
ˈoː	ˈi	0.071
ˈoː	j	0.055
ˈoː	ˈøː	0.051
ˈuː	ˈʊː	0.391
ˈuː	-	0.194
ˈuː	ˈoː	0.152
ˈuː	ˈɔ	0.126
ˈuː	ˈøː	0.053
ˈyː	ˈiː	0.242
ˈyː	ˈøː	0.242
ˈyː	ˈeː	0.232
ˈyː	ˈœi̯	0.197
ˈyː	ˈyː	0.087
ˈæ	ˈæː	1.0
ˈæɪ̯	ˈɛː	0.636
ˈæɪ̯	ˈɛːi̯	0.245
ˈæɪ̯	ˈɛ	0.119
ˈæʉ̯	ˈu	0.503
ˈæʉ̯	ˈɔː	0.289
ˈæʉ̯	ˈɔu̯	0.208
ˈæːɪ̯	ˈɛː	1.0
ˈøː	ˈøː	0.345
ˈøː	-	0.223
ˈøː	ˈɪ	0.148
ˈøː	ˈi	0.141
ˈøː	j	0.107
ˈœ	-	0.732
ˈœ	ˈɛː	0.268
ˈœʏ̯	ˈuː	0.497
ˈœʏ̯	ˈyː	0.191
ˈœʏ̯	ˈœi̯	0.181
ˈœʏ̯	ˈɔː	0.131
ˈɑ	ˈɑː	0.302
ˈɑ	ˈaː	0.273
ˈɑ	ˈɑ	0.232
ˈɑ	ˈæ	0.072
ˈɑ	ˈæː	0.067
ˈɑ	ˈɒː	0.054
ˈɑː	ˈaː	0.531
ˈɑː	ˈɒː	0.168
ˈɑː	ˈɑ	0.155
ˈɑː	ˈœ	0.094
ˈɑː	ˈɑː	0.052
ˈɔ	ˈœː	0.498
ˈɔ	ˈoː	0.173
ˈɔ	ˈɑ	0.097
ˈɔ	ˈʊː	0.063
ˈɔ	ˈʏː	0.059
ˈɔ	ˈɔ	0.056
ˈɔ	ˈæ	0.053
ˈɛ	ˈɑ	0.297
ˈɛ	ˈaː	0.109
ˈɛ	ˈæː	0.094
ˈɛ	ˈeː	0.082
ˈɛ	ˈɛ	0.082
ˈɛ	ˈɪ	0.075
ˈɛ	ˈiː	0.071
ˈɛ	ˈɛːi̯	0.054
ˈɛː	ˈeː	1.0
ˈɪ	ˈɪː	0.699
ˈɪ	ɪː	0.11
ˈɪ	ʀ	0.055
ˈʉ	ˈɔ	0.256
ˈʉ	ˈʊː	0.182
ˈʉ	ˈɔː	0.176
ˈʉ	ˈuː	0.163
ˈʉ	ˈoː	0.085
ˈʉ	ˈyː	0.074
ˈʉ	ˈɪ	0.064
ˈʉː	ˈeː	0.438
ˈʉː	ˈuː	0.434
ˈʉː	ˈoː	0.063
ˈʉː	ˈɔ	0.06
ˈʊ	ˈʊː	0.658
ˈʊ	ˈʊ	0.11
ˈʊ	ˈæ	0.073
ˈʊ	ˈœi̯	0.073
ˈʊ	ˈøː	0.064
ˈʏ	ˈʏ	0.34
ˈʏ	ˈɪː	0.161
ˈʏ	ˈœ	0.121
ˈʏ	-	0.092
ˈʏ	ˈɔ	0.092
ˈʏ	ˈɛː	0.077
ˈʏ	ˈœi̯	0.067
ˈʏ	ˈʏː	0.05
