Macedonian	Ukrainian	probability
d	d	1.0
i	ˈɪ	1.0
j	j	1.0
z	z	1.0
ʒ	ʒ	1.0
ʣ	zʲ	1.0
ʧ	ʧ	1.0
ˈi	ˈɪ	1.0
ˈu	ˈu	1.0
f	-	0.361
o	ɔ	0.791
p	pʲ	0.051
t	d	0.11
v	ʋ_j	0.081
ɛ	i	0.061
ɛ	ˈɛ	0.061
ɛ	ɐ	0.111
f	x	0.202
k	k	0.842
n	n_e	0.2
n	n	0.402
s	<#_x	0.062
ɛ	ˈɪ	0.12
ˈo	ˈɔ	0.412
ˈɛ	ɛ	0.112
ˈɛ	ˈi	0.382
r	ɔ_r	0.133
r	rʲ	0.153
r	r	0.713
s	s	0.653
ɛ	ˈɑ	0.093
ɡ	j_#>	0.093
ɡ	ɦ	0.63
ɫ	ɔ_ɫ	0.053
ˈa	ˈɔ	0.263
ˈɛ	j_ˈɑ	0.053
ˈɛ	ˈɛ	0.073
ˈɛ	i	0.083
m	mʲ	0.074
p	b	0.404
ˈa	ˈɑ	0.324
ˈo	ɔ	0.284
ˈo	ˈi	0.304
ˈr̩	ˈɛ_r	0.504
ˈɛ	ɐ	0.064
a	ɐ	0.315
n	nʲ	0.395
ɫ	lʲ	0.165
ʦ	ʦ	0.35
ʦ	ʦʲ	0.65
a	ˈa	0.126
l	lʲ	0.426
m	m	0.926
p	p	0.546
t	tʲ	0.316
v	w	0.086
v	ʋ	0.496
ɛ	ɛ	0.366
ɫ	ɫ_e	0.106
ˈr̩	r	0.496
a	-	0.07
f	w	0.437
l	ɔ_ɫ	0.197
l	ɫ	0.377
t	t	0.567
v	ʋʲ	0.337
ɛ	ˈi	0.187
ɡ	ɦ_ˈɔ	0.277
ˈa	ˈu	0.107
ˈa	ɔ	0.217
k	ɦ	0.158
ɫ	ɫ	0.608
ˈɛ	ɔ	0.148
a	ˈɑ	0.489
b	b	0.959
o	ˈɔ	0.209
s	sʲ	0.279
ɫ	ʍ	0.069
ˈa	ˈi	0.09
