Romagnol	Romagnol	probability
ˈɛ̃	ˈɛ	1.0
ˈɛ_#>	ˈɛ_#>	1.0
ˈɔ	ˈɔ	1.0
ˈou̯_n	ˈu_n	1.0
ˈo_j	ˈɔ_ʎ	1.0
ˈi_#>	e_#>	1.0
ˈeː	ˈɛ	1.0
ˈeə̯_#>	ˈa_#>	1.0
ˈe	ˈe	1.0
ˈaː	ˈa	1.0
ˈa_t	ˈa_tː	1.0
ˈa	ˈa	1.0
ʧ	c	1.0
ʤ	ɟ	1.0
ɲ	ɲ	1.0
ɡ_ɐ	k_a	1.0
ɐ_v	a_p	1.0
ɐ_r	e	1.0
ɐ_d	a_t	1.0
ŋ	ŋ	1.0
w	w	1.0
v_ɐ	v_e	1.0
u_l	u_l	1.0
u_f	fː	1.0
t_ɐ	t_e	1.0
t_r_i_#>	#>	1.0
t_#>	t_u_#>	1.0
r_ɐ	r	1.0
r_#>	#>	1.0
p	p	1.0
m_ɐ	m_a	1.0
m_b	mː	1.0
m_#>	m_e_#>	1.0
m	m	1.0
l_ɐ	a	1.0
k_r	k_r	1.0
j̃	n	1.0
j_ˈeə̯	j	1.0
f	f	1.0
e	e	1.0
a	a	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ɐ	<#_a	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
r	r	0.93
ˈeə̯	ˈa	0.913
ð	ɟ	0.9
k	k	0.881
ɐ	a	0.833
b	b	0.833
d	d	0.781
i	i	0.778
s	s	0.775
n	n	0.767
j	j	0.75
ˈʌ̃	ˈa	0.72
v	v	0.706
ˈɛə̯	ˈe	0.7
ɡ	ɡ	0.684
ˈɔə̯	ˈɔ	0.667
#>	u_#>	0.657
ˈi	ˈi	0.65
l	l	0.611
z	ʧ	0.571
t	t	0.567
ˈẽ	ˈi	0.545
θ	ʧ	0.5
ˈou̯	ˈɔ	0.5
u	u	0.5
ˈɛ	ˈɛ	0.481
ˈẽ	ˈɛ	0.455
ˈu	ˈu	0.444
ˈo	ˈu	0.435
ˈõũ̯	ˈɔ_n	0.429
ˈo	ˈɔ	0.391
ˈu	ˈo	0.333
ˈou̯	ˈo	0.333
u	ˈɔ	0.333
t	tː	0.333
ɡ	k	0.316
l	lː	0.315
ˈɛə̯	ˈɛ	0.3
ˈõũ̯	ˈo_n	0.286
ˈõũ̯	-	0.286
ˈʌ̃	ˈa_n	0.28
ˈɛ	ˈe	0.259
j	ʎ	0.25
#>	e_#>	0.248
ˈɔə̯	ˈo	0.238
ˈu	ˈɔ	0.222
i	e	0.222
v	w	0.206
ˈi	ˈe	0.2
d	t	0.188
ˈɛ	ˈi	0.185
ˈo	ˈo	0.174
ˈou̯	ˈu	0.167
u	o	0.167
θ	ʦː	0.15
θ	-	0.15
ˈi	ˈɛ	0.15
s	sː	0.15
z	ʒ	0.143
z	z	0.143
z	-	0.143
k	kː	0.119
ɐ	e	0.107
θ	ʧː	0.1
θ	ʦ	0.1
ð	ʣ	0.1
t	t_e	0.1
ˈɔə̯	-	0.095
v	p	0.088
ˈeə̯	ˈa_r	0.087
b	bː	0.083
b	-	0.083
s	ʃ	0.075
ˈɛ	-	0.074
n	ŋ	0.07
n	-	0.07
#>	a_#>	0.051
