East Low German	Danish	probability
ae̯	-	1.0
kʰ	kʰ	1.0
pʰ	pʰ	1.0
tʰ	ʦʰ	1.0
z	s	1.0
ɣ	-	1.0
ˈeː	ˈɔˀ	1.0
ˈøː	ˈʌ	1.0
d	d̥	0.311
n	-	0.051
s	s	0.981
ç	ŋ	0.051
ŋ	ŋˀ	0.251
ˈae̯	ˈɛˀ	0.051
ˈae̯	ˈeˀ	0.381
ˈyː	ˈy	0.531
ˈœː	ˈɒ	0.081
ˈɒː	ˈɔː	0.21
ˈɛ	ˈeˀ	0.071
ˈɛ	ˈœː	0.121
ˈɛ	ˈiː	0.121
ˈʊ	ˈɔ	0.441
ˈʏ	ˈy	0.051
d	-	0.372
k	k	0.242
r	ʁ	0.982
t	ð̞ˠ	0.672
w	ˈo	0.282
æ	ɐˀ	0.102
ç	t	0.052
ç	-	0.212
ŋ	jˀ	0.062
ɾ	ʁ	0.162
ˈae̯	ˈiˀ	0.062
ˈaʊ̯	ˈʌ	0.142
ˈuː	ˈuˀ	0.382
ˈɔ	ˈœ	0.132
ˈɔ	ˈɛ	0.262
ˈɛ	ˈuˀ	0.112
ˈɛː	ˈa	0.092
ˈɛː	ˈɛˀ	0.192
ˈʊ	ˈʌ	0.152
b	b̥	0.963
f	f	0.703
h	h	0.893
æ	ʌ	0.163
ɡ	ɡ̊	0.823
ˈaʊ̯	ˈoˀ	0.273
ˈaː	ˈa	0.53
ˈyː	-	0.113
ˈœː	ˈu	0.093
ˈɒː	ˈɒ	0.053
ˈɒː	ˈa	0.133
ˈɔʏ̯	ˈœ	0.213
ˈɛ	j	0.063
ˈɛ	ˈɛ	0.113
ˈɪ	ˈø	0.063
ˈɪ	ˈyː	0.063
l	lˀ	0.224
l	l	0.764
n	n	0.574
ç	k	0.094
ç	w	0.094
ç	ɡ̊	0.24
ɪ	e	0.114
ɪ	ə	0.344
ɪ	ŋ	0.344
ɾ	-	0.154
ʃ	s	0.984
ˈaɪ̯	ˈɛ	0.824
ˈaː	ˈæː	0.144
ˈiː	ˈiˀ	0.474
ˈoː	-	0.314
ˈœː	ˈoˀ	0.204
p	b̥	0.75
v	-	0.225
x	j	0.515
æ	ɐ	0.615
ɡ	-	0.105
ɾ	ˈɑː	0.095
ɾ	ˈo	0.265
ˈa	ˈɑ	0.295
ˈaʊ̯	ˈœˀ	0.185
ˈaː	ˈɛ	0.055
ˈaː	ˈɑˀ	0.215
ˈuː	ˈœ	0.065
ˈœ	ˈɛ	0.115
ˈɒː	ˈɑ	0.05
ˈɔʏ̯	ˈøː	0.295
ˈɛː	ˈe	0.195
ˈɪ	ˈe	0.595
ˈʊ	ˈu	0.325
ˈʏ	ˈɔ	0.055
ˈʏ	ˈɛ	0.125
f	mˀ	0.06
j	ˈɔˀ	0.076
k	jˀ	0.106
k	j	0.356
t	-	0.056
ɾ	ˈoː	0.086
ˈa	ˈɛ	0.16
ˈa	ˈa	0.296
ˈaɪ̯	ˈyː	0.176
ˈaː	-	0.056
ˈɛː	ˈi	0.056
ˈɛː	ˈiˀ	0.116
ˈɛː	ˈɛː	0.136
ˈɪ	ˈiˀ	0.116
ˈʏ	ˈɑ	0.106
f	-	0.097
h	j	0.107
k	-	0.187
n	nˀ	0.137
v	ʋ	0.757
ˈaʊ̯	ˈɔˀ	0.07
ˈaʊ̯	-	0.137
ˈiː	ˈi	0.077
ˈiː	ˈɛˀ	0.077
ˈuː	ˈo	0.207
ˈyː	ˈøː	0.127
ˈœ	ˈʌ	0.067
ˈɒː	ˈɔˀ	0.27
ˈɔ	ˈʌ	0.407
ˈɔʏ̯	ˈɶˀ	0.147
ˈɔʏ̯	ˈœˀ	0.247
ˈʏ	ˈø	0.207
ˈʏ	ˈœ	0.457
f	w	0.098
j	ɡ̊	0.898
n	ə	0.228
t	t	0.238
w	ʋ	0.718
x	t	0.158
x	-	0.328
ç	j	0.188
ŋ	-	0.18
ŋ	ə	0.318
ɪ	i	0.198
ˈae̯	ˈyˀ	0.068
ˈaʊ̯	ˈʌˀ	0.08
ˈiː	ˈiː	0.218
ˈoː	ˈɒˀ	0.158
ˈoː	ˈɑˀ	0.158
ˈuː	ˈɶ	0.068
ˈɒː	ˈʌ	0.128
ˈɔʏ̯	ˈøˀ	0.098
ˈɛː	ˈiː	0.168
d	ʦʰ	0.309
k	ɡ̊	0.109
m	w	0.109
m	mˀ	0.109
m	m	0.739
p	p	0.209
ç	s	0.069
ŋ	ŋ	0.189
ɾ	ˈeˀ	0.239
ˈae̯	ˈyː	0.219
ˈoː	ˈo	0.099
ˈoː	ˈœˀ	0.229
ˈuː	ˈuː	0.159
ˈyː	ˈyˀ	0.229
ˈœ	ˈoː	0.409
ˈœ	ˈɶ	0.409
ˈœː	ˈœ	0.299
ˈœː	ˈyˀ	0.299
ˈɔ	ˈu	0.199
ˈɛ	ˈœ	0.079
ˈɛ	ˈɑ	0.079
ˈɛ	ˈe	0.149
