Bavarian	Old Frisian	probability
β	-	1.0
ˈɛ	ˈe	1.0
ˈɒː_ŋ	ʣ	1.0
ˈɑː_m	bː	1.0
ˈɑ_n	ˈoː	1.0
ˈu_ɡ̊	ˈe_ɡː	1.0
ˈou̯	ˈaː	1.0
ˈiː	ˈi	1.0
ˈi_n	ˈe_n	1.0
ˈau̯	ˈuː	1.0
ˈa	-	1.0
ʋ	w	1.0
ʃ_d̥	s_t	1.0
ɑ	ə	1.0
ɐ_d̥	r_d	1.0
ç	k_ə	1.0
sː	t_ə	1.0
s_n	t_ə	1.0
r	r	1.0
l	l	1.0
kʰ	ʦ	1.0
j_d̥	l_d	1.0
i	-	1.0
h	h	1.0
fː	p	1.0
f_ˈo	f_ˈu	1.0
f	f	1.0
eː	iː_n	1.0
d̥_n	d_ə	1.0
j	l	0.903
b̥	b	0.868
ˈiɐ̯	ˈi̯aː	0.857
ˈe	ˈe	0.848
a	ə	0.82
ˈuɐ̯	ˈoː	0.8
m	m	0.777
ˈoɐ̯	ˈɛː	0.771
ʦ	t	0.705
ˈi	ˈi	0.651
ˈɑː	-	0.648
d̥	d	0.64
ɐ	r	0.631
b̥͡v̥	p	0.622
n	n	0.611
ʃ	s	0.592
ˈɒ	ˈɔː	0.549
ˈu	ˈu	0.547
ˈaː	ˈaː	0.541
ˈɑ	ˈa	0.523
ˈai̯	ˈiː	0.52
ˈoː	ˈeː	0.504
ə	ə	0.5
ə	-	0.5
s	s	0.489
x	x	0.483
ˈɑ	-	0.477
ˈaː	-	0.459
ˈɒ	ˈe	0.451
ŋ	ŋ	0.446
ˈeː	ˈe	0.439
ʃ	s_k	0.408
ˈɒː	-	0.4
b̥͡v̥	pː	0.378
ɡ̊	k	0.374
ˈo	ˈa	0.356
ˈɑː	ˈa	0.352
ˈɒː	ˈe	0.346
ˈoː	ˈɔː	0.322
ŋ	ɣ	0.305
ʦ	tː	0.295
x	k	0.284
s	t	0.278
ˈo	ˈɔː	0.259
ˈɒː	ˈa	0.255
ˈo	ˈo	0.251
ˈai̯	-	0.25
x	k_ə	0.232
ˈai̯	ˈi̯uː	0.23
ˈoɐ̯	ˈaː	0.229
ɐ	ə_r	0.225
ˈeː	-	0.216
ˈeː	ˈɛː	0.203
ˈuɐ̯	ˈeː	0.2
ˈi	-	0.197
n	nː	0.195
n	ə	0.194
s	z	0.177
ˈoː	-	0.174
ɡ̊	ɣ̥	0.17
ɡ̊	j	0.166
ɡ̊	ɣ	0.157
ŋ	-	0.156
ˈu	ˈo	0.151
ˈiɐ̯	-	0.143
ˈeː	ˈaː_n	0.142
ˈu	-	0.14
ˈo	ˈu	0.134
ɡ̊	-	0.134
b̥	-	0.132
d̥	θ	0.116
ɐ	r_ə	0.106
d̥	ð	0.103
ˈe	-	0.102
ˈi	ˈe	0.097
j	-	0.097
ŋ	ŋ_ɡ	0.093
a	ɡ_ə	0.09
a	j_ə	0.09
ˈu	ˈɔː	0.083
ˈu	ˈi	0.08
m	-	0.08
m	mː	0.079
d̥	t	0.077
m	v	0.064
d̥	dː	0.063
s	t_ə	0.056
ˈi	ˈo	0.055
ˈe	ˈeː	0.05
