Romanian	Catalan	probability
e̯ˈa	ˈe	1.0
f	f	1.0
kʲ	ʎ	1.0
v	b	1.0
ŋ	ŋ	1.0
ɨ	-	1.0
ʒ	ʒ	1.0
ʧʲ	-	1.0
ˈau̯	ˈɔ	1.0
ˈɨ	ˈa	1.0
k	ɣ	0.051
m	m	0.961
t	-	0.141
w	w	0.591
z	d	0.741
ʤ	ʒ	0.681
ˈe	ˈɛ_w	0.141
d	t	0.092
k	-	0.142
l	l	0.352
n	-	0.222
o̯ˈa	ˈu	0.112
u	ə	0.232
u	u	0.682
ʦ	w	0.142
ʧ	k	0.062
ˈe	ˈɛ	0.382
ˈi	ˈe	0.182
i	i	0.403
j	-	0.913
n	ɲ	0.143
o̯ˈa	-	0.053
ɡ	ɡ	0.793
ʦ	-	0.553
ˈi	ˈɛ	0.33
e	ə	0.764
o	u	0.394
o̯ˈa	ˈɔ	0.834
r	l	0.104
s	ə_s	0.234
s	s	0.74
ˈa	ˈɛ	0.114
ˈu	ˈu	0.384
d	d	0.65
t	t	0.585
ʃ	s	0.695
ʦ	t	0.305
b	-	0.066
b	β	0.376
e	-	0.216
o	-	0.606
t	ð	0.226
u	-	0.086
ə	ə	0.96
ɡ	ɣ	0.166
ˈo	ˈo	0.096
ˈo	ˈu	0.096
ˈu	ˈo	0.206
d	-	0.257
i	ə	0.597
j	ʎ	0.087
k	k	0.807
p	-	0.097
p	j	0.117
p	p	0.777
r	r	0.27
r	ɾ	0.417
ʃ	<#_ə	0.097
b	b	0.558
l	ʎ	0.648
ʃ	-	0.208
ʧ	s	0.838
ˈa	ˈe	0.158
ˈe	ˈe	0.368
ˈi	ˈi	0.418
ˈo	ˈɔ	0.808
a	ə	0.969
n	n	0.599
r	-	0.209
w	-	0.409
z	-	0.259
ʤ	-	0.319
ʧ	-	0.099
ˈa	ˈa	0.699
ˈe	ˈi	0.109
ˈi	-	0.069
ˈu	ˈɔ	0.409
