Nuorese	Nuorese	probability
ˈɔ_t	ˈɔ_t	1.0
ˈu_p	ˈʌu̯_v	1.0
ʣ_u	j	1.0
ɾ_t	r_t	1.0
ɾ_a	r_a	1.0
ɲ	ɲ	1.0
ɛ̆_#>	#>	1.0
ɛ_ɾ	e	1.0
ɛ_n_ɛ_#>	#>	1.0
ɛ_#>	#>	1.0
ɖː	l	1.0
ɔ̆	-	1.0
ŋ	ŋ	1.0
z_u	z	1.0
u_z_ŭ_#>	#>	1.0
t_a	d_a	1.0
s_u_#>	s_#>	1.0
s_i	z	1.0
s	s	1.0
p_ɛ	v	1.0
p	p	1.0
nː_u	ŋ_d	1.0
n_ɛ_#>	#>	1.0
n_u_#>	ŋ_#>	1.0
l	l	1.0
k_ɾ	ʧ	1.0
k_ɛ_#>	z_#>	1.0
k_i	θ	1.0
k_e	θ	1.0
j_u_#>	#>	1.0
i_ð	d	1.0
f	f	1.0
e	e	1.0
d	d	1.0
a_#>	#>	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈaː	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_θ	1.0
<#_d	<#_d	1.0
<#_b	<#	1.0
<#_a	<#	1.0
#>	a_#>	1.0
u_#>	#>	0.957
a	a	0.867
m	m	0.857
t	t	0.821
k	k	0.8
ɡ	ð	0.778
z	-	0.778
i	-	0.739
ɣ	-	0.714
u	u	0.714
r	r	0.714
ɾ	r	0.687
n	ŋ	0.676
ð	d	0.667
nː	ɲ	0.625
ʦ	θ	0.6
o	u	0.6
k_u_#>	ɡ_#>	0.571
b	v	0.552
ˈa	ˈɛ	0.533
β_ɛ	v_e	0.5
β_ɛ	v	0.5
β	v	0.5
β	-	0.5
ˈe	ˈɛ	0.5
ɔ	u	0.5
ɔ	-	0.5
j	j	0.5
j	-	0.5
ɛ	r	0.478
b	b	0.448
ʣ	-	0.444
ˈɔ	ˈɔː	0.44
k_u_#>	k_#>	0.429
ʦ	t	0.4
o	-	0.4
ˈi	ˈe	0.389
nː	n	0.375
ˈu	ˈo	0.344
ˈo	ˈɔː	0.333
ʣ	j	0.333
ð	-	0.333
ˈɛ	ˈɛ	0.308
ɣ	ɡ	0.286
u	-	0.286
r	r_e	0.286
ˈu	ˈuː	0.281
n	n	0.265
ˈo	ˈuː	0.25
ˈo	ˈo	0.25
ˈɛ	ˈa	0.231
ˈi	ˈa	0.222
ʣ	ð	0.222
ɡ	ʤ	0.222
z	z	0.222
ˈa	ˈa	0.217
ˈɔ	ˈʌu̯	0.2
ˈa	ˈaː	0.2
ɛ	-	0.174
i	i	0.174
ˈo	-	0.167
ˈi	ˈiː	0.167
ˈɔ	ˈʌ	0.16
ˈɛ	ˈɛː	0.154
ˈɛ	ˈæ	0.154
ˈɛ	ˈiː	0.154
ɛ	ˈiː	0.13
ɛ	v	0.13
ˈu	ˈʌu̯	0.125
ˈu	ˈʌ	0.125
ˈu	ˈɔ	0.125
ˈɔ	ˈo	0.12
k	ɡ	0.114
t	d	0.103
ˈe	ˈɛː	0.1
ˈe	ˈæ	0.1
ˈe	ˈiː	0.1
ˈe	ˈe	0.1
ˈe	-	0.1
ɾ	j	0.096
ɛ	e	0.087
i	e	0.087
m	ŋ	0.086
k	-	0.086
ˈi	ˈa_j	0.083
ˈi	-	0.083
a	-	0.083
ˈɔ	-	0.08
t	θ	0.077
n	-	0.059
m	ŋ_k	0.057
ˈi	j	0.056
