Asturian	Aragonese	probability
b	b	1.0
d	d	1.0
f	f	1.0
k	k	1.0
l	l	1.0
p	p	1.0
r	r	1.0
s	s	1.0
t	t	1.0
ɟ͡ʝ	ʝ	1.0
ɡ	ɡ	1.0
ɣ	ɣ	1.0
ʝ	ʎ	1.0
ˈu	ˈu	1.0
w	w	0.881
ʎ	p_l	0.051
ˈe	ˈe	0.91
a	a	0.962
i	i	0.72
m	m	0.922
o	o	0.962
ð	ð	0.962
ŋ	n	0.542
ʃ	ʧ	0.763
ʎ	l	0.773
ʧ	j	0.153
u	o	0.984
ɲ	ɲ	0.844
ˈi	ˈi	0.934
β	β	0.934
e	e	0.85
j	j	0.956
n	n	0.966
ɲ	n	0.156
ʎ	ʎ	0.176
ˈo	ˈo	0.6
e	ɾ_e	0.077
ɾ	ɾ	0.97
ʃ	ʃ	0.237
ʧ	j_t	0.847
ˈa	ˈa	0.967
θ	θ	0.887
i	e	0.28
m	m_b	0.078
ŋ	ŋ	0.458
ˈo	ˈu	0.068
ˈo	w_ˈe	0.288
w	-	0.119
