Northern Low Saxon	Eastphalian	probability
b	b	0.752
b	p	0.245
d	d	0.521
d	t	0.322
d	t_ə	0.094
d	-	0.054
f	f	1.0
h	h	1.0
i	ɪ	0.495
k	k	1.0
kʰ	k	1.0
l	l	0.932
l	-	0.064
m	m	0.87
m	v_n	0.07
m	v	0.037
m	n	0.036
n	n	0.965
p	p	1.0
r	r	1.0
s	s	0.796
s	z_ə	0.157
s	z	0.05
t	t	0.93
t	d	0.059
tʰ	t	1.0
v	v	0.867
v	w	0.122
x	x	0.893
x	ɣ	0.097
z	z	1.0
ç	ç	0.668
ç	ɣ_ə	0.258
ç	j	0.069
ŋ	ŋ	0.691
ŋ	ŋ_ə	0.159
ŋ	j	0.091
ŋ	n	0.058
ɐ	ɐ	0.954
ɐ	-	0.046
ə	ɐ	0.245
ɡ	ɣ	0.369
ɡ	k	0.303
ɡ	j	0.141
ɡ	k_ə	0.141
ɡ	ɡ	0.041
ɪ	ɪ	1.0
ʃ	ʃ	0.504
ʃ	s	0.373
ʃ	ʃ_ə	0.121
ʒ	j	1.0
ˈa	ˈa	0.906
ˈa	ˈaː	0.052
ˈa	ˈɛə̯	0.047
ˈaɪ̯	ˈɛɪ̯	1.0
ˈaʊ̯	ˈeo̯	0.444
ˈaʊ̯	ˈaʊ̯	0.321
ˈaʊ̯	ˈoː	0.112
ˈaʊ̯	ˈɔ	0.057
ˈaʊ̯	ˈʊ	0.05
ˈaː	ˈa_ɐ	0.496
ˈaː	ˈa	0.179
ˈaː	ˈaː	0.179
ˈaː	ɐ	0.122
ˈeɪ̯	ˈɛɪ̯	0.699
ˈeɪ̯	ˈɛː	0.149
ˈeː	ˈeː	0.345
ˈeː	ˈɛ	0.345
ˈeː	ˈɛː	0.277
ˈiː	ˈiː	1.0
ˈoː	ˈɒː	0.736
ˈoː	ˈɛː	0.074
ˈoː	ˈaː	0.072
ˈoː	ˈoː	0.072
ˈoː	ˈuː	0.047
ˈuː	ˈuː	0.843
ˈuː	ˈʊ	0.151
ˈyː	ˈyː	0.715
ˈyː	ˈʏ	0.199
ˈø	ˈɪ	1.0
ˈøː	ˈoː	0.425
ˈøː	ˈeː	0.322
ˈøː	ˈɛː	0.183
ˈœ	ˈœ	1.0
ˈœː	ˈœ	1.0
ˈɔ	ˈɔ	1.0
ˈɔʏ̯	ˈɔʏ̯	0.619
ˈɔʏ̯	ˈøː	0.369
ˈɔː	ˈoː	0.495
ˈɛ	ˈɛ	0.754
ˈɛ	ˈɛː	0.158
ˈɛ	ˈeː	0.076
ˈɛɪ̯	ˈɛɪ̯	0.629
ˈɛɪ̯	ˈeː	0.361
ˈɪ	ˈɪ	0.923
ˈɪ	ˈɛ	0.048
ˈɪ	ˈɛɪ̯	0.043
ˈʊ	ˈʊ	0.813
ˈʊ	ˈuː	0.09
ˈʊ	ˈɔ	0.086
ˈʏ	ˈʏ	0.654
ˈʏ	ˈɔ	0.211
ˈʏ	w	0.094
