Northern Low Saxon	Eastphalian	probability
aɪ̯	ɒː	1.0
b	b	0.754
b	p	0.246
d	d	0.518
d	t	0.355
d	t_ə	0.091
f	f	0.97
h	h	1.0
i	ɪ	1.0
k	k	1.0
kʰ	k	1.0
l	l	0.967
m	m	0.838
m	v_n	0.064
m	n	0.061
n	n	0.92
n	n_ə	0.056
p	p	1.0
pʰ	p	1.0
r	r	1.0
s	s	0.695
s	z_ə	0.223
s	z	0.057
t	t	0.93
t	d	0.07
tʰ	t	1.0
v	v	0.866
v	w	0.134
x	x	0.912
x	ɣ	0.088
z	z	1.0
ç	ç	0.627
ç	ɣ_ə	0.218
ç	j	0.154
ŋ	ŋ	0.658
ŋ	ŋ_ə	0.137
ŋ	j	0.119
ŋ	n	0.085
ɐ	ɐ	0.904
ɐ	-	0.062
ə	ɐ	1.0
ɡ	k	0.431
ɡ	ɣ	0.233
ɡ	k_ə	0.147
ɡ	j	0.145
ɪ	ɪ	1.0
ʃ	ʃ	0.622
ʃ	s	0.327
ʃ	ʃ_ə	0.052
ʒ	j	0.833
ʒ	-	0.167
ˈa	ˈa	0.954
ˈaɪ̯	ˈɛɪ̯	0.953
ˈaʊ̯	ˈeo̯	0.393
ˈaʊ̯	ˈaʊ̯	0.309
ˈaʊ̯	ˈoː	0.21
ˈaʊ̯	ˈɔ	0.056
ˈaː	ˈa_ɐ	0.428
ˈaː	ˈa_l	0.322
ˈaː	ˈaː	0.198
ˈaː	ˈɛː	0.052
ˈeɪ̯	ˈɛɪ̯	0.577
ˈeɪ̯	ˈɛː	0.423
ˈeː	ˈeː	0.591
ˈeː	ˈɛ	0.314
ˈeː	ˈɛː	0.095
ˈiː	ˈiː	0.974
ˈoː	ˈɒː	0.732
ˈoː	ˈoː	0.162
ˈoː	ˈɛː	0.072
ˈuː	ˈuː	0.927
ˈuː	ˈʊ	0.073
ˈyː	ˈyː	0.892
ˈyː	ˈʏ	0.108
ˈø	ˈɪ	1.0
ˈøː	ˈoː	0.441
ˈøː	ˈɛː	0.336
ˈøː	ˈeː	0.224
ˈœ	ˈœ	0.475
ˈœ	ˈɛ	0.475
ˈœː	ˈœ	1.0
ˈɔ	ˈɔ	0.943
ˈɔ	ˈʊ	0.057
ˈɔʏ̯	ˈɔʏ̯	0.533
ˈɔʏ̯	ˈøː	0.467
ˈɔː	ˈoː	1.0
ˈɛ	ˈɛ	0.817
ˈɛ	ˈɛː	0.126
ˈɛ	ˈeː	0.057
ˈɛɪ̯	ˈɛɪ̯	0.616
ˈɛɪ̯	ˈeː	0.384
ˈɛː	ˈøː	1.0
ˈɪ	ˈɪ	0.963
ˈʊ	ˈʊ	0.887
ˈʏ	ˈʏ	0.711
ˈʏ	ˈɔ	0.182
ˈʏ	ˈøː	0.056
ˈʏ	w	0.05
