Slovenian	Proto-Slavic	probability
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ɡ	ɡ	1.0
ə_r	r_ŭ	1.0
ə_m	m_ĭ	1.0
ɔ́	ǒ	1.0
ɔ̀ː	o	1.0
z	z	1.0
x	x	1.0
t_ɔ	t_o	1.0
t_#>	t_ĭ_#>	1.0
s_#>	s_ŭ_#>	1.0
s	s	1.0
r_àː	oˀ_r	1.0
r	r	1.0
p_#>	b_ŭ_#>	1.0
p	p	1.0
óː_#>	o_#>	1.0
òː	ǒ	1.0
n	n	1.0
m	m	1.0
l_áː	ôː_l	1.0
j_ɛ	e	1.0
íː	ɨ̂ː	1.0
i	i	1.0
e	ê	1.0
d	d	1.0
b	b	1.0
áː	-	1.0
àː	aˀ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_o	<#_ô	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#	1.0
ʋ	v	0.913
t	t	0.857
#>	ŭ_#>	0.765
k	k	0.75
ɛ̀ː	e	0.714
l	l	0.714
ɛ	e	0.667
ɔ	o	0.667
a	ǎ	0.667
óː	ô	0.625
ə́	ĭ	0.6
ə	ĭ	0.6
ʧ	ʧ	0.5
ʧ	k_t	0.5
ɔ́ː	ĭ̂	0.5
ɔ́ː	ĭˀ	0.5
ìː	ɨ̌	0.5
ìː	ǐ	0.5
w	l	0.444
ə́	ĭ̌	0.4
ə	l	0.4
óː	ôː	0.375
èː	ɛː	0.375
èː	l	0.375
éː	ɛ̂ː	0.357
ɛ	ɛ̌	0.333
ɔ	ǒ	0.333
w	l_ŭ	0.333
a	a	0.333
ɛ̀ː	ẽ	0.286
k	ɡ_ŭ	0.25
èː	ɛˀ	0.25
#>	ĭ_#>	0.235
w	ŭ	0.222
éː	ẽ	0.214
t	d_ŭ	0.143
l	ʎ	0.143
l	d_l	0.143
éː	ɛˀ	0.143
éː	ê	0.143
éː	e	0.143
ʋ	ŭ	0.087
