Standard German	Standard German	probability
ˈɛː	-	1.0
ˈœ	-	1.0
ˈøː	-	1.0
ˈoː_n	n	1.0
ʁ_ˈɔʏ̯	r	1.0
ɡ̊	ɣ_ʏ	1.0
ə_n	a	1.0
ə_#>	#>	1.0
ɐ_ʦ	r̥_t	1.0
ɐ_ɡ̊	r_ɡ̊	1.0
ɐ_t	r_ð	1.0
ɐ_n	r_t͡n̥	1.0
ɐ_m	r_m	1.0
ŋ_k	ʰk	1.0
ŋ	ŋ	1.0
ç_t	ʰt	1.0
ç_#>	#>	1.0
z̥_#>	s_#>	1.0
tʰ	d̥	1.0
s_ə	t_ʏ	1.0
s_ɐ	ʰt͡n̥	1.0
s_t	s_t	1.0
s_#>	#>	1.0
s	t	1.0
p͡f	pʰ	1.0
n_d	nː	1.0
n_#>	#>	1.0
m	m	1.0
j	-	1.0
eː	aːu̯	1.0
d̥_#>	#>	1.0
b̥	v_ʏ	1.0
b_ɐ	v_ʏ	1.0
b_n	v_a	1.0
a	ʏ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_v	<#	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
b	b̥	0.917
z	s	0.857
k	-	0.857
h	h	0.857
v	v	0.85
ʁ	r	0.762
f	f	0.7
ˈʏ	ˈɪ	0.667
ˈyː	-	0.667
ˈuː	ˈoːu̯	0.667
ɪ	-	0.667
d	θ	0.667
ə	a	0.647
ʦ	tʰ	0.643
<#_ʁ	<#_r	0.625
ɡ_n	a	0.6
t	ð	0.6
l	l	0.585
ˈɔʏ̯	ˈiː	0.571
ʃ	s	0.56
ˈoː	-	0.556
ˈaʊ̯	ˈuː	0.556
kʰ	kʰ	0.545
#>	r̥_#>	0.518
ˈɛ	ˈɛ	0.5
ɡ	ɟ̊	0.5
ˈoː	ˈœːy̯	0.444
#>	ʏ_r̥_#>	0.435
ˈɔʏ̯	-	0.429
ˈɔ	-	0.412
ˈaɪ̯	ˈiː	0.407
ɡ_n	ˈuː_a	0.4
x	k	0.4
x	-	0.4
ˈaː	ˈaː	0.375
<#_ʁ	<#_r̥	0.375
ˈa	ˈa	0.367
ˈɪ	ˈɪ	0.364
ˈeː	j	0.364
ˈeː	-	0.364
ç	-	0.364
ˈʊ	ˈʏ	0.357
ɐ	r̥	0.344
ˈʏ	ˈʏ	0.333
ˈyː	ˈaːi̯	0.333
ˈuː	-	0.333
ɪ	ɑu̯	0.333
d̥	d̥_ʏ	0.308
d̥	d̥	0.308
ɡ	ɡ̊	0.3
ˈɔ	ˈɔ	0.294
ˈʊ	ˈɔ	0.286
n	a	0.277
ˈeː	ˈɛː	0.273
ç	k_ʏ	0.273
kʰ	cʰ	0.273
n	n	0.262
ˈaː	ˈɑːu̯	0.25
ʃ	s_c	0.24
ˈiː	j_ˈoːu̯	0.235
ˈiː	j	0.235
f	p	0.233
d̥	ʏ_r̥	0.231
ˈaʊ̯	ˈœːy̯	0.222
ˈaʊ̯	-	0.222
ˈaɪ̯	ˈɛːi̯	0.222
l	t͡l̥	0.22
ˈʊ	ˈu	0.214
ʦ	-	0.214
ˈa	ˈaː	0.2
ʃ	s_k	0.2
ɡ	ɣ	0.2
x	ˈɔu̯	0.2
t	t	0.2
l	l̥	0.195
d	ð	0.19
ɐ	ɪ_r̥	0.188
ˈɪ	ˈɪː	0.182
ˈɪ	ˈi	0.182
ˈɪ	-	0.182
ç	ʏ	0.182
ç	k	0.182
kʰ	n̥	0.182
ˈɔ	ˈʏ	0.176
ˈiː	ˈɛː	0.176
ˈiː	j_ˈuː	0.176
ˈiː	-	0.176
ˈa	ˈɑu̯	0.167
d̥	ð	0.154
ˈɛ	ˈa	0.15
ˈɛ	-	0.15
v	kʰ_v	0.15
ˈaɪ̯	ˈɛ	0.148
ˈʊ	ˈoːu̯	0.143
ʦ	t	0.143
ʁ	r̥	0.143
z	s_j	0.143
k	ʰc	0.143
h	ç	0.143
d	d̥	0.143
ˈa	-	0.133
t	ʰt	0.133
ˈaː	ˈɔː	0.125
ˈaː	ˈœ	0.125
ˈaː	-	0.125
ɐ	ʏ	0.125
ˈɔ	ˈɪ	0.118
ə	ʏ	0.118
ə	ɡ̊_a	0.118
ə	-	0.118
ˈaɪ̯	ˈɛi̯	0.111
ˈaɪ̯	-	0.111
n	nː	0.108
ˈɛ	ˈɛː	0.1
ˈɛ	ˈau̯	0.1
ʁ	-	0.095
ɐ	r_ɪ	0.094
ˈɪ	j	0.091
b	v	0.083
n	-	0.077
ˈa	ˈɛ	0.067
ˈa	ˈœ	0.067
t	s	0.067
f	v_ʏ	0.067
ɐ	ˈɛː_r̥	0.062
ɐ	ɡ̊_ʏ	0.062
ɐ	r_a	0.062
ɐ	r	0.062
n	ʏ	0.062
n	t͡n̥	0.062
