Asturian	Romanian	probability
f	f	1.0
p	p	1.0
r	r	1.0
ð	t	1.0
ɣ	k	1.0
ˈi	ˈi	1.0
a	-	0.181
e	i	0.121
m	m	0.841
n	n	0.861
ŋ	j_n	0.341
ʎ	p_l	0.061
ʧ	p_t	0.891
ˈe	ˈu	0.061
ˈe	e	0.071
β	p	0.081
a	ˈa	0.072
d	d	0.62
e	ə	0.122
i	-	0.672
o	o̯ˈa	0.162
t	t	0.902
u	-	0.162
ɲ	n	0.522
ˈa	ˈa	0.722
ˈu	ˈu	0.942
b	-	0.103
e	e	0.553
j	j	0.523
k	k	0.953
l	r_e	0.173
l	r	0.213
s	r_s	0.143
s	s	0.763
u	ə	0.273
w	w	0.123
ŋ	n	0.193
ˈo	ˈau̯	0.063
β	b	0.313
θ	ʃ	0.153
θ	ʧ_e	0.203
e	a	0.054
s	ʃ	0.094
ˈo	ˈo	0.094
θ	ʧ	0.534
u	e	0.235
ɡ	-	0.055
ɡ	ɡ	0.945
ɾ	-	0.145
ʃ	-	0.055
ʝ	k	0.145
b	b	0.26
l	l	0.226
ʝ	ʒ	0.106
ˈe	ˈe	0.346
θ	s	0.106
b	v	0.637
j	-	0.477
w	-	0.877
ŋ	-	0.077
ɾ	r_e	0.337
ʃ	ʃ	0.17
ʃ	ʤ	0.677
ʝ	-	0.717
β	-	0.607
a	a	0.08
a	ə	0.528
d	z	0.38
e	-	0.128
i	i	0.328
l	-	0.388
o	o	0.18
o	u	0.458
ɾ	r	0.498
ʃ	ʒ	0.098
ˈa	ˈɨ	0.278
ˈe	ˈi	0.168
ˈe	ˈa	0.228
ˈo	ˈu	0.698
ˈu	-	0.058
a	e	0.139
m	-	0.159
n	-	0.139
o	-	0.199
t	ʦ	0.079
u	w	0.069
u	u	0.209
ŋ	n_e	0.389
ɲ	m	0.229
ɲ	j	0.249
ʎ	l	0.939
ʧ	l	0.109
ˈe	e̯ˈa	0.059
ˈo	o̯ˈa	0.119
