Neapolitan	Neapolitan	probability
ˈɛ_n	ˈe_n	1.0
ˈɔ_n	ˈo	1.0
ˈɔ_k	ɣ	1.0
ˈu_ɾ	ˈo	1.0
ˈu_tː	ˈo_ð	1.0
ˈu_n	ˈo_ŋ	1.0
ʧː	k	1.0
ʧ	θ	1.0
ʦː	θ	1.0
ʦ_ə	θ_ɐ	1.0
ʤː	-	1.0
ʎː	ɟ	1.0
ɾ_ə	ɾ_ʊ	1.0
ɾ_t	ɾ_t	1.0
ɾ_n	ɾ_n	1.0
ɲː	ɲ	1.0
ɲ	ɾ_ð	1.0
ə_ɾ	ɾ	1.0
ə_n	ɪ	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z	w_s	1.0
w_ˈɔ	ˈɔ	1.0
v_ə	β_ɪ	1.0
v_j	b	1.0
sː	ʃ	1.0
s	s	1.0
rː	r	1.0
n_ə	ŋ	1.0
mː_ə	m_ɪ	1.0
mː	m	1.0
m_ə	m_ɐ	1.0
m	m	1.0
lː_ə	ʊ	1.0
lː	l	1.0
kː_ə	k_ɐ	1.0
kː_j	ɟ	1.0
k_ə	k_ʊ	1.0
k_w	k	1.0
k_j	ʧ	1.0
j_ˈɛ	ˈe	1.0
j_ə	s	1.0
fː	f	1.0
f	f	1.0
dː	-	1.0
d	d	1.0
bː	β	1.0
b_w	b	1.0
b	b	1.0
a_ɲː	ɑ	1.0
a_j	a_ʃ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#	1.0
<#_w	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_ʃ	1.0
#>	ɾ_#>	1.0
k	k	0.857
r	ɾ	0.833
p	p	0.829
ˈɛ	ˈɛ	0.8
ʃ	θ	0.8
ɡ	ɡ	0.727
ʤ	ʃ	0.714
nː	n	0.714
j	-	0.714
ˈa	ˈa	0.667
ɾ	ɾ	0.667
l	-	0.667
v	b	0.652
a	a	0.647
o	ʊ	0.6
e	-	0.6
ˈu	ˈu	0.545
w	w	0.545
tː	t	0.545
ˈo	ˈo	0.538
ˈi	ˈi	0.526
ˈe	ˈe	0.526
t	ð	0.514
ˈɔ	ˈo	0.5
u	o	0.5
n	n	0.5
t	t	0.486
tː	j_t	0.455
ˈi	ˈe	0.421
ə	ʊ	0.414
ˈɔ	ˈɔ	0.4
o	-	0.4
e	e	0.4
ˈu	ˈo	0.394
ə	ɐ	0.366
ʃː	θ_ˈe	0.333
ʃː	ʃ	0.333
ʃː	-	0.333
l	l	0.333
i	e	0.316
i	-	0.316
ˈo	ˈɔ	0.308
u	u	0.3
ʤ	-	0.286
nː	n_d	0.286
j	ˈe	0.286
ɡ	ɣ	0.273
w	ˈɔ	0.273
n	ɲ	0.25
n	-	0.25
v	β	0.217
ˈe	ˈe_j	0.211
i	i	0.211
ʃ	e_s	0.2
ɾ	-	0.2
u	-	0.2
w	ˈo	0.182
p	β	0.171
ˈa	ˈɑ	0.167
r	a_ɾ	0.167
ˈe	ˈi	0.158
i	ˈi	0.158
ˈo	ˈu	0.154
k	ɣ	0.143
ə	ɪ	0.131
a	ɐ	0.118
a	o	0.118
a	-	0.118
ˈe	ˈɛ	0.105
ˈɛ	ˈe_ɾ	0.1
ˈɛ	j	0.1
ˈɔ	ˈo_w	0.1
ɾ	l	0.089
v	b_e	0.087
ˈa	a	0.067
ˈu	ˈɔ	0.061
ˈi	-	0.053
