Old Frisian	Swiss German	probability
θ_r	d̥_r	1.0
θ	d̥	1.0
ˈeː_r	r	1.0
ʦ	ɣ̊	1.0
ɡː	ɡ̊ː	1.0
ɡ_ə	ə	1.0
ɡ	ɡ̊	1.0
ə_x	i_ɡ̊	1.0
ŋ	ŋ	1.0
ð	d̥	1.0
v	b̥	1.0
tː	ʦ	1.0
s_ˈa	z̥_ˈɒ	1.0
s_l	ʒ̊_l	1.0
r_t	r_ʦ	1.0
pː	ˈø_p͡f	1.0
nː_ə	n	1.0
nː	n	1.0
n_d	ŋ	1.0
mː	m	1.0
m	m	1.0
l_ə	l	1.0
l	l	1.0
kː	k͡χ	1.0
k_s	χ_s	1.0
j_ə	ə	1.0
iː	æ	1.0
i	i	1.0
h	h	1.0
dː	tː	1.0
d_r	t_r	1.0
bː	-	1.0
b	b̥	1.0
a	ə	1.0
r	r	0.954
n	n	0.928
w	ʋ	0.921
ˈa	ˈɒ	0.909
f	v̥	0.903
x	χ	0.842
ˈoː	ˈuə̯	0.834
ɣ	ɡ̊	0.796
ˈiː	ˈiː	0.765
ˈuː	ˈuː	0.757
d	t	0.739
z	s	0.709
e	ə	0.703
ˈɛː	ˈæi̯	0.692
ˈi	ˈi	0.682
ə	ə	0.672
ˈi̯uː	ˈyː	0.667
s_k	ʒ̊	0.658
r_ə	r	0.634
ˈu	ˈu	0.604
j	ɡ̊	0.578
s	z̥	0.504
ˈeː	ˈɒː	0.438
ˈaː	ˈoː	0.408
ˈo	ˈo	0.4
ˈi̯aː	ˈiə̯	0.399
p	f	0.39
ˈe	ˈæ	0.385
ˈɔː	ˈo	0.383
r_ə	r_ə	0.366
p	fː	0.363
t	sː	0.356
k	ɣ̊	0.349
ˈi̯aː	ˈyː	0.346
s_k	ʃː	0.342
t	t	0.34
ˈi̯uː	-	0.333
t	ʦ	0.304
ˈaː	ˈau̯	0.299
e	-	0.297
z	-	0.291
j	-	0.278
k	χː	0.276
ˈo	ˈu	0.272
ˈu	-	0.267
ə	-	0.266
s	ʃ	0.261
ˈi̯aː	-	0.254
p	p͡f	0.247
ˈuː	-	0.243
ˈiː	ˈyː	0.235
s	ʒ̊	0.234
ˈɛː	ˈøː	0.206
ˈɔː	ˈɒ	0.206
d	d̥	0.206
ɣ	-	0.204
ˈeː	ˈyə̯	0.2
k	k͡χ	0.168
ˈoː	ˈɒ_n	0.166
ˈo	-	0.165
ˈo	ˈy	0.163
x	ɡ̊	0.158
ˈaː	-	0.148
ˈaː	ˈæi̯	0.145
ˈeː	-	0.143
j	j	0.143
ˈe	ˈɒː	0.138
k	-	0.138
ˈɔː	ˈoː	0.137
ˈɔː	-	0.137
ˈɔː	ˈɒː	0.136
ˈeː	ˈoː	0.131
ˈu	ˈo	0.13
ˈe	-	0.126
ˈɛː	ˈeː	0.103
ˈe	ˈɒ	0.103
ˈi	ˈy	0.101
ˈi	-	0.101
f	f	0.097
ˈa	ˈɒː	0.091
ˈeː	ˈyː	0.088
w	-	0.079
n	-	0.072
ˈi	ˈæ	0.071
k	χ	0.069
ˈe	ˈy	0.067
ə	i	0.062
ˈe	ˈu	0.06
d	tː	0.055
ˈe	ˈæː	0.053
