Catalan	Ladin	probability
b	v	0.61
b	b	0.335
d	d	0.818
d	d_e	0.182
f	f	0.982
i	e	0.401
i	i	0.261
i	a	0.236
i	j	0.102
j	-	0.57
j	e	0.362
j	j	0.068
k	ʨ	0.45
k	k	0.424
k	ˈɛ_k	0.059
l	l	0.828
l	w	0.091
l	-	0.065
m	m	0.936
m	-	0.05
n	n	0.978
p	p	0.937
r	r	0.992
s	s	0.634
s	ʧ	0.117
s	ʨ	0.101
t	t	0.933
t	-	0.058
u	o	0.671
u	u	0.17
u	ˈɛ	0.055
w	ˈɛ	0.381
w	j	0.19
w	-	0.116
w	w	0.091
w	ʦ	0.09
w	ˈe	0.07
z	z	0.449
z	ʃ	0.308
z	d	0.243
ð	d	0.704
ð	t	0.166
ð	-	0.13
ŋ	ŋ	0.928
ŋ	n	0.072
ə	a	0.636
ə	-	0.178
ə	e	0.13
ɡ	ɡ	0.698
ɡ	d	0.144
ɡ	ʥ	0.12
ɣ	ɡ	0.536
ɣ	-	0.313
ɣ	j	0.151
ɲ	ɲ	0.757
ɲ	m	0.117
ɲ	ŋ	0.093
ɾ	r	0.765
ɾ	-	0.112
ɾ	e_r	0.068
ʃ	ʃ	0.826
ʃ	s	0.174
ʎ	l	0.81
ʎ	d_l	0.093
ʎ	-	0.059
ʒ	ʒ	0.668
ʒ	ʥ	0.142
ʒ	-	0.08
ʒ	f	0.053
ʤ	-	0.675
ʤ	d	0.325
ʧ	ʦ	1.0
ˈa	ˈa	0.606
ˈa	ˈe	0.177
ˈa	ˈɛ	0.166
ˈa	-	0.051
ˈe	ˈɛ	0.524
ˈe	ˈe	0.244
ˈe	j_ˈe	0.056
ˈe	-	0.054
ˈe	ˈe_j	0.051
ˈi	ˈi	0.767
ˈi	j_ˈɛ	0.062
ˈi	ˈɛ	0.062
ˈo	ˈo	0.689
ˈo	ˈɔ	0.078
ˈo	-	0.072
ˈo	ˈu	0.061
ˈu	ˈu	0.589
ˈu	ˈo	0.201
ˈu	ˈɔ	0.087
ˈu	w_ˈɛ	0.086
ˈɔ	ˈɔ	0.585
ˈɔ	w	0.234
ˈɔ	ˈo	0.097
ˈɔ	w_ˈɛ	0.055
ˈɛ	ˈe	0.488
ˈɛ	ˈɛ	0.363
β	v	0.647
β	w	0.12
β	b	0.087
β	p	0.075
β	-	0.071
