Czech	Ukrainian	probability
d	d	1.0
f	w	1.0
m̩	m	1.0
r̝̊	r	1.0
ɪ	ˈɪ	1.0
ʒ	ʒ	1.0
ʧ	ʧ_ɔ	1.0
ˈl̩	ˈɔ	1.0
ˈou̯	ˈu	1.0
ˈr̩	ˈɛ_r	1.0
ˈuː	ˈi	1.0
ˈɪ	ˈɪ	1.0
a	ˈa	0.051
b	b	0.921
l	lʲ	0.271
m	m	0.911
n	n	0.731
o	ɔ	0.901
p	b	0.111
t	t_e	0.151
ɛ	ɐ	0.11
a	ɐ	0.322
j	i	0.202
l	ɫ	0.502
ɛ	i	0.132
ɛ	ˈi	0.262
ˈo	ɔ	0.402
ˈu	ʊ	0.362
ˈɛː	ɔ	0.792
c	ʧ	0.163
iː	e_j	0.703
p	p	0.723
r̝	rʲ	0.163
x	x	0.643
z	zʲ	0.123
ɲ	nʲ	0.713
ʃ	ʃ	0.653
ˈa	ˈɔ	0.123
ˈaː	ɐ	0.463
ˈo	ˈi	0.273
ˈɛ	ˈɛ	0.213
iː	ˈɪ_j	0.24
r	r	0.744
s	s	0.684
t	t	0.584
v	ʋ	0.844
ɛ	ˈɔ	0.104
ˈa	ˈɑ	0.204
ˈo	ˈɔ	0.324
r	ɔ_r	0.225
t	d	0.085
ɦ	ɦ_ˈɔ	0.095
ɦ	ɦ	0.905
ʦ	ʦ	0.165
ʦ	ʦʲ	0.835
ˈiː	ˈɪ	0.35
ˈiː	ˈi	0.65
ˈɛ	ɛ	0.155
p	pʲ	0.166
s	sʲ	0.316
ɛ	ɛ	0.176
ˈɛ	ˈɔ	0.076
ˈɛ	ˈi	0.466
a	ˈɑ	0.627
c	tʲ	0.837
iː	ɐ	0.057
k	k	0.957
l	ɔ_ɫ	0.227
r̝	r	0.837
v	ʋʲ	0.087
x	ɦ	0.357
z	z	0.877
ɲ	-	0.287
ʃ	ʒ	0.347
ˈa	ɔ	0.127
ˈa	ɐ	0.547
j	j	0.798
t	tʲ	0.18
ˈaː	ˈɔ	0.448
ˈu	ˈu	0.638
ˈɛː	ˈi	0.208
b	bʲ	0.079
m	mʲ	0.089
n	nʲ	0.269
o	ˈɔ	0.099
v	w	0.069
ɛ	ˈɑ	0.19
ˈaː	ˈɑ	0.089
