Friulian	Logudorese	probability
a	a	0.602
a	e	0.257
a	-	0.107
aː	rː	1.0
b	b	0.885
b	v	0.075
c	k	0.914
c	t	0.054
d	d	0.511
d	ð	0.297
d	-	0.149
e	a	0.831
e	e	0.117
f	f	0.735
f	-	0.164
f	β	0.1
i	u	0.322
i	i	0.289
i	e	0.151
j	-	0.565
j	ˈe	0.129
j	j	0.091
j	l	0.084
j	t	0.058
k	k	0.69
k	ɣ	0.161
k	b	0.114
l	l	0.5
l	ɖː	0.162
l	r	0.136
l	k_r	0.099
l	-	0.074
m	m	0.982
n	n	0.879
n	nː	0.068
o	o	0.634
o	ˈu	0.163
o	u	0.084
o	ˈi	0.072
p	p	0.896
p	b	0.104
r	r	0.84
r	-	0.1
s	s	0.671
s	ɣ	0.097
s	-	0.086
s	z	0.069
s	sː	0.052
t	t	0.651
t	ð	0.23
t	-	0.059
u	u	0.234
u	o	0.217
u	j	0.206
u	ˈo	0.15
u	-	0.118
u	e	0.076
v	b	0.719
v	-	0.196
v	β	0.068
w	ˈo	0.608
w	-	0.167
w	o	0.124
w	w	0.065
z	j	0.466
z	-	0.382
z	z	0.152
ŋ	m	0.544
ŋ	n	0.172
ŋ	-	0.151
ŋ	v	0.07
ŋ	ŋ	0.064
ɟ	ɖ	0.5
ɟ	ɡ	0.5
ɡ	ɡ	0.379
ɡ	k	0.262
ɡ	bː	0.138
ɡ	b	0.111
ɡ	ɣ	0.11
ɲ	n	0.446
ɲ	ɲː	0.321
ɲ	nː	0.175
ɲ	ŋ	0.059
ʤ	ɡ	0.692
ʤ	t	0.139
ʤ	ʣ	0.083
ʧ	k	0.413
ʧ	-	0.265
ʧ	ɣ	0.17
ʧ	sː	0.096
ˈa	ˈa	0.829
ˈa	-	0.141
ˈaː	ˈa	0.878
ˈaː	ˈi	0.077
ˈe	ˈe	0.444
ˈe	ˈi	0.439
ˈe	a	0.085
ˈeː	ˈi	0.792
ˈeː	ˈe	0.208
ˈi	ˈi	0.579
ˈi	ˈe	0.228
ˈi	-	0.181
ˈiː	ˈe	0.617
ˈiː	ˈi	0.214
ˈiː	i	0.09
ˈiː	e	0.079
ˈo	ˈu	0.593
ˈo	ˈo	0.347
ˈoː	ˈo	0.861
ˈoː	ˈa	0.085
ˈoː	ˈu	0.055
ˈu	ˈu	0.724
ˈu	ˈo	0.127
ˈu	u	0.11
ˈuː	ˈu	0.507
ˈuː	ˈo	0.493
ˈɔ	ˈo	0.834
ˈɔ	ˈu	0.09
ˈɔ	-	0.076
ˈɔː	ˈo	1.0
ˈɛ	ˈe	0.873
ˈɛ	-	0.06
ˈɛː	rː	1.0
