German	Westphalian	probability
a	-	1.0
b	b	0.796
b	v	0.184
d	d	0.781
d	-	0.219
eː	aɪ̯	1.0
f	f	0.684
f	p	0.251
h	h	0.964
j	j	1.0
k	k	0.458
k	ç	0.305
k	x	0.102
k	-	0.085
kʰ	k	1.0
l	l	0.99
m	m	1.0
n	n	0.892
n	-	0.086
p	v	0.362
p	f	0.315
p	ʋ	0.144
p	p	0.144
p͡f	p	1.0
s	t	0.584
s	s	0.416
t	d	0.497
t	t	0.393
t	-	0.109
tʰ	d	0.939
tʰ	t	0.061
v	v	0.683
v	ʋ	0.298
x	x	0.57
x	k	0.43
z	s	0.887
z	z	0.113
ç	ç	0.489
ç	k	0.418
ç	-	0.093
ŋ	ŋ	1.0
ɐ	ɐ	0.709
ɐ	-	0.291
ə	ə	0.521
ə	-	0.479
ɡ	x	0.547
ɡ	ɡ	0.3
ɡ	ŋ	0.068
ɪ	ɪ	1.0
ʁ	r	0.824
ʁ	z	0.123
ʁ	-	0.052
ʃ	ʃ	0.984
ʦ	t	1.0
ˈa	ˈa	0.774
ˈa	ˈaː	0.061
ˈa	ˈɪ	0.058
ˈa	ˈɔ	0.058
ˈaɪ̯	ˈiː	0.46
ˈaɪ̯	ˈeː	0.358
ˈaɪ̯	ˈɪ	0.105
ˈaʊ̯	ˈaʊ̯	0.371
ˈaʊ̯	ˈuː	0.324
ˈaʊ̯	ˈʊ	0.281
ˈaː	ˈɔː	0.507
ˈaː	ˈa	0.127
ˈaː	ˈaː	0.12
ˈaː	ˈɛ	0.102
ˈeː	ˈaɪ̯	0.314
ˈeː	ˈɪɛ̯	0.219
ˈeː	ˈiɛ̯	0.19
ˈeː	ˈɛ	0.105
ˈeː	ˈeː	0.069
ˈeː	ˈɔː	0.051
ˈeː	ˈɪə̯	0.051
ˈiː	ˈaɪ̯	0.566
ˈiː	ˈiː	0.187
ˈiː	ˈɪ	0.093
ˈiː	ˈeː	0.07
ˈiː	ˈɪə̯	0.055
ˈoː	ˈaʊ̯	0.323
ˈoː	ˈɔː	0.275
ˈoː	ˈuːə̯	0.154
ˈoː	ˈa	0.119
ˈoː	ˈoː	0.074
ˈoː	ˈuə̯	0.057
ˈuː	ˈoː	0.697
ˈuː	ˈøː	0.178
ˈuː	ˈuə̯	0.071
ˈyː	ˈøː	0.766
ˈyː	ˈaɪ̯	0.131
ˈyː	ˈyːœ̯	0.103
ˈøː	ˈøː	0.928
ˈøː	ˈœː	0.072
ˈœ	ˈyə̯	0.531
ˈœ	ˈiɛ̯	0.469
ˈɔ	ˈʊ	0.385
ˈɔ	ˈuə̯	0.118
ˈɔ	ˈœː	0.118
ˈɔ	ˈɔː	0.118
ˈɔ	ˈɔ	0.073
ˈɔ	ˈiɛ̯	0.063
ˈɔʏ̯	ˈyː	0.361
ˈɔʏ̯	ˈaɪ̯	0.149
ˈɔʏ̯	ˈø	0.149
ˈɔʏ̯	ˈɪə̯	0.149
ˈɔʏ̯	ˈuː	0.127
ˈɔʏ̯	ˈiː	0.064
ˈɛ	ˈɛ	0.602
ˈɛ	ˈɪɛ̯	0.261
ˈɛ	ˈɛː	0.075
ˈɛː	ˈœː	0.404
ˈɛː	ˈɛː	0.361
ˈɛː	ˈaɪ̯	0.235
ˈɪ	ˈɪ	0.829
ˈɪ	ˈɛ	0.08
ˈʊ	ˈʊ	0.601
ˈʊ	ˈuːə̯	0.225
ˈʊ	ˈuː	0.082
ˈʏ	ˈʏ	0.643
ˈʏ	ˈiː	0.327
