Gothic	East Low German	probability
θ_#>	t_#>	1.0
β_a	m	1.0
β	b	1.0
ˈɛ_r	ˈaː	1.0
ˈɛ	ˈiː	1.0
ˈuː	ˈuː	1.0
ˈoː	ˈaʊ̯	1.0
ˈeː	ˈɒː	1.0
ˈa_r	ˈaː	1.0
ʍ	v	1.0
ɣ_a	ŋ	1.0
ɡ_s	k	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð	-	1.0
x	ç	1.0
u	-	1.0
t_a	t	1.0
s_ˈɛ	z	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
r_u	æ	1.0
r_n	æ_n	1.0
p	p	1.0
oː	-	1.0
nː_a	n	1.0
n_#>	#>	1.0
n	n	1.0
m	m	1.0
lː	l	1.0
l_b	l_f	1.0
l	l	1.0
iː	-	1.0
i	-	1.0
f	f	1.0
d_u	d	1.0
b	b	1.0
a_r	æ	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_h	<#	1.0
#>	t_#>	1.0
a	-	0.833
d	d	0.8
ˈiː	ˈiː	0.778
w	v	0.762
t	t	0.741
ˈiu̯	ˈae̯	0.714
j	-	0.714
θ	d	0.667
ˈɛː	ˈae̯	0.667
k	k	0.636
h	h	0.615
ˈɔː	ˈaʊ̯	0.6
ˈa	ˈa	0.591
ˈu	ˈʊ	0.571
ˈi	ˈɪ	0.571
ɡ	ɡ	0.538
r	æ	0.474
r	r	0.421
ˈɔː	ˈoː	0.4
k	kʰ	0.364
ˈɛː	ˈɪ	0.333
ˈɔ	ˈœ	0.333
ˈɔ	ˈuː	0.333
ˈɔ	ˈaʊ̯	0.333
ɡ	-	0.308
s	z	0.3
ˈiu̯	-	0.286
j	j	0.286
s	ʃ	0.267
t	tʰ	0.259
ˈa	ˈɒː	0.227
ˈiː	ˈɪ	0.222
ˈu	ˈɔ	0.214
ˈu	ˈœː	0.214
s	s	0.2
d	-	0.2
h	x	0.192
θ	-	0.19
a	m	0.167
ɡ	j	0.154
θ	t	0.143
ˈi	ˈɛ	0.143
w	-	0.143
h	-	0.115
ˈi	ˈʏ	0.107
ˈi	ˈiː	0.107
r	-	0.105
s	ç	0.1
w	w	0.095
ˈa	ˈɔ	0.091
ˈa	-	0.091
h	ŋ	0.077
ˈi	ˈɛː	0.071
s	x	0.067
s	t	0.067
