West Frisian	West Frisian	probability
χ_#>	#>	1.0
ˈɪə̯_r	ɐ	1.0
ˈɪə̯_k	ˈaː_x	1.0
ˈɪə̯_#>	ˈuː_d̥_#>	1.0
ˈɛ_j_#>	ˈaɪ̯_#>	1.0
ˈɔː	ˈɒ	1.0
ˈɔu̯	-	1.0
ˈɔ_χ	ç	1.0
ˈøə̯	ˈaɪ̯	1.0
ˈø	-	1.0
ˈyː	-	1.0
ˈy	-	1.0
ˈu̯o	ˈiː	1.0
ˈu	ˈʊ	1.0
ˈoː_#>	ˈuː_#>	1.0
ˈiə̯_n_#>	ˈaː_#>	1.0
ʦ	d̥	1.0
ɪ_n	eː	1.0
ɪ	ɪ	1.0
ɣ_ə_#>	ɡ̊_#>	1.0
ɣ_j	ŋ	1.0
ɡ	ɡ̊	1.0
ə_r	ɐ	1.0
ɕ	s	1.0
z	-	1.0
v_ə	f_a	1.0
t_j	t	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
p_#>	f_#>	1.0
n_ə	n_a	1.0
n_#>	#>	1.0
m	m	1.0
l_ə	l	1.0
l	l	1.0
k_ˈɛ	ˈa	1.0
k_ə	n	1.0
j_ˈɪ	ˈiː	1.0
j_ˈuə̯	ˈaɪ̯	1.0
j_ə	n	1.0
h	h	1.0
f_#>	b̥_#>	1.0
f	f	1.0
b	b̥	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_k	<#_ɡ̊	1.0
<#_j	<#_j	1.0
<#	<#_ˈɛ	1.0
#>	b̥_#>	1.0
d	d̥	0.88
d̥	d̥	0.857
ʋ	v	0.842
ŋ	ŋ	0.818
ˈɛ	ˈɛ	0.778
v	v	0.75
ˈuə̯	ˈuː	0.727
ˈɛː	-	0.667
t_ə	z̥_n	0.667
n	n	0.611
ˈeː	-	0.6
ˈiə̯	ˈiː	0.583
j	-	0.583
s	s	0.545
ˈa	ˈɒ	0.533
ˈuː	ˈaʊ̯	0.5
t	d̥	0.5
r	ɐ	0.475
χ	x	0.462
ə	-	0.462
ˈiː	ˈaɪ̯	0.455
ˈi	ˈaɪ̯	0.455
s	ʃ	0.455
ˈɛi̯	-	0.429
p	b̥͡v̥	0.429
ˈiə̯	ˈoː	0.417
k	ɡ̊	0.417
ˈɔ	ˈɔ	0.412
ˈeː	ˈeː	0.4
ˈɪ	ˈɪ	0.385
r	r	0.375
ˈoə̯	ˈɔ_ɐ	0.364
ˈiː	-	0.364
ˈi	ˈɪ	0.364
ˈɛː	ˈɪ	0.333
ˈaː	ˈɒ	0.333
ə	n	0.333
t_ə	z̥	0.333
k	ç	0.333
ˈɔ	ˈʊ	0.294
ˈɛi̯	ˈɛ_ɡ̊	0.286
ˈɛi̯	ˈeː	0.286
p	v̥	0.286
p	f	0.286
t	ʦ	0.283
ˈuə̯	-	0.273
ˈoə̯	ˈoː	0.273
ˈa	ˈoː	0.267
ˈɪə̯	ˈaː	0.25
ˈaː	ˈoː	0.25
ˈaː	ˈaː	0.25
v	-	0.25
n	n_d̥	0.25
k	x	0.25
j	ˈiː	0.25
χ	ç	0.231
ˈɛ	-	0.222
t	s	0.217
ˈuː	-	0.214
ˈa	-	0.2
ˈɪ	ˈiː	0.192
ˈɪə̯	ˈɒ	0.188
ˈɪə̯	ˈiː	0.188
ˈɪə̯	ˈeː	0.188
ˈoə̯	ɐ	0.182
ˈoə̯	-	0.182
ˈiː	ˈiː	0.182
ˈi	-	0.182
ŋ	ç	0.182
ˈɔ	ˈɪ	0.176
ˈaː	-	0.167
j	ˈaɪ̯	0.167
ʋ	v_ˈɔ	0.158
χ	ɡ̊_n	0.154
χ	ɡ̊	0.154
ˈɪ	ˈɛ	0.154
ə	a	0.154
ˈuː	ˈʊ	0.143
ˈuː	ˈaɪ̯	0.143
d̥	l_d̥	0.143
ˈɪə̯	ˈuː	0.125
d	-	0.12
ˈɔ	ˈɒ	0.118
ˈɪ	ˈʊ	0.115
r	ɾ_ɐ	0.1
n	ŋ	0.083
ˈɪ	ˈaː	0.077
ˈɪ	-	0.077
ˈɪə̯	ˈɒː	0.062
n	n_a	0.056
ə	ɐ	0.051
