Icelandic	Old Frisian	probability
θ	θ	1.0
ˈɛi̯	ˈɛː	1.0
ˈɑu̯	ˈa	1.0
ˈœːy̯	ˈaː	1.0
ˈu	ˈu	1.0
ˈou̯	-	1.0
ˈaːu̯	ˈaː	1.0
ˈau̯	ˈe	1.0
ʰt͡n̥	t	1.0
ʰp	pː	1.0
ʰk	ŋ_k	1.0
ʰc	kː	1.0
ʏ	ə	1.0
ɲ	ˈu_ŋ	1.0
ɣ_ʏ	j	1.0
ɣ	-	1.0
ɡ̊ː	ɡː	1.0
ɛ	-	1.0
ɑu̯	i	1.0
ŋ	ŋ	1.0
ð_j	dː	1.0
ç	h	1.0
x	k	1.0
t͡n̥	n	1.0
sː	s	1.0
s_ˈa	s_ˈa	1.0
s_j	s	1.0
r̥	r	1.0
r_ɡ̊	r_ɣ̥	1.0
pʰ	p	1.0
p	p	1.0
n̥	-	1.0
m	m	1.0
l̥	l	1.0
l	l	1.0
kʰ_v	h_w	1.0
k	k	1.0
j_ˈɛː	ˈeː	1.0
j_ˈɛ	ˈi	1.0
j_ˈuː	ˈi̯aː	1.0
j_ˈoːu̯	ˈi̯aː	1.0
h	h	1.0
d̥	d	1.0
c	k	1.0
b̥	b	1.0
aːu̯	iː	1.0
r	r	0.957
s	s	0.955
t	t	0.944
a	ə	0.901
n	n	0.878
f	f	0.87
ˈɛːi̯	ˈɛː	0.752
ɪ	ə	0.734
ˈuː	ˈuː	0.703
ˈaː	ˈe	0.692
cʰ	k	0.667
ˈɛː	ˈe	0.666
ˈʏ	ˈu	0.662
ˈœː	-	0.648
ˈœ	-	0.641
ˈɪː	ˈi	0.639
ˈɪ	ˈi	0.635
ʰt	x	0.621
ˈɔ	ˈɔː	0.607
ˈaːi̯	ˈeː	0.596
ˈɔu̯	-	0.593
ˈai̯	-	0.593
ˈi	ˈi	0.587
ˈɛ	ˈe	0.583
v	v	0.58
t͡l̥	l	0.58
ð	d	0.577
ˈʏː	-	0.568
ɡ̊	ɡ	0.568
ˈiː	ˈiː	0.519
ˈoːu̯	ˈoː	0.517
nː	nː	0.513
ˈɔː	ˈu	0.5
ˈɔː	-	0.5
ɟ̊	ɡ	0.5
ɟ̊	j	0.5
j	-	0.484
ˈʏː	ˈu	0.432
t͡l̥	lː	0.42
ˈi	-	0.413
ˈɔu̯	x	0.407
ˈai̯	ˈe	0.407
ˈaːi̯	-	0.404
ˈoːu̯	-	0.396
ˈa	ˈa	0.395
ˈɔ	-	0.393
ˈɑːu̯	ˈaː	0.392
ʰt	t	0.379
ˈɪː	-	0.361
ˈœ	ˈeː	0.359
ˈœː	ˈaː	0.352
v	w	0.34
ˈɛː	ˈi	0.334
ˈa	ˈe	0.334
ˈɑːu̯	-	0.333
cʰ	ʦ	0.333
ˈiː	-	0.327
ɡ̊	j	0.314
ˈaː	ˈa	0.308
ˈuː	ɣ	0.297
ˈɑːu̯	ˈeː	0.275
ɪ	-	0.266
ˈɛ	-	0.264
nː	-	0.257
ˈɛːi̯	ˈaː	0.248
ð	θ	0.234
nː	θ	0.23
ˈɪ	-	0.224
j	ˈi̯aː	0.202
ˈʏ	-	0.196
ð	ð	0.19
j	ˈe	0.168
ˈɛ	ˈa	0.154
ˈiː	ˈi̯uː	0.153
ˈa	ˈeː	0.146
j	ɣ	0.146
ˈʏ	ˈuː	0.142
ˈɪ	ˈe	0.141
f	f_ˈo	0.13
ˈa	ˈɔː	0.125
n	-	0.122
ɡ̊	ɣ̥	0.118
a	j_ə	0.099
ˈoːu̯	ˈi̯aː	0.087
v	bː	0.079
t	t_ə	0.056
