Westphalian	Westphalian	probability
ˈɪə̯	-	1.0
ˈɒː	ˈaː_z	1.0
ˈœː	-	1.0
ˈyːœ̯	-	1.0
ˈyə̯	ˈœ	1.0
ˈuə̯	-	1.0
ˈoː	ˈuː	1.0
ˈiɛ̯	-	1.0
ˈeː	ˈaɪ̯	1.0
ʃ_k_#>	ʃ_#>	1.0
ʃ	ʃ	1.0
ɪ	ɪ	1.0
ɣ	-	1.0
ɡ	ɡ	1.0
ə_#>	#>	1.0
ə	ə	1.0
z̥	z̥	1.0
v̥	b̥	1.0
v_n	b_n	1.0
t_n	s_n	1.0
s_t	s_t	1.0
s_#>	n_z̥_#>	1.0
r	ʁ	1.0
p_n	f_n	1.0
p_#>	f_#>	1.0
l	l	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d_n	t_n	1.0
b	b	1.0
aɪ̯	eː	1.0
<#_n	<#_n	1.0
n	n	0.943
m	m	0.929
ˈa	ˈa	0.889
s	z	0.882
ŋ	ŋ	0.846
ɐ	ɐ	0.838
ˈɪ	ˈɪ	0.808
v	v	0.808
ˈuː	ˈaʊ̯	0.778
ʋ	v	0.75
ç	ç	0.75
p	p͡f	0.75
ˈiː	ˈaɪ̯	0.733
ˈøː	ˈyː	0.714
#>	n_#>	0.714
ˈʏ	ˈʏ	0.667
ˈɛ	ˈɛ	0.667
z	z	0.667
ˈɔː	ˈaː	0.643
x	ɡ	0.632
ˈɔ	ˈa	0.6
ˈyː	ˈɔʏ̯	0.6
ˈuːə̯	ˈʊ_ɐ	0.6
ˈɪɛ̯	ˈɛ	0.545
ˈaɪ̯	ˈiː	0.529
d̥	t	0.517
ˈɛː	ˈɛ	0.5
ˈɛː	-	0.5
ˈaː	ˈaː	0.5
ˈaː	ˈa	0.5
d	d	0.484
d̥	d̥	0.483
d	tʰ	0.452
ˈʊ	ˈʊ	0.438
ˈaʊ̯	ˈoː	0.429
ˈaʊ̯	ˈaʊ̯	0.429
k	kʰ	0.419
ˈɔ	ˈɔ	0.4
ˈyː	-	0.4
ˈuːə̯	ˈoː	0.4
t	ʦ	0.351
ˈʏ	-	0.333
z	-	0.333
t	s	0.324
ˈʊ	ˈɔ	0.312
ˈøː	ˈuː	0.286
#>	f_#>	0.286
ˈɪɛ̯	ˈeː	0.273
t	t	0.27
x	x	0.263
ˈʊ	ˈaʊ̯	0.25
ʋ	b̥	0.25
ç	k_n	0.25
p	p	0.25
k	ç	0.226
ˈuː	-	0.222
ˈɔː	ˈoː	0.214
k	k	0.194
ˈɪɛ̯	-	0.182
ˈaɪ̯	ˈeː	0.176
ˈaɪ̯	-	0.176
ˈɛ	ˈɪ	0.167
ˈɛ	ˈaː	0.167
k	x	0.161
ŋ	-	0.154
ˈɔː	-	0.143
ˈaʊ̯	-	0.143
ˈiː	ˈiː_ɐ	0.133
ˈiː	ˈiː	0.133
ˈaɪ̯	ˈaɪ̯	0.118
s	k_s	0.118
ˈɪ	ˈaɪ̯	0.115
v	b	0.115
ˈa	ˈaː	0.111
x	ɡ̊	0.105
ˈɪ	-	0.077
v	b̥	0.077
m	-	0.071
d	t	0.065
n	n_d	0.057
ɐ	ˈiː_ɐ	0.054
ɐ	ʁ_ə	0.054
ɐ	t_ɐ	0.054
t	ɐ_ʦ	0.054
