American English	Limburgish	probability
b	b	1.0
d	t	0.472
d	d	0.36
d	-	0.163
f	v	0.739
f	f	0.159
f	x	0.068
f	ˈv	0.038
h	ɦ	1.0
i	ə_x	0.488
i	ɪ	0.197
i	ə	0.182
j	j	0.594
j	ɣ	0.392
k	k	0.564
k	-	0.166
k	k_ə	0.145
k	ə_k	0.11
kʰ	k	1.0
l	l	1.0
m	m	0.751
m	ə_m	0.148
m	m_ə	0.09
n	n	0.846
n	-	0.152
oʊ̯	-	0.488
oʊ̯	ə	0.317
p	p	0.614
p	p_ə	0.228
p	ə_p	0.131
pʰ	p	0.242
s	s	0.524
s	z	0.476
s_t	s	1.0
t	t	0.647
t	x	0.217
t	t_ə	0.098
t	j	0.036
tʰ	t	0.97
tʰ	b	0.04
v	v	0.445
v	f	0.277
v	v_ə	0.135
v	b	0.098
w	β	0.919
w	-	0.077
z	s	0.561
z	ʀ	0.182
z	z	0.121
ð	j	0.517
ð	d	0.45
ð_ɚ	ʀ	1.0
ŋ	ŋ	1.0
ə	-	0.375
ə	ə	0.303
ə	ˈɛ	0.107
ɚ	ə_ʀ	0.544
ɚ	ʀ	0.366
ɚ	ʀ_ə	0.055
ɚ	-	0.04
ɡ	ɣ	0.723
ɡ	-	0.273
ɪ	-	0.5
ɪ	ə	0.5
ɫ	l	0.39
ɫ	l_ə	0.185
ɫ	j	0.169
ɫ	ə_l	0.143
ɫ	w	0.056
ɹ	ʀ	0.905
ɹ	-	0.039
ɹ	ə_ʀ	0.033
ɹ	ʀ_ə	0.033
ɹ_n	ʀ	1.0
ɾ	t	1.0
ʃ	ʃ	0.506
ʃ	s	0.484
ʤ	k	0.683
ʤ	x	0.221
ʧ	k	1.0
ˈaɪ̯	ˈiː	0.31
ˈaɪ̯	ˈeː	0.14
ˈaɪ̯	ˈyː	0.085
ˈaɪ̯	ˈi	0.064
ˈaɪ̯	ˈɑ	0.064
ˈaʊ̯	ˈuː	0.574
ˈaʊ̯	ˈʊː	0.162
ˈaʊ̯	ˈoː	0.141
ˈaʊ̯	ˈœi̯	0.107
ˈeɪ̯	ˈaː	0.428
ˈeɪ̯	ˈeː	0.156
ˈeɪ̯	ˈu	0.089
ˈeɪ̯	ˈɑ	0.089
ˈeɪ̯	ˈɒː	0.072
ˈi	ˈeː	0.19
ˈi	ˈɒː	0.169
ˈi	ˈøː	0.141
ˈi	ˈi	0.139
ˈi	ˈɔː	0.121
ˈoʊ̯	ˈɛː	0.351
ˈoʊ̯	ˈɔː	0.15
ˈoʊ̯	ˈi	0.105
ˈoʊ̯	ˈaː	0.075
ˈoʊ̯	ˈɒː	0.075
ˈu	ˈœi̯	0.182
ˈu	ˈɔ	0.182
ˈu	ˈɑː	0.128
ˈu	ˈi	0.118
ˈu	ˈɒː	0.118
ˈæ	ˈɑ	0.312
ˈæ	ˈaː	0.242
ˈæ	ˈɑː	0.223
ˈæ	ˈæ	0.075
ˈæ	ˈœ	0.075
ˈɑ	ˈaː	0.34
ˈɑ	ˈɔ	0.277
ˈɑ	ˈæː	0.156
ˈɑ	ˈɑ	0.071
ˈɑ	ˈɑː	0.071
ˈɔ	ˈʊː	0.334
ˈɔ	ˈeː	0.215
ˈɔ	ˈœː	0.124
ˈɔ	ˈɑ	0.124
ˈɔ	ˈæː	0.094
ˈɛ	ˈeː	0.312
ˈɛ	ˈu	0.135
ˈɛ	ˈɒː	0.094
ˈɛ	-	0.049
ˈɛ	ˈɪː	0.049
ˈɝ	ʀ	0.304
ˈɝ	ˈɛː	0.304
ˈɝ	ˈʊː	0.172
ˈɝ	ˈœː	0.105
ˈɪ	ˈɪː	0.242
ˈɪ	ˈɛ	0.126
ˈɪ	ˈeː	0.116
ˈɪ	ˈʏ	0.091
ˈɪ	ˈiː	0.079
ˈʊ	ˈɔ	0.315
ˈʊ	ˈʊː	0.235
ˈʊ	ˈɔː	0.178
ˈʊ	ˈoː	0.065
ˈʌ	ˈʊː	0.34
ˈʌ	ˈoː	0.157
ˈʌ	ˈɑ	0.081
ˈʌ	ˈɔ	0.081
ˈʌ	ˈøː	0.068
θ	d	0.605
θ	t	0.218
θ	n_t	0.093
θ	-	0.065
