American English	Limburgish	probability
b	b	1.0
d	d	0.398
d	t	0.35
d	-	0.225
f	v	0.778
f	f	0.158
f	x	0.051
h	ɦ	1.0
i	ə	0.394
i	-	0.225
i	ɪ	0.225
i	i	0.156
j	j	0.437
j	ɣ	0.4
j	ˈøː	0.163
k	k	0.87
k	-	0.074
k	ə_k	0.056
kʰ	k	0.929
kʰ	-	0.071
l	l	1.0
m	m	0.981
n	n	0.902
n	-	0.098
oʊ̯	ə	0.728
oʊ̯	-	0.272
p	p	0.963
pʰ	p	1.0
s	z	0.534
s	s	0.466
t	t	1.0
tʰ	t	0.926
tʰ	b	0.074
tː	t	1.0
v	v	0.582
v	f	0.247
v	b	0.137
w	β	0.904
w	-	0.053
z	s	0.586
z	z	0.289
z	ʀ	0.125
ð	d	0.521
ð	j	0.479
ŋ	ŋ	1.0
ə	ə	0.837
ə	-	0.117
ɚ	ʀ	0.461
ɚ	ə	0.402
ɚ	-	0.077
ɚ	ʀ_ə	0.06
ɡ	ɣ	0.912
ɡ	-	0.088
ɪ	-	0.783
ɪ	ə	0.217
ɫ	l	0.682
ɫ	ə_l	0.141
ɫ	j	0.087
ɫ	-	0.074
ɹ	ʀ	0.931
ɹ	-	0.069
ɾ	t	1.0
ʃ	ʃ	0.611
ʃ	s	0.389
ʔ	t	0.748
ʔ	x	0.197
ʔ	j	0.055
ʤ	k	0.672
ʤ	x	0.328
ʧ	k	1.0
ˈaɪ̯	ˈeː	0.321
ˈaɪ̯	ˈiː	0.244
ˈaɪ̯	ˈɪː	0.165
ˈaɪ̯	ˈyː	0.056
ˈaɪ̯	ˈɛ	0.05
ˈaʊ̯	ˈuː	0.693
ˈaʊ̯	ˈʊː	0.131
ˈaʊ̯	ˈoː	0.126
ˈaʊ̯	ˈœi̯	0.05
ˈeɪ̯	ˈaː	0.452
ˈeɪ̯	ˈɒː	0.114
ˈeɪ̯	ˈeː	0.091
ˈeɪ̯	ˈɛ	0.089
ˈeɪ̯	ˈʊː	0.089
ˈeɪ̯	ˈɑ	0.07
ˈeɪ̯	ˈɑː	0.062
ˈi	ˈøː	0.168
ˈi	ˈeː	0.133
ˈi	ˈɔː	0.128
ˈi	ˈɒː	0.107
ˈi	ˈi	0.106
ˈi	ˈɛːi̯	0.059
ˈi	ˈiː	0.057
ˈi	-	0.053
ˈi	ˈɛː	0.052
ˈoʊ̯	ˈɛː	0.407
ˈoʊ̯	ˈi	0.14
ˈoʊ̯	ˈʊː	0.112
ˈoʊ̯	ˈɔː	0.087
ˈoʊ̯	ˈɑ	0.06
ˈoʊ̯	ˈaː	0.058
ˈoʊ̯	ˈɒː	0.058
ˈu	ʀ	0.239
ˈu	ˈɔ	0.191
ˈu	ˈʊː	0.119
ˈu	j	0.082
ˈu	ˈɑː	0.082
ˈu	ˈœi̯	0.074
ˈu	ˈɔu̯	0.074
ˈu	ˈɒː	0.065
ˈæ	ˈaː	0.358
ˈæ	ˈɑː	0.333
ˈæ	ˈɑ	0.178
ˈæ	ˈæː	0.07
ˈɑ	ˈaː	0.5
ˈɑ	ˈɔ	0.17
ˈɑ	ˈæː	0.159
ˈɑ	ˈɑ	0.112
ˈɔ	ˈʊː	0.398
ˈɔ	ˈeː	0.144
ˈɔ	ˈøː	0.125
ˈɔ	ˈœː	0.125
ˈɔ	ˈæ	0.07
ˈɔ	ˈæː	0.068
ˈɔ	ˈɑ	0.068
ˈɛ	ˈeː	0.245
ˈɛ	ˈɒː	0.098
ˈɛ	ˈu	0.093
ˈɛ	ˈɑ	0.073
ˈɛ	ˈɪ	0.071
ˈɛ	ˈæ	0.065
ˈɛ	ˈʏː	0.055
ˈɛ	ˈi	0.054
ˈɝ	ˈʊː	0.367
ˈɝ	ˈɛː	0.244
ˈɝ	ˈaː	0.161
ˈɝ	ˈœː	0.146
ˈɝ	ʀ	0.081
ˈɪ	ˈɪː	0.439
ˈɪ	ˈʏ	0.121
ˈɪ	ˈeː	0.096
ˈɪ	ˈɛ	0.073
ˈɪ	ˈœ	0.058
ˈʊ	ˈɔ	0.342
ˈʊ	ˈʊː	0.342
ˈʊ	ˈoː	0.226
ˈʊ	ˈɔː	0.09
ˈʌ	ˈʊː	0.4
ˈʌ	ˈoː	0.118
ˈʌ	ˈɔ	0.111
ˈʌ	ˈɔu̯	0.082
ˈʌ	ˈɔː	0.052
ˈʌɪ̯	ˈɑ	0.286
ˈʌɪ̯	ˈiː	0.25
ˈʌɪ̯	ˈi	0.146
ˈʌɪ̯	ˈæ	0.141
ˈʌɪ̯	ˈɪ	0.106
ˈʌɪ̯	ˈeː	0.071
θ	d	0.665
θ	t	0.311
