Saterland Frisian	Saterland Frisian	probability
ˈɪ	ˈi	1.0
ˈɔːɪ̯	ˈa_d	1.0
ˈyː	ˈiu̯	1.0
ˈu	ˈu	1.0
ˈoːu̯_n	ˈa_n	1.0
ˈoː_l	ˈa_l	1.0
ˈiː_n	ˈi_n	1.0
ˈeːu̯	ɡ_ˈi	1.0
ˈaːu̯	w	1.0
ˈaː	-	1.0
ˈa	ˈa	1.0
ɪ	-	1.0
ɡ	ɡ_ˈa	1.0
ə_r	r_u	1.0
ə_n	n	1.0
x_#>	#>	1.0
x	h	1.0
w	-	1.0
t_#>	#>	1.0
r_#>	#>	1.0
r	r	1.0
p	p	1.0
m	m	1.0
k_ˈuː	kʷ	1.0
k	k	1.0
j_ˈoː	ˈiu̯	1.0
h	h	1.0
f	f	1.0
b	b	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
t	t	0.913
l	l	0.87
n	n	0.84
ŋ	ŋ_ɡ	0.833
v	w	0.81
<#_t	<#_t	0.714
#>	s_#>	0.701
ˈɔː	ˈa	0.667
s	s	0.667
ɣ	ɡ	0.625
<#_d	<#_d	0.6
ˈʊ	ˈu	0.571
<#	<#_h	0.571
ə	a	0.562
ˈoːu̯	ˈoː	0.545
ˈi	ˈiː	0.545
d	θ	0.517
ˈɛ	ˈi	0.5
ˈɛ	ˈa	0.5
ˈɔ	ˈu	0.5
ˈɔ	ˈa	0.5
ˈuː	ˈu	0.5
ˈoː	ˈɔː	0.5
ˈiː	ˈi	0.5
j	ˈɛ	0.5
j	ˈi	0.5
ˈi	-	0.455
<#	<#_ˈa	0.429
ˈeː	ˈɛː	0.4
<#_d	<#_θ	0.4
ɣ	-	0.375
ˈɛɪ̯	-	0.333
ˈɔː	-	0.333
ˈuː	ˈuː	0.333
s	i_s	0.333
d	d	0.31
ˈiː	-	0.3
ˈʊ	-	0.286
ˈoː	-	0.286
<#_t	<#	0.286
ˈoːu̯	-	0.273
#>	n_#>	0.264
ˈɛɪ̯	ˈiː_s	0.222
ˈɛɪ̯	ˈiu̯	0.222
ˈɛɪ̯	ˈeː	0.222
ˈoː	ˈa	0.214
ˈiː	ˈɛ	0.2
ˈeː	ˈɛː_w	0.2
ˈeː	ˈɔː	0.2
ˈeː	ˈa	0.2
ˈoːu̯	ˈeː	0.182
ˈuː	-	0.167
ŋ	ɡʷ	0.167
n	nː	0.16
ə	oː	0.146
ˈʊ	ŋ	0.143
l	lː	0.13
d	-	0.103
v	β	0.095
v	ʍ	0.095
t	r_t	0.087
d	t	0.069
ə	j_a	0.062
ə	-	0.062
