Luxembourgish	Nynorsk Norwegian	probability
b	b	1.0
d	d	0.483
d	tʰ	0.356
d	-	0.088
d	ç	0.057
d_ɐ	ɾ	1.0
e	ŋ	0.229
f	f	0.681
f	p	0.11
f	-	0.066
f	ʋ	0.062
f	pʰ	0.05
h	h	0.948
h	-	0.052
j	-	0.5
j	ˈʊ	0.5
k	-	0.4
k	ɡː	0.4
k	ʰkː	0.107
k	k	0.052
kʰ	kʰ	0.857
kʰ	ç	0.118
l	l	0.795
l	lː	0.118
l	ɡ_l	0.047
l	j	0.029
l	-	0.027
m	m	0.819
m	m_j	0.104
m	mː	0.06
m	ʃ	0.03
n	n	0.526
n	-	0.333
n	nː	0.116
n	m	0.027
n_t	nː	1.0
p	p	0.479
s	t	0.618
s	s	0.27
s	s_e	0.07
s	-	0.04
t	-	0.335
t	d	0.3
t	t	0.278
t	ç	0.044
t	ʰtː	0.038
v	ʋ	0.452
v	-	0.252
v	kʰ_ʋ	0.15
v	m	0.075
v	v	0.062
v_ˈo	ˈʉ	1.0
w	ʋ	0.343
w	-	0.316
w	ˈʏ	0.182
w	ˈuː	0.115
z	s	0.786
z	ʃ	0.207
ŋ	ŋː	0.773
ŋ	n	0.125
ŋ	ɲ	0.091
ŋ_k	ʰkː	0.479
ɐ	ɾ	0.533
ɐ	e	0.327
ɐ	-	0.07
ɐ	ɛ	0.056
ɐ_t	ɾ	1.0
ɕ	ɡ	0.445
ɕ	k	0.332
ɕ	-	0.093
ɕ	ç	0.069
ɕ	s	0.055
ɕ_t	ʰtː	1.0
ə	-	0.737
ə	e	0.211
ə	ɑ	0.052
ə_f	ʋ	1.0
ə_n	ɑ	1.0
ɡ	ɡ	0.616
ɡ	j	0.296
ɡ	-	0.078
ʀ	ɾ	0.957
ʀ	-	0.043
ʃ	s	0.569
ʃ	s_k	0.211
ʃ	ʃ	0.182
ʃ	-	0.039
ʑ	j	0.479
ʦ	tʰ	0.52
ʦ	t	0.198
ʦ	ç	0.097
ʦ	-	0.097
ʦ	çː	0.073
ˈaː	ˈɑː	0.239
ˈaː	ˈɑ	0.17
ˈaː	ˈɑ_ɾ	0.148
ˈaː	ˈʊ	0.119
ˈaː	ˈɛ	0.101
ˈe	ˈɪ	0.339
ˈe	ˈʏ	0.295
ˈe	ˈøː	0.194
ˈe	ˈʊ	0.123
ˈe_ŋ	ˈiː	1.0
ˈeː	ˈæɪ̯	0.487
ˈeː	ˈɛ	0.169
ˈeː	-	0.083
ˈeː	ˈæːɪ̯	0.083
ˈeː	ˈeː	0.081
ˈi	ˈoː	0.331
ˈi	ˈɪ	0.219
ˈi	ˈeː	0.138
ˈi	ˈyː	0.091
ˈi	ˈʊ	0.091
ˈiə̯	ˈeː	0.354
ˈiə̯	ˈɛː	0.134
ˈiə̯	ˈøː	0.128
ˈiə̯	ˈɔ	0.128
ˈiə̯	ˈʉː	0.128
ˈiː	ˈɛ	0.308
ˈiː	ˈʏ	0.121
ˈiː	ˈæ	0.112
ˈiː	ˈʉː	0.112
ˈiː	ˈʉ	0.08
ˈo	ˈʏ	0.263
ˈo	ˈʉ	0.229
ˈo	ˈuː	0.174
ˈo	ˈʊ	0.174
ˈo	ˈʉː	0.119
ˈoː	ˈoː	0.71
ˈoː	ˈɑ	0.133
ˈoː	ˈæɪ̯	0.087
ˈu	ˈuː	0.433
ˈu	ˈʉ	0.134
ˈu	ˈɑː	0.116
ˈu	ˈɑ	0.116
ˈu	ˈʉː	0.074
ˈuə̯	ˈɔ	0.513
ˈuə̯	ˈɑː	0.202
ˈuə̯	ˈɑ	0.153
ˈuː	ˈɔ	0.74
ˈuː	ˈuː	0.129
ˈæ	ˈoː	0.461
ˈæ	ˈʊ	0.254
ˈæ	ˈɛ	0.077
ˈæɪ̯	ˈiː	1.0
ˈæːɪ̯	ˈiː	0.735
ˈæːɪ̯	ˈeː	0.149
ˈæːɪ̯	ˈʏ	0.099
ˈæːʊ̯	ˈʉː	1.0
ˈɑ	ˈɑ	0.526
ˈɑ	ˈɪ	0.235
ˈɑ	-	0.066
ˈɑ	ˈʉː	0.066
ˈɑ	ˈʏ	0.054
ˈɑɪ̯	ˈyː	0.525
ˈɑɪ̯	ˈiː	0.179
ˈɑɪ̯	ə	0.123
ˈɑɪ̯	ˈeː	0.118
ˈɔ	ˈʊ	0.574
ˈɔ	ˈʉ	0.275
ˈə	ˈɪ	0.223
ˈə	ˈʏ	0.206
ˈə	ˈɛ	0.156
ˈə	ˈiː	0.132
ˈə	ˈeː	0.115
ˈəɪ̯	ˈøː	0.333
ˈəɪ̯	ˈyː	0.203
ˈəɪ̯	ˈoː	0.138
ˈəɪ̯	ˈæʉ̯	0.08
ˈəɪ̯	ˈeː	0.08
ˈəʊ̯	ˈuː	0.349
ˈəʊ̯	ˈœʏ̯	0.349
ˈəʊ̯	ˈoː	0.106
ˈəʊ̯	ˈʉː	0.063
ˈəʊ̯_t	ˈæʉ̯	1.0
ˈɛ	ˈɛ	0.488
ˈɛ	ˈæɪ̯	0.177
ˈɛ	ˈeː	0.177
ˈɛː	j	0.228
ˈɛː	ˈɛ	0.199
ˈɛː	ˈɛː	0.119
ˈʊ	ˈuː	0.629
ˈʊ	-	0.361
ˈʊ_t	ˈuː	1.0
ˈʊɪ̯	ˈɔ	0.229
χ	k	0.392
χ	-	0.341
χ	ɡ	0.188
