Middle High German	Northern Low Saxon	probability
ˈɛ_h	ˈaɪ̯	1.0
ˈɑː	ˈoː	1.0
ˈɑ_r	ˈaː	1.0
ˈøː	ˈɔʏ̯	1.0
ˈøy̯	ˈɔʏ̯	1.0
ˈæː	ˈɛɪ̯	1.0
ˈyə̯	ˈɔʏ̯	1.0
ˈuː	ˈuː	1.0
ˈu_r	ˈɔː	1.0
ˈoː	ˈaʊ̯	1.0
ˈou̯	ˈaʊ̯	1.0
ˈeː	-	1.0
ʦː	-	1.0
ʃː	ʃ	1.0
ɡ_ə	ŋ	1.0
ɡ_r	ɡ_r	1.0
ɛ	ˈœ_t	1.0
ə_ɡ̊	i	1.0
ə_r	ɐ	1.0
ə_n	m	1.0
ɑ	-	1.0
ŋ_ɡ̊	ŋ	1.0
ŋ_ɡ	ŋ	1.0
xː	ɡ	1.0
v	f	1.0
tː	d	1.0
t_ˈoː	d_ˈaʊ̯	1.0
t_r	d_r	1.0
s̻ː	d	1.0
s_ˈeː	z	1.0
s_ə	z̥	1.0
s_t	s	1.0
rː	ˈɔʏ̯	1.0
r_ʦ	d	1.0
r_ə	ɐ	1.0
p	p	1.0
oː	-	1.0
ou̯	ˈoː	1.0
nː	n	1.0
n_ə	n	1.0
n_d	n	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kː_ə	ç	1.0
kː	ɡ	1.0
kʰ	kʰ	1.0
j	ʒ	1.0
i	ɪ	1.0
h_ˈɛ	h	1.0
h_ə	aɪ̯	1.0
fː	p	1.0
d̥	d	1.0
b_ə	v	1.0
ə	-	0.98
n	n	0.915
ʃ	ʃ	0.894
d	d	0.884
w	v	0.878
ˈuə̯	ˈaʊ̯	0.842
s̻	d	0.831
ʦ	tʰ	0.823
ˈiə̯	ˈaɪ̯	0.817
s	z	0.816
h	h	0.812
ˈi	ˈɪ	0.791
ɡ̊	ç	0.791
ˈiː	ˈiː	0.765
f	b	0.753
b	b	0.752
t	d	0.747
ˈe	-	0.72
ɡ	ɡ	0.696
ˈɑ	ˈa	0.659
k	kʰ	0.642
b̥	f	0.635
ˈu	ˈʊ	0.633
r	ɐ	0.627
ˈei̯	ˈaɪ̯	0.61
p͡f	b	0.6
ŋ	-	0.572
ˈyː	ˈyː	0.549
ˈɑ_l	ˈaː	0.506
ˈɑ_l	ˈaʊ̯_l	0.494
x	ɡ	0.486
ˈy	ˈʏ	0.481
ˈyː	-	0.451
ŋ	ŋ	0.428
p͡f	pʰ	0.4
k	ɡ	0.358
ˈo	ˈaʊ̯	0.343
ˈy	-	0.341
r	r	0.322
ˈɛ	ˈeː	0.318
ˈo	ˈʊ	0.306
ˈe	ˈɛ	0.28
ˈei̯	ˈɪ	0.279
ˈɛ	-	0.269
x	-	0.266
ˈɑ	ˈoː	0.251
x	x	0.248
b	-	0.248
f	f	0.247
ɡ	-	0.235
ˈɛ	ˈɛ	0.222
ɡ̊	x	0.209
ˈɛ	ˈoː	0.191
h	-	0.188
b̥	-	0.188
ˈiə̯	-	0.183
ˈo	ˈɔ	0.182
ˈy	ˈøː	0.177
ʦ	d	0.177
b̥	v̥	0.177
ˈo	-	0.169
s̻	-	0.169
t	t	0.164
ˈi	-	0.161
ˈuə̯	-	0.158
ˈu	ˈɔ	0.142
ˈu	-	0.125
w	-	0.122
ˈiː	ˈɪ	0.118
ˈiː	-	0.118
d	-	0.116
ˈei̯	-	0.112
ʃ	s	0.106
s	s	0.104
ˈu	ˈøː	0.1
t	-	0.089
n	-	0.085
s	-	0.08
ɡ	j	0.069
ˈɑ	-	0.054
r	ˈaː	0.05
