Middle Chinese	Middle Chinese	probability
ʨʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ʥ	-	1.0
ʤ	t	1.0
ʣ	-	1.0
ʔˠ	-	1.0
ʑ	ʦ	1.0
ʌ_k̚	ʔ	1.0
ʌ_i	a_j	1.0
ʈˠ	t_o	1.0
ʃˠ	s	1.0
ʃ	s	1.0
ɳ	n	1.0
ɪ	i	1.0
ɨ_ʌ	ɯ	1.0
ɨ_u	u	1.0
ɦˠ	-	1.0
ɦ_w_ɑ	ŋ̍	1.0
ɦ	h	1.0
ɡˠ	k	1.0
ɡ	k	1.0
ə_u	a_w	1.0
ə_n	ŋ	1.0
ɖˠ	t	1.0
ɖ	-	1.0
ɕˠ	ʦ	1.0
ȵ	ʣ	1.0
ŋˠ	ɡ	1.0
æ_ŋ	ẽ	1.0
æ	e	1.0
u_ɪ	u_j	1.0
u_o	o_w	1.0
tʰ	tʰ	1.0
t	t	1.0
sˠ	s	1.0
s	s	1.0
p̚	p̚	1.0
pˠ	p	1.0
pʰˠ	-	1.0
pʰ	pʰ	1.0
p_ɨ	h_w	1.0
p	p	1.0
mˠ	b	1.0
lˠ	n	1.0
l	l	1.0
kʰˠ	kʰ	1.0
kʰ	kʰ	1.0
k	k	1.0
i_e	i	1.0
hˠ	h	1.0
h	h	1.0
e_u	o	1.0
e_n	ĩ	1.0
<#_ʔ	<#	1.0
<#_ɦ	<#	1.0
<#_n	<#_l	1.0
n	ŋ	0.833
˧˥	⁵²	0.806
ʦʰ	ʦʰ	0.8
ŋ	ŋ	0.765
w	w	0.714
o	-	0.667
k̚	k̚	0.667
t̚	ʔ	0.636
m	m	0.625
#>	²_#>	0.621
ʌ	a	0.6
ɛ	-	0.6
d	tʰ	0.6
b	p	0.6
<#_ŋ	<#_ɡ	0.6
u_ŋ	a_ŋ	0.571
ʉ	w	0.556
˦	⁵⁵	0.528
ʈ	ʦ	0.5
ʈ	t	0.5
ə	e	0.5
ə	-	0.5
ɕ	s	0.5
ɕ	-	0.5
ɑ_u	o	0.5
ɑ_u	a_w	0.5
ɐ	a	0.5
i	-	0.5
a	e	0.5
a	a	0.5
<#	<#_ʦ	0.5
˥˩	¹¹	0.476
˦	³³	0.444
ʉ	-	0.444
˥˩	²¹³	0.429
u_ŋ	ŋ	0.429
ʌ	-	0.4
ɛ	ũ	0.4
d	t	0.4
b	-	0.4
<#_ŋ	<#	0.4
#>	⁴_#>	0.379
u	w	0.364
t̚	k̚	0.364
ɑ	a	0.333
o	o	0.333
k̚	ʔ	0.333
w	-	0.286
ɨ	i	0.25
m	b	0.25
i	j	0.25
<#	<#_ʦʰ	0.25
<#	<#_kʰ	0.25
u	o	0.227
u	-	0.227
e	j	0.214
e	e	0.214
ʦʰ	ʨʰ	0.2
ɑ	ɯ	0.2
ɑ	-	0.2
ɐ	u	0.2
ɐ	-	0.2
˧˥	³⁵	0.194
ɨ	a	0.179
ɨ	-	0.179
n	ã	0.167
ɨ	e	0.143
e	o	0.143
e	ĩ	0.143
e	i	0.143
e	a	0.143
ɑ	o	0.133
ɑ	e	0.133
m	-	0.125
ŋ	ã	0.118
ŋ	-	0.118
ɨ	u	0.107
ɐ	õ	0.1
i	a	0.1
˥˩	³⁵	0.095
u	u	0.091
u	a	0.091
i	w	0.075
i	e	0.075
ɨ	ɯ	0.071
ɨ	j	0.071
