Auvergnat	Auvergnat	probability
ˈɛ	ˈɨ	1.0
ˈɔ̃	ˈu	1.0
ˈɔ_w	w	1.0
ˈɔ_t	s_t	1.0
ˈỹ	ˈu	1.0
ˈy	ˈu	1.0
ˈũ	ˈu	1.0
ˈĩ	ˈi	1.0
ˈẽ	ˈi	1.0
ˈa_w	ˈa	1.0
ʧ_ˈa	k_ˈa	1.0
ʤ_w	ʤ	1.0
ʒ	ʦ	1.0
ʎ_ɔ	ʎ_i	1.0
ʀ_ɔ	r_ə	1.0
ɲ	-	1.0
ɪ	s	1.0
ɥ	ˈi_d	1.0
ɔ_#>	#>	1.0
œ	-	1.0
z	-	1.0
y	u	1.0
u	u	1.0
t	t	1.0
pʲ	p	1.0
p_ˈe	k_e̯ˈa	1.0
p_w	p	1.0
p	p	1.0
mʲ	ɲ	1.0
l_ˈa	l_e̯ˈa	1.0
l_#>	r_#>	1.0
j_ʀ	t	1.0
i	-	1.0
fʲ	ç	1.0
e	t_i_r	1.0
dʲ	t	1.0
b_w	b	1.0
ã	ɨ	1.0
<#_ʎ	<#_l	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#	<#_a	1.0
ɔ	ə	0.875
k	k	0.846
ʧ	k	0.8
ʎ	ʎ	0.8
ʀ	r	0.8
f	f	0.8
ˈã	ˈɨ	0.75
ˈu	ˈu	0.737
#>	i_#>	0.725
m	m	0.714
k_#>	k_#>	0.714
n	n	0.706
ɡ	ɡ	0.667
ˈi	ˈi	0.636
ə	i	0.636
w_ˈɔ	ˈo	0.6
b	b	0.556
ˈɪ̃	ˈi	0.5
ˈɪ̃	-	0.5
ˈɔ	ˈo	0.5
ˈœ	ˈo_k	0.5
ˈœ	-	0.5
ʤ	ʣ	0.5
d	d	0.5
ˈɪ	e̯ˈa	0.471
j	-	0.471
ŋ	n	0.464
s	s	0.432
ɒ	ə	0.417
w_ˈɔ	o̯ˈa	0.4
l	l	0.381
ˈi	ˈi_r	0.364
v	v	0.357
v	j	0.357
d	t	0.357
ɡ	-	0.333
ɒ	a	0.333
ˈe	ˈe	0.32
ˈe	ˈa	0.32
ˈɔ	r	0.3
ʤ	ɡ	0.3
s	ʦ	0.297
l	r	0.286
k_#>	#>	0.286
w	ˈo	0.278
ˈa	ˈa_r	0.273
ˈa	ˈa	0.273
ˈã	-	0.25
ɒ	-	0.25
ˈɪ	ˈi	0.235
j	i	0.235
b	ɡ	0.222
b	p	0.222
v	-	0.214
ˈɔ	-	0.2
ʧ	t	0.2
ʤ	k	0.2
ʎ	k	0.2
f	ç	0.2
l	ʎ	0.19
ˈɪ	ˈe	0.176
n	i_n	0.176
j	ˈo	0.176
w	l	0.167
w	b	0.167
w	-	0.167
s	ʃ	0.162
ˈe	e̯ˈa	0.16
ˈu	o̯ˈa	0.158
k	-	0.154
ə	-	0.152
#>	ə_#>	0.15
ŋ	n_i	0.143
m	ɲ	0.143
m	-	0.143
l	e̯ˈa	0.143
d	i	0.143
ˈa	ˈe	0.121
ˈa	i	0.121
ˈa	-	0.121
ə	u	0.121
ˈe	ˈa_p	0.12
ˈɪ	j	0.118
n	-	0.118
j	t_i	0.118
w	ˈa	0.111
w	o̯ˈa	0.111
s	-	0.108
ŋ	n_t	0.107
ˈu	ˈo_j	0.105
ˈa	ˈɨ	0.091
ə	ə	0.091
ʀ	u_r	0.086
ˈe	-	0.08
#>	r_i_#>	0.075
ŋ	t	0.071
ŋ	m_t	0.071
ŋ	m	0.071
ŋ	-	0.071
v	z	0.071
ɔ	n_ə	0.062
ɔ	i	0.062
ʀ	r_ə	0.057
ʀ	r_n	0.057
