Proto-Germanic	Proto-Germanic	probability
θ	d	1.0
β_ɑ	ə	1.0
ˈɑː	-	1.0
ˈɑi̯_w	ˈeː	1.0
ˈɑ_ɣ	ˈaːi̯	1.0
ˈɑ_ŋ	ˈɔː	1.0
ˈɑ_x	ˈoː	1.0
ˈɑ_r	ˈɛɪ̯_d	1.0
ˈɑ_n	ˈoːu̯_n	1.0
ˈɑ_l	ˈoː_l	1.0
ˈu_ŋ	ˈʊ	1.0
ˈĩː	ˈɪ	1.0
ˈiu̯	j	1.0
ˈi_n	ˈiː_n	1.0
ˈeː	ˈi	1.0
ˈe_r	ˈɛɪ̯	1.0
ɸ_#>	#>	1.0
ɸ	f	1.0
ɣ_ɑ	x	1.0
ɡʷ	ŋ	1.0
ɛː	ə	1.0
ɔːu̯	ə	1.0
ɑ̃_#>	#>	1.0
ɑː	j	1.0
ɑi̯	ˈɪ_n	1.0
ɑ_z_#>	#>	1.0
ɑ_n_ɑ̃_#>	#>	1.0
ɑ_n	ə	1.0
ð_ɛː	r	1.0
ð_ɑ	d	1.0
z_#>	#>	1.0
x_s	k_s	1.0
wː	-	1.0
u_n	n	1.0
tː	t	1.0
t_i	t	1.0
t	t	1.0
s_l	s_l	1.0
r_ˈi	r	1.0
r_ɑ̃	ə_r	1.0
r_ɑ	ə_r	1.0
r_u	ə_r	1.0
r_#>	#>	1.0
p	p	1.0
nː	n	1.0
n_ɑ̃_#>	#>	1.0
n_ɑ̃	ə	1.0
n_i	n	1.0
mː	m	1.0
lː	l	1.0
l	l	1.0
kʷ	k	1.0
k	k	1.0
jː	ˈɔːɪ̯	1.0
j_ɔː	ə	1.0
iː	-	1.0
e_x	i	1.0
e	-	1.0
d	d	1.0
<#_θ	<#_t	1.0
<#_ˈɑu̯	<#_ˈoː	1.0
<#_ˈɑ	<#	1.0
<#_ˈu	<#_ˈuː	1.0
<#_ˈe	<#_ˈi	1.0
<#_x	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_p	<#_p	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
#>	r_#>	1.0
m	m	0.931
r	r	0.915
s	s	0.914
b	b	0.913
<#_d	<#_d	0.867
ɔːː	ə	0.833
w	v	0.818
i	-	0.815
ˈɑu̯	ˈoː	0.8
ð	d	0.786
n	n	0.75
ˈuː	ˈuː	0.714
ŋ	ŋ	0.714
ˈiː	ˈi	0.7
ɔ̃ː	ə	0.7
<#_ɣ	<#_ɣ	0.7
x	h	0.69
ɡ	ŋ	0.667
s_#>	#>	0.667
ˈeu̯	j_ˈoː	0.636
ˈɑi̯	ˈeː	0.6
xʷ	v	0.6
u	-	0.588
ɔː	ə	0.545
ˈi	ˈɪ	0.542
ɣ	ɣ	0.529
β	v	0.5
β	-	0.5
ˈu_r	ˈoːu̯_d	0.5
ˈu_r	ˈoːu̯	0.5
j	-	0.474
ˈɔː	ˈoːu̯	0.471
ɑ	ə	0.467
ɔː	-	0.455
ˈɛː	ˈɛɪ̯	0.4
xʷ	-	0.4
j	ə	0.368
ˈɔː	ˈɛɪ̯	0.353
ˈe	j	0.333
ɡ	-	0.333
z	x	0.333
z	f	0.333
z	-	0.333
s_#>	s_#>	0.333
ˈɑ	ˈɔː	0.324
x	x	0.31
ˈiː	ˈiː	0.3
ɔ̃ː	-	0.3
<#_ɣ	<#_j	0.3
u	ə	0.294
ŋ	ˈʊ	0.286
ˈɑi̯	ˈoː	0.267
ɑ	-	0.267
ˈu	ˈʊ	0.235
ˈuː	-	0.214
ð	-	0.214
ˈi	ˈiː	0.208
ˈu	ˈuː	0.206
ˈɛː	ˈoːu̯	0.2
ˈɛː	ˈiː	0.2
ˈɛː	-	0.2
ˈɑu̯	ˈeː	0.2
n	ə_n	0.2
ˈeu̯	ˈɛɪ̯	0.182
ˈeu̯	-	0.182
ˈɔː	ˈuː	0.176
ˈu	ˈɔ	0.176
ɣ	x	0.176
ɣ	-	0.176
ˈe	ˈɛ	0.167
ˈe	-	0.167
ɔːː	-	0.167
j	j	0.158
ˈɑ	ˈa	0.147
ˈɑi̯	ˈaː	0.133
ɑ	ə_n	0.133
ɑ	l	0.133
<#_d	<#	0.133
ˈi	-	0.125
ˈe	ˈiː	0.125
w	-	0.121
ˈɑ	ˈɛː	0.118
ˈɑ	ˈaː	0.118
ˈu	ˈɛː	0.118
ˈu	ˈɔː	0.118
ˈu	ˈoːu̯	0.118
ɣ	ɡ	0.118
u	ɣ_ə	0.118
i	ɪ	0.111
ˈɑ	ˈɔ	0.088
ˈɑ	ˈoː	0.088
b	-	0.087
s	z	0.086
ˈi	ˈi	0.083
ˈe	ˈɔː	0.083
ˈe	ˈi	0.083
i	ə	0.074
ˈuː	ˈøː	0.071
m	-	0.069
w	ˈeː	0.061
ˈɑ	ˈɛ	0.059
ˈɑ	ˈeː	0.059
