Bulgarian	Macedonian	probability
<#	<#_j	1.0
<#_d	<#_d	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_u	<#_ˈu	1.0
<#_v	<#_v	1.0
<#_x	<#	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɫ	<#_ɫ	1.0
<#_ʒ	<#_ʒ	1.0
<#_ʧ	<#_ʧ	1.0
<#_ˈɔ	<#_ˈo	1.0
b	b	1.0
d	d	1.0
f	f_#>	1.0
j	-	1.0
k	k	1.0
k_#>	k_#>	1.0
k_ɐ	k	1.0
lʲ_ˈa	l_ˈɛ	1.0
m	m	1.0
mʲ	m	1.0
n	n	1.0
n_#>	n_#>	1.0
o	ˈo	1.0
o_#>	o_#>	1.0
o_r	ˈo_r	1.0
p	p	1.0
p_#>	p_#>	1.0
r_#>	r_#>	1.0
r_ˈa	r_ˈa	1.0
s	s	1.0
s_#>	s_#>	1.0
s_t	s_t	1.0
t	t	1.0
t_#>	t_#>	1.0
v	v	1.0
vʲ	v	1.0
x	f	1.0
z	z	1.0
ɐ_#>	a_#>	1.0
ɐ_r	ˈr̩	1.0
ɛ_l	ˈɛ_l	1.0
ɛ_m	u_m	1.0
ɛ_n	n	1.0
ɡ	ɡ	1.0
ɫ	ɫ	1.0
ɫ_#>	ɫ_#>	1.0
ʃ	ʃ	1.0
ʒ	ʒ	1.0
ʦ	ʦ	1.0
ˈa	ˈa	1.0
ˈa_#>	a_#>	1.0
ˈa_s	ˈɛ_s	1.0
ˈa_ɫ	ˈɛ_ɫ	1.0
ˈu	ˈu	1.0
ˈɔ	ˈo	1.0
ˈɔ_#>	o_#>	1.0
ˈɛ_#>	ɛ_#>	1.0
ˈɛ_z	ˈɛ_z	1.0
ˈɤ_r	ˈr̩	1.0
ˈɤ_ɫ	ˈo_ɫ	1.0
ɐ	ɛ_#>	0.222
ˈɛ	ɛ	0.312
ˈɤ	-	0.2
<#_z	<#_ʣ	0.333
ˈɤ	ˈo	0.3
r	ˈr̩	0.4
ɛ	ɛ	0.474
i	ˈi	0.5
i	i	0.5
ˈi	i	0.25
ˈi	ˈi	0.75
ˈɤ	ˈa	0.5
r	r	0.6
ɛ	ˈɛ	0.526
<#_z	<#_z	0.667
ɐ	a	0.167
ɐ	-	0.167
ɐ	ˈa	0.167
ɐ	o	0.278
ˈɛ	ˈɛ	0.688
