Afrikaans	Proto-Germanic	probability
b	b	1.0
d	d	0.477
d	θ	0.433
d	ð	0.064
d	-	0.033
f	ɸ	0.771
f	β_ɑ	0.114
f	β	0.066
f	i_ɸ	0.044
j	j	1.0
k	k	0.836
k	k_s	0.078
k	ɡ	0.046
k	kʷ	0.045
l	l	0.704
l	x_l	0.276
m	m	0.61
m	m_ɑ	0.204
m	m_ɔːː	0.086
m	m_i	0.058
m	mː	0.043
n	n	0.739
n	nː	0.067
n	n_i	0.047
n	n_u	0.037
n	l	0.037
p	p	0.838
p	pː	0.087
p	ɸ	0.065
r	r	0.907
r	-	0.041
r	ɔːː	0.032
r_ə	r	1.0
s	s	0.91
s	s_ɑ	0.035
t	t	0.508
t	ð_ɑ̃	0.084
t	d_ɑ	0.067
t	θ_ɑ̃	0.064
t	-	0.062
v	w	0.623
v	xʷ	0.188
v	β	0.099
v	ɸ	0.057
w	w	1.0
ŋ	ŋ	0.602
ŋ	-	0.112
ŋ	ɑ̃	0.112
ŋ	n_ɑ̃	0.097
ŋ	n	0.064
ŋ_ə	ŋ	0.493
ə	ɑ	0.275
ə	ɛː	0.158
ə	-	0.113
ə	i_z	0.107
ə	u_n	0.084
ə_r	r	0.683
ə_r	ɔː	0.222
ɦ	x	0.944
ɦ	-	0.056
ɫ	l	0.731
ɫ	l_ɑ	0.108
ɫ	l_u	0.068
ɫ	lː	0.064
ɫ	w	0.032
ˈa	ˈɑ	0.935
ˈa	-	0.04
ˈa	ˈe	0.036
ˈi	ˈeu̯	0.423
ˈi	ˈe	0.173
ˈi	ˈe_xʷ	0.109
ˈi	ˈɑi̯	0.07
ˈi	j	0.063
ˈoːi̯	ˈɑu̯	0.493
ˈu	ˈɔː	0.894
ˈu	ˈɔ	0.096
ˈuː	ˈɔː	0.243
ˈuːi̯	ˈuː	0.243
ˈyː	ˈɔː	0.574
ˈyː	ˈiu̯	0.283
ˈæ	ˈe	0.574
ˈæ	ˈɑ	0.283
ˈæː	ˈe	1.0
ˈœ	ˈu	0.796
ˈœ	w	0.158
ˈœi̯	ˈiː	0.243
ˈœu̯	ˈɑ_l	0.579
ˈœu̯	l	0.209
ˈœu̯	ɔ̃ː	0.209
ˈœɪ̯	ˈuː	0.896
ˈœɪ̯	ˈiu̯	0.083
ˈɑː	ˈɑ	0.418
ˈɑː	ˈɛː	0.382
ˈɑː	ˈe	0.098
ˈɑː	ˈɑ_x	0.075
ˈɔ	ˈu	0.862
ˈɔ	ˈɔː	0.049
ˈɔ	-	0.049
ˈɔ	ˈuː	0.044
ˈɔː	ˈeu̯	0.758
ˈɔː	ˈɑ	0.091
ˈə	ˈi	0.705
ˈə	ˈe	0.103
ˈə	ˈeu̯	0.089
ˈə	ˈiː	0.051
ˈə	ˈĩː	0.051
ˈəɪ̯	ˈiː	0.442
ˈəɪ̯	ˈɑi̯	0.243
ˈəɪ̯	ˈi	0.2
ˈəɪ̯	ˈi_j	0.094
ˈɛ	ˈe	0.327
ˈɛ	ˈɑ	0.302
ˈɛ	ˈɔː	0.098
ˈɛ	ˈi	0.095
ˈɛ	ˈɑi̯	0.073
ˈɛː	ˈɑ	1.0
ˈɪ	ɑi̯	1.0
ˈɪø̯	ˈu	0.496
ˈɪø̯	ˈɑi̯	0.242
ˈɪø̯	ˈɑ	0.242
ˈɪə̯	ˈe	0.529
ˈɪə̯	ˈɑi̯	0.318
ˈɪə̯	ˈi	0.102
ˈɪə̯	ˈɑ	0.047
ˈʊə̯	ˈɑu̯	0.508
ˈʊə̯	ˈu	0.354
ˈʊə̯	ˈu_β	0.07
ˈʊə̯	ˈɑi̯	0.04
ˈʊə̯	u	0.035
χ	ɣ	0.39
χ	ɣ_ɑ	0.136
χ	x_t	0.105
χ	x	0.104
χ	ɣ_j	0.083
