Afrikaans	Proto-Germanic	probability
b	b	1.0
d	d	0.506
d	θ	0.439
d̥	θ	0.375
d̥	d	0.283
d̥	ð	0.259
d̥	-	0.054
f	ɸ	0.823
f	i_ɸ	0.062
i	j	0.639
i	e	0.361
j	j	0.844
j	ˈuː	0.156
k	k	0.907
k	kː	0.061
m	m	0.92
m	mː	0.08
n	n	0.712
n	nː	0.119
p	p	0.835
p	pː	0.109
r	r	0.841
s	s	0.938
t	t	0.872
v	w	0.736
v	xʷ	0.173
v	β	0.069
v̥	β	1.0
w	w	1.0
ŋ	ŋ	0.849
ŋ	-	0.062
ŋ	n	0.057
ə	ɑ	0.261
ə	i	0.191
ə	-	0.153
ə	ɛː	0.145
ə	e	0.094
ə	ɔː	0.084
ə	u	0.061
ɡ̊	ɡ	1.0
ɦ	x	0.935
ɫ	l	0.816
ɫ	ɑ_l	0.073
ɫ	lː	0.053
ˈa	ˈɑ	0.941
ˈi	ˈeu̯	0.434
ˈi	ˈe	0.334
ˈi	ˈɑi̯	0.06
ˈoːɪ̯	ˈɑu̯	1.0
ˈu	ˈɔː	0.862
ˈu	-	0.09
ˈyː	ˈiu̯	0.496
ˈyː	ˈɔː	0.281
ˈyː	ˈuː	0.159
ˈyː	ˈɑi̯	0.065
ˈæ	ˈe	0.7
ˈæ	ˈɑ	0.225
ˈæ	ˈɑi̯	0.075
ˈæː	ˈe	0.586
ˈæː	-	0.207
ˈæː	ˈɑ	0.207
ˈœ	ˈu	0.916
ˈœ	ˈe	0.084
ˈœu̯	ˈɑ_l	0.441
ˈœu̯	ɔ̃ː	0.232
ˈœu̯	l	0.22
ˈœu̯	wː	0.108
ˈœɪ̯	ˈuː	0.793
ˈœɪ̯	ˈiu̯	0.105
ˈœɪ̯	wː	0.102
ˈɑː	ˈɑ	0.562
ˈɑː	ˈɛː	0.297
ˈɑː	ˈe	0.111
ˈɔ	ˈu	0.849
ˈɔː	-	0.747
ˈɔː	ˈɑ	0.253
ˈə	ˈi	0.812
ˈə	ˈe	0.055
ˈəɪ̯	ˈiː	0.43
ˈəɪ̯	ˈɑi̯	0.323
ˈəɪ̯	ˈi	0.187
ˈəɪ̯	ˈuː	0.06
ˈɛ	ˈɑ	0.531
ˈɛ	ˈi	0.236
ˈɛ	ˈu	0.104
ˈɛ	ˈɔː	0.103
ˈɛː	ˈi	0.572
ˈɛː	ˈɑ	0.428
ˈɪ	ɑi̯	0.846
ˈɪ	ˈe	0.154
ˈɪø̯	ˈu	0.81
ˈɪø̯	ˈɑ	0.099
ˈɪø̯	ˈɑi̯	0.091
ˈɪə̯	ˈe	0.478
ˈɪə̯	ˈɑi̯	0.405
ˈɪə̯	ˈi	0.09
ˈʊə̯	ˈu	0.522
ˈʊə̯	ˈɑu̯	0.397
ˈʊə̯	ˈɑi̯	0.068
χ	ɣ	0.818
χ	x	0.135
