Faroese	West Frisian	probability
a	ə	0.608
a	-	0.245
a	d_ə	0.102
b̥	b	0.953
d̥	d	0.69
d̥	-	0.29
f	f	0.935
f	-	0.065
h	h	1.0
j	-	0.553
j	z	0.172
j	ˈɪə̯	0.13
j	j	0.066
j	χ	0.055
k	k	0.916
k	-	0.084
kʰ	k	0.874
kʰ	ʋ	0.126
l	l	0.944
l̥	l	0.566
l̥	-	0.434
m	m	0.955
n	n	0.976
nː	n	0.676
nː	ˈoə̯	0.179
nː	l	0.145
n̥	n	0.668
n̥	r	0.332
p	p	1.0
r	ˈøə̯	1.0
s	s	0.926
sː	s	1.0
t	t	0.682
t	-	0.318
tʰ	t	0.564
tʰ	d	0.268
tʰ	b	0.104
tʰ	ʦ	0.064
tː	t	1.0
v	v	0.459
v	-	0.265
v	ʋ	0.202
w	-	0.623
w	ˈɛi̯	0.204
w	t	0.12
w	ə	0.053
ŋ	ŋ	0.869
ŋ	-	0.131
ə	-	1.0
ɛ	-	0.889
ɛ	ɪ	0.111
ɡ̊	-	0.621
ɡ̊	ɡ	0.318
ɡ̊ː	ɣ	0.8
ɡ̊ː	j	0.2
ɪ	ə	0.947
ɪ	-	0.053
ɲ	ŋ	1.0
ɹ	-	0.605
ɹ	r	0.382
ɹː	χ	1.0
ʃ	s_k	0.686
ʃ	s	0.259
ʃ	m	0.055
ʈ	t	1.0
ʊ	-	0.84
ʊ	ə	0.072
ʊ̯ˈiː	ˈiː	1.0
ʎ	ɣ	1.0
ʤ̊	j	0.718
ʤ̊	-	0.231
ʤ̊	d	0.051
ʤ̊ː	n	0.7
ʤ̊ː	ɣ	0.223
ʤ̊ː	j	0.077
ʧ	ɡ	0.666
ʧ	k	0.334
ʧʰ	ʦ	0.915
ʧʰ	f	0.085
ʧː	ɣ	1.0
ʰkː	k	1.0
ʰp	p	0.665
ʰp	p_ə	0.335
ʰt	t	1.0
ʰtː	χ	1.0
ʰʧ	k	1.0
ˈa	ˈa	0.172
ˈa	ˈɔː	0.17
ˈa	-	0.151
ˈa	ˈaː	0.146
ˈa	ˈɛ	0.124
ˈa	ˈɛː	0.123
ˈa	ˈɪə̯	0.074
ˈai̯	ˈiə̯	0.796
ˈai̯	ˈɪ	0.133
ˈai̯	ˈiː	0.072
ˈaːi̯	ˈiə̯	0.747
ˈaːi̯	ˈi	0.127
ˈaːi̯	ˈɛi̯	0.127
ˈeə̯	ˈɛ	1.0
ˈeː	ˈɪ	0.502
ˈeː	ˈi	0.279
ˈeː	ˈaː	0.124
ˈeː	ˈɛi̯	0.095
ˈiː	ˈɪ	0.849
ˈiː	ˈuə̯	0.092
ˈiː	ˈeː	0.059
ˈoː	ˈiə̯	0.48
ˈoː	ˈoə̯	0.306
ˈoː	ˈuə̯	0.214
ˈuː	ˈy	0.714
ˈuː	ˈɔ	0.215
ˈuː	ˈiə̯	0.071
ˈøː	ˈiə̯	0.57
ˈøː	ˈø	0.099
ˈøː	ˈoə̯	0.089
ˈøː	ˈɵ	0.089
ˈøː	ˈɪ	0.088
ˈøː	-	0.065
ˈœ	ˈɔ	0.426
ˈœ	ˈɛ	0.203
ˈœ	-	0.134
ˈœ	ˈoə̯	0.076
ˈœ	ˈuə̯	0.076
ˈœ	ˈaː	0.058
ˈɔ	ˈeː	0.175
ˈɔ	ˈoə̯	0.162
ˈɔ	ˈa	0.128
ˈɔ	ˈiː	0.12
ˈɔ	ˈɔː	0.11
ˈɔ	ʋ	0.079
ˈɔ	ˈyː	0.078
ˈɔ	ˈaː	0.055
ˈɔ	ˈɪə̯	0.055
ˈɔːi̯	ˈɪə̯	1.0
ˈɔːu̯	ˈuə̯	0.384
ˈɔːu̯	ˈiə̯	0.278
ˈɔːu̯	ˈoː	0.173
ˈɔːu̯	j	0.164
ˈɔ̯aː	ˈiə̯	0.33
ˈɔ̯aː	ˈoə̯	0.229
ˈɔ̯aː	ˈaː	0.123
ˈɔ̯aː	ˈuə̯	0.107
ˈɔ̯aː	ˈø	0.107
ˈɔ̯aː	ˈeː	0.103
ˈɛ	ˈɪ	0.429
ˈɛ	ˈa	0.395
ˈɛ	ˈɛi̯	0.084
ˈɛːa̯	ˈa	0.348
ˈɛːa̯	ˈaː	0.149
ˈɛːa̯	ˈɪə̯	0.127
ˈɛːa̯	ˈi	0.118
ˈɛːa̯	-	0.11
ˈɛːa̯	ˈɛː	0.098
ˈɛːi̯	ˈɪə̯	0.768
ˈɛːi̯	ˈɔː	0.093
ˈɛːi̯	ˈaː	0.093
ˈɪ	ˈɪ	0.54
ˈɪ	ˈi	0.133
ˈɪ	ˈiː	0.129
ˈɪ	ˈɔ	0.092
ˈʉːu̯	ˈuː	0.718
ˈʉːu̯	ˈoː	0.113
ˈʉːu̯	ˈɪ	0.113
ˈʉːu̯	ˈyː	0.057
ˈʊ	ˈuː	0.343
ˈʊ	ˈɪ	0.226
ˈʊ	ˈu	0.125
ˈʊ	j_ˈɔ	0.093
ˈʊ	ˈɔ	0.086
ˈʊ̯iː	j	0.436
ˈʊ̯iː	ˈiː	0.221
ˈʊ̯iː	ˈi	0.155
ˈʊ̯iː	ˈiə̯	0.11
ˈʊ̯iː	ˈuː	0.078
ˈʏ	ˈɔ	0.605
ˈʏ	ˈɪə̯	0.395
