Sassarese	Sassarese	probability
ˈɛ_n	ˈe	1.0
ˈɔ_ɬ	ˈɔ_ɾ	1.0
ˈɔ_n	ˈo	1.0
ˈo_tː	ˈo_ð	1.0
ˈi_n	ˈi_ɲ	1.0
ˈe_#>	ˈe_ɾ_#>	1.0
ˈa_ɬ	w	1.0
ˈa_mː	ˈa_m	1.0
ʧː	ɟ	1.0
ʧ	ʧ	1.0
ʦ	θ	1.0
ʤː	-	1.0
ʒ	-	1.0
ʎː	ɟ	1.0
ʃː	ʃ	1.0
ɬ	s	1.0
ɔ	o_ŋ	1.0
ŋ	ŋ	1.0
z_a	s_ɐ	1.0
xː	k	1.0
x	s_k	1.0
v	b	1.0
u_r	ɟ	1.0
u_#>	#>	1.0
t_a	t_ɐ	1.0
t	t	1.0
sː_u	s_ʊ	1.0
sː	ʃ	1.0
r_u	ʊ	1.0
pː	s_p	1.0
p_j	ʧ	1.0
nː	n	1.0
n_ˈe	n_ˈɛ	1.0
n_u	ŋ	1.0
n_i	ŋ	1.0
mː	m	1.0
m_u	m_o	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kː	k	1.0
k	k	1.0
i_d	ˈe	1.0
i_#>	#>	1.0
fː	f	1.0
f_j	ʧ	1.0
f	f	1.0
e	-	1.0
dː_u	ʊ	1.0
bː	β	1.0
a_r	ɾ	1.0
a_dː	a_ð	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_θ	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_i	<#_e	1.0
<#_a	<#_o	1.0
p	p	0.871
β	β	0.857
b	b	0.857
ɡː	ɣ	0.778
#>	ɾ_#>	0.765
ʤ	ʃ	0.75
ɲː	ɲ	0.75
ˈu	ˈu	0.714
ˈa	ˈa	0.712
a	ɐ	0.706
ɡ	ɣ	0.7
u	ʊ	0.691
ˈo	ˈo	0.682
r	ɾ	0.68
n	n	0.68
ˈi	ˈi	0.677
ʦː	θ	0.667
o	o_s	0.667
d	d	0.609
rː	ɾ_n	0.6
tː	j_t	0.583
ˈe	ˈe	0.571
dː	ð	0.556
w	w	0.5
w	-	0.5
<#	<#_ɡ	0.5
<#	<#_a	0.5
ˈɔ	ˈɔ	0.485
ˈɛ	ˈe	0.462
ˈɔ	ˈo	0.455
dː	l	0.444
ˈe	ˈɛ	0.429
i	ɪ	0.429
ˈɛ	ˈɛ	0.423
tː	t	0.417
rː	r	0.4
j	ɾ	0.375
j	j	0.375
ʦː	l_s	0.333
o	ɔ	0.333
n	-	0.32
ˈo	ˈɔ	0.318
ɡ	ɡ	0.3
ˈu	ˈo	0.286
ʤ	-	0.25
ɲː	n_ʃ	0.25
ɡː	-	0.222
d	-	0.217
a	a	0.191
d	ð	0.174
i	e	0.163
β	-	0.143
b	-	0.143
u	ɪ	0.134
ˈi	ɾ	0.129
p	β	0.129
j	ˈo	0.125
j	-	0.125
i	i	0.122
r	l	0.12
ˈa	ˈɑ	0.119
#>	ɐ_#>	0.118
#>	s_#>	0.118
ˈɛ	ˈe_j	0.115
i	-	0.102
ˈi	ˈe_ɾ	0.097
ˈi	ˈe	0.097
u	o	0.082
r	-	0.08
ˈa	ˈe	0.068
ˈɔ	ˈɔ_ɾ	0.061
i	ˈe	0.061
i	s	0.061
i	o_s	0.061
ˈa	ɾ	0.051
ˈa	a	0.051
