Megleno-Romanian	Megleno-Romanian	probability
ˈɔ_j	ˈɑ	1.0
ʧ	θ	1.0
ʤ	ʃ	1.0
ʒ	ʃ	1.0
ə_#>	#>	1.0
w_ə	β_ɪ	1.0
w	-	1.0
v	b	1.0
r_i	l	1.0
p_l	ʧ	1.0
n_i	ŋ	1.0
n_e	v	1.0
kʲ	p	1.0
k_ʎ	ɟ	1.0
j	-	1.0
i_#>	#>	1.0
f	f	1.0
b	β	1.0
a	-	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#	1.0
<#_t	<#_t	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_f	<#	1.0
<#_b	<#_b	1.0
<#	<#_t	1.0
m	m	0.882
ə	ɐ	0.875
s	s	0.867
<#_n	<#_n	0.833
#>	ʊ_#>	0.8
ʦ	θ	0.778
r	ɾ	0.757
e̯ˈa	ˈe	0.714
i	ɪ	0.682
ɡ	ɡ	0.667
d	d	0.667
p	p	0.615
p_t	t	0.6
k	k	0.591
ʎ	-	0.571
l	l	0.556
ˈe	ˈe	0.538
ˈa	ˈa	0.538
ˈɔ	ˈɑ	0.5
ˈɔ	ˈa	0.5
ˈu	ˈo	0.5
ˈo	ˈɔ	0.5
ˈi	ˈi	0.5
ʃ	s	0.5
ʃ	j	0.5
z	d	0.5
z	-	0.5
o̯ˈa	ˈɔ	0.5
ˈe	ˈɛ	0.462
u	ʊ	0.462
n	n	0.444
l	-	0.444
ʎ	ɟ	0.429
t	t	0.4
p_t	j_t	0.4
ˈo	ˈo	0.375
ˈi	ˈe	0.375
ɡ	-	0.333
d	-	0.333
k	ɣ	0.318
ˈa	ˈɛ	0.308
t	ð	0.3
t	-	0.3
e̯ˈa	ˈɛ	0.286
ˈu	ˈu	0.273
o̯ˈa	ˈo_j	0.25
o̯ˈa	ˈo	0.25
u	o	0.231
u	-	0.231
p	β	0.231
ʦ	k	0.222
n	-	0.222
n	ŋ	0.185
i	-	0.182
<#_n	<#	0.167
p	-	0.154
ˈu	ˈɔ	0.136
i	i	0.136
s	e_s	0.133
ˈo	ˈu	0.125
ˈi	-	0.125
ə	-	0.125
#>	ɪ_#>	0.125
m	-	0.118
r	r	0.108
ˈu	-	0.091
k	-	0.091
r	-	0.081
ˈa	ˈɑ	0.077
ˈa	ˈe_j	0.077
u	u	0.077
#>	ɐ_#>	0.075
n	ɲ	0.074
n	ɟ	0.074
r	l	0.054
