Polish	Lithuanian	probability
ʥ	dʲ	1.0
ʑ	ʑ	1.0
ʐ̊	s	1.0
ʈ͡ʂ	kʲ	1.0
ʂ	ɕ	1.0
ɲ	-	1.0
ɡ̊	ɡ	1.0
ɡ_j	ɡ	1.0
ɛ_ŋ	ɐ_ŋ	1.0
ɛ_n	n	1.0
w̃	-	1.0
p	pʲ	1.0
k_i	ʊ	1.0
j_a	ɐɪ̯	1.0
i_x	ɛɪ̯	1.0
f	vʲ	1.0
b̥	b	1.0
w	ɫ	0.867
t	t	0.832
ɡ	ɡ	0.815
i	-	0.802
l	lʲ	0.774
n	n	0.731
r	r	0.683
b	b	0.663
z	ʑ	0.644
v	vʲ	0.636
k	k	0.621
ɕ	ɕ	0.612
d̥	d_ɐ	0.574
u	-	0.565
d	-	0.549
s	s	0.548
m	mʲ	0.546
x	ʃ	0.544
ʐ	rʲ	0.514
ʐ	ɡʲ	0.486
x	sʲ	0.456
m	m	0.454
d	d	0.451
d̥	d	0.426
j	-	0.419
ʨ	tʲ_ɪ	0.416
ɨ	s	0.408
ɕ	sʲ	0.388
ɔ	ɐ	0.381
ɨ	uː_̂	0.374
z	ʒ	0.356
ʦ	k_tʲ	0.343
b	bʲ	0.337
ʦ	k	0.331
ɛ	ɪ	0.329
ʦ	-	0.327
ʨ	-	0.297
ʨ	tʲ	0.287
v	v	0.281
n	-	0.269
ɔ	-	0.249
s	ɕ	0.237
k	-	0.23
l	ɪ_ɫ	0.226
a	ɐ_ˈ	0.224
ɨ	iː	0.218
s	ʃ	0.215
a	-	0.211
j	eː	0.204
a	oː	0.203
i	æɪ̯	0.198
ɡ	ʒ	0.185
t	tʲ	0.168
u	æː_̌	0.166
ɛ	ɛ	0.158
k	kʲ	0.149
r	rʲ	0.142
j	eː_̂	0.135
j	aː	0.135
w	lʲ	0.133
ɔ	ɐ_̌	0.112
ɛ	-	0.11
u	ʊ	0.109
u	aː_̌	0.109
j	ɛ	0.107
a	ɐ	0.098
ɛ	æː_̌	0.097
ɛ	iə̯	0.097
ɔ	ɪ_ˈ	0.093
r	ɪ	0.093
v	-	0.083
r	-	0.081
ɔ	ɪ	0.08
a	ɪ	0.078
a	uə̯	0.076
ɛ	ɐ	0.072
ɔ	aː_̌	0.069
a	eː_̌	0.055
a	eː	0.055
u	ɛʊ̯	0.05
