Emilian	Emilian	probability
ˈɛː	ˈɛ	1.0
ˈɛ_ɡ	ˈa_j	1.0
ˈɛ_ð	ˈi	1.0
ˈɛ_d	ˈɛ	1.0
ˈɔː_l	ʎ	1.0
ˈæ	ˈẽ	1.0
ˈuː_ɡ	ˈɛ_w	1.0
ˈuː	ˈy	1.0
ˈi	ˈi	1.0
ˈa_j	ˈɔ_j	1.0
ŋ_ɡ	ŋ_k	1.0
ŋ_#>	n_#>	1.0
w	w	1.0
v_#>	f_#>	1.0
s	s	1.0
r_t	r_t	1.0
p_j	p_l	1.0
n_a	ə	1.0
m_#>	m_#>	1.0
m	m	1.0
l_a	l_ə	1.0
l_#>	l_#>	1.0
j_ˈɛ	j_ˈe	1.0
j_ˈa	l_ˈã	1.0
f	f	1.0
d_a	ə	1.0
d_#>	t_#>	1.0
b	b	1.0
<#_θ	<#_ʦ	1.0
<#_ɡ	<#_ɡ	1.0
<#_u	<#_ɔ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#	<#_e	1.0
r	r	0.971
v	v	0.926
t	t	0.868
p	p	0.852
e_r	r_ə	0.824
ŋ	n	0.815
ˈiː	ˈi	0.786
u	u	0.778
a	ə	0.73
ʧ	ʎ	0.714
l	l	0.7
n	n	0.688
ð	ʤ	0.625
k_#>	k_#>	0.6
ɲ	ɲ	0.571
ˈʌ	ˈũ	0.5
ˈʌ	-	0.5
ˈɔː	ˈɔ	0.5
ˈaː	ˈa	0.5
ʤ	ʤ	0.5
ʤ	ɡ_l	0.5
ɡ	ɡ	0.5
ɡ	-	0.5
i	i	0.5
e	-	0.5
k	ʧ	0.475
k	k	0.475
θ	ʦ	0.444
ˈʌu̯	ˈu	0.444
ɲ	-	0.429
ˈɔ	ˈɔ	0.417
k_#>	#>	0.4
#>	s_#>	0.389
ˈɔː	w_ˈɛ	0.375
ˈe	ˈĩ	0.375
ð	-	0.375
z	s	0.364
ˈɛ	ˈɛ	0.354
θ	-	0.333
ˈʌu̯	-	0.333
i	-	0.333
d	j	0.333
d	d	0.333
d	-	0.333
ˈaː	ˈã	0.318
ˈe	ˈi	0.312
n	-	0.312
l	-	0.3
e	j	0.3
ˈo	ˈỹ	0.294
ʧ	k_l	0.286
j	l	0.286
#>	ə_#>	0.278
z	z	0.273
ˈɛ	ˈe	0.25
ˈɔ	-	0.25
ˈo	ˈũ	0.235
θ	ʤ_ə	0.222
ˈʌu̯	ˈɔ	0.222
u	y	0.222
ˈiː	ˈɔ_j	0.214
ˈa	ˈã_j	0.214
ˈa	ˈã	0.214
j	j	0.214
j	-	0.214
e	ə	0.2
ˈe	-	0.188
ŋ	ŋ	0.185
z	j_s	0.182
z	-	0.182
ˈa	ˈẽ	0.179
ˈo	ˈɔ	0.176
ˈo	-	0.176
e_r	r	0.176
a	a	0.175
ˈɔ	ˈy_j	0.167
ˈɔ	ˈu	0.167
i	ĩ	0.167
#>	ʦ_#>	0.167
#>	n_#>	0.167
ˈa	j	0.143
j	ˈi	0.143
j	ˈe	0.143
t	-	0.132
ˈɔː	-	0.125
ˈe	ˈɛ	0.125
ˈo	ˈy	0.118
ˈa	ˈɔ_j	0.107
ˈɛ	ˈa	0.104
ˈaː	ˈɛ	0.091
ˈaː	-	0.091
ˈɛ	j_ˈɛ	0.083
ˈɛ	j_ˈe	0.083
v	-	0.074
p	p_l	0.074
p	-	0.074
ˈa	ˈɛ	0.071
ˈa	-	0.071
a	ã	0.063
