Bulgarian	Upper Sorbian	probability
ˈɔ_#>	ɔ_#>	1.0
ˈu	ˈu	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɫ_ˈa	w_ˈo	1.0
ɫ_#>	l_#>	1.0
ɡ	ɦ	1.0
ɛ_n	n_ɪ	1.0
ɐ_k	kʲ_i	1.0
z	z	1.0
vʲ	ɥ	1.0
s	s	1.0
mʲ	mʲ	1.0
lʲ	l	1.0
l	l	1.0
k_ˈɔ	k_ˈɔ	1.0
k_ˈa	k_a	1.0
k_#>	x_#>	1.0
k	k	1.0
j_ɐ	ʧ	1.0
i	ˈi	1.0
b	b	1.0
p	p	0.786
#>	ɪ_#>	0.778
ɫ	w	0.765
d	d	0.75
x	x	0.714
r	ʀ	0.692
n	n	0.692
m	m	0.692
ˈɔ	ˈo	0.636
ˈi	ˈi	0.6
t	t	0.548
ɐ	-	0.533
v	β	0.529
o	ˈɔ	0.5
o	ɔ	0.5
v	ɥ	0.471
ɐ	a	0.467
ˈɤ	ˈɔ	0.462
t	ʧ	0.452
ˈi	ˈɪ	0.4
ˈa	ˈe	0.385
ˈɔ	ˈɔ	0.364
ˈa	a	0.346
ˈɤ	ˈe	0.308
n	ɲ	0.308
m	mʲ	0.308
ˈɛ	ˈe	0.294
x	xʲ_i	0.286
ˈa	ˈa	0.269
ɛ	ɛ	0.261
d	ʤ	0.25
ˈɤ	ˈu	0.231
r	ʀʲ	0.231
#>	ʧ_#>	0.222
ɛ	ˈɛ	0.217
p	pʲ	0.214
ˈɛ	ˈɛ	0.176
ˈɛ	e	0.176
ɛ	ˈɔ	0.174
ɛ	ˈa	0.174
ˈɛ	ˈɔ	0.118
ˈɛ	ɛ	0.118
ˈɛ	ɔ	0.118
ɫ	l	0.118
ɫ	d_w	0.118
ɛ	ˈe	0.087
ɛ	ɔ	0.087
r	ʃ	0.077
