Čakavian	Štokavian	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʋ	ʋ	1.0
ʃ	ʒ	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
z	z	1.0
x	x	1.0
ǔː	ûː	1.0
ûː	ûː	1.0
û	û	1.0
t_#>	d_#>	1.0
t	t	1.0
s	s	1.0
r	r	1.0
ôː	ôː	1.0
m	m	1.0
l_#>	o_#>	1.0
k_#>	ɡ_#>	1.0
k	k	1.0
j	j	1.0
ǐː	j	1.0
i	i	1.0
êː	êː	1.0
d	d	1.0
c	ʨ	1.0
b	b	1.0
âː	âː	1.0
aː	ǎː	1.0
a	a	1.0
<#	p_<#	1.0
#>	o_#>	1.0
n	n	0.895
ô	ô	0.833
l	l	0.826
p	p	0.769
ê	ê	0.667
â	a	0.647
o	o	0.6
îː	j_êː	0.571
r̩̂	r̩̂ː	0.5
r̩̂	r̩̂	0.5
iː	j_ěː	0.5
iː	ǐː	0.5
ǎː	â	0.5
ǎː	a	0.5
îː	îː	0.429
o	ǒ	0.4
e	ě	0.4
e	e	0.4
â	â	0.353
ê	ě	0.333
î	j_ê	0.308
î	î	0.308
p	b	0.231
î	j_e	0.231
e	eː	0.2
l	ʎ	0.174
ô	o	0.167
î	i	0.154
n	m	0.105
