French	French	probability
ɲ	-	1.0
ɛ_ʁ	i_ɾ	1.0
œ	ˈɔ	1.0
z	-	1.0
t_#>	t_a_#>	1.0
s_w	s_ˈɛ	1.0
m	m	1.0
k_l	k_ɾ	1.0
k	k	1.0
j_ɛ	ˈe	1.0
b	b	1.0
a_#>	ɣ_ɛ_#>	1.0
<#_ʁ	<#_ɾ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_i	1.0
f	f	0.923
p	p	0.893
y	ˈu	0.857
d	d	0.714
ʁ	ɾ	0.696
t	t	0.667
v	b	0.655
n	n_a	0.647
ʃ	k	0.625
l	l	0.607
ø	ˈo_ɣ	0.6
<#_a	<#_ˈa	0.6
<#	<#_t	0.6
e	ˈa_ɾ	0.579
ɥ	ˈu_t	0.5
ɥ	-	0.5
ɡ	ɡ	0.5
œ_f	ˈɔ_ɛ	0.5
œ_f	ˈo_u	0.5
i	ˈi	0.444
ɔ	ˈɔ	0.429
w_a	ˈi	0.429
u	ˈu	0.429
ɑ̃	n	0.417
a	a	0.414
ɛ̃	ˈa_n	0.412
ø	u_z	0.4
<#_a	<#_a	0.4
<#	<#_ˈa	0.4
#>	ɛ_#>	0.389
ɔ̃	ˈɔ_n	0.385
ʃ	k_a	0.375
ə	ɛ	0.375
ə	-	0.375
o	u	0.375
o	-	0.375
s	s	0.333
#>	u_#>	0.331
ɛ	ˈa	0.316
ʒ	b	0.308
ʒ	-	0.308
ɔ	ˈo	0.286
w_a	ˈi_ɛ	0.286
w_a	ɛ	0.286
a	ˈa	0.276
ɛ	ˈɛ	0.263
ɡ	b	0.25
ɡ	-	0.25
ə	ˈɛ	0.25
ɑ̃	ˈɛ_n	0.25
o	ˈe_ɖː	0.25
v	-	0.241
s	k	0.238
ɛ̃	ˈi_n	0.235
w	ˈɛ	0.235
w	ˈu	0.235
j	ˈɛ	0.235
j	-	0.235
ʒ	ʣ	0.231
t	s_t	0.222
ɛ	ˈi	0.211
e	ˈa_ð	0.211
#>	a_#>	0.211
u	u	0.19
s	ʦ	0.19
w	ˈi	0.176
n	nː	0.176
n	n	0.176
j	j	0.176
a	ɛ	0.172
ɑ̃	ˈe_n	0.167
ɑ̃	ˈe	0.167
ʒ	j_u	0.154
ɔ̃	ˈɔ	0.154
ɔ̃	ˈo_n	0.154
ɔ̃	ɔ_n	0.154
ɔ̃	-	0.154
ɔ	ɔ	0.143
ɔ	o	0.143
y	-	0.143
s	k_i	0.143
l	ɾ	0.143
d	nː	0.143
d	-	0.143
ɛ̃	n_ɛ	0.118
ɛ̃	n_u	0.118
ɛ̃	n	0.118
w	ˈi_t	0.118
w	ˈe	0.118
w	ɣ	0.118
j	ʣ_a	0.118
j	ɛ	0.118
j	u	0.118
t	k_ɛ	0.111
i	ˈi_ɛ	0.111
i	u	0.111
p	s_p	0.107
l	j	0.107
e	ˈa	0.105
e	i_s	0.105
v	β	0.103
ʁ	ɛ_ɾ	0.101
u	ˈɔ_j	0.095
u	ˈɔ	0.095
u	ˈo	0.095
u	ɔ	0.095
s	s_ˈa	0.095
i	ˈɛ_ɣ	0.083
i	ɛ	0.083
f	f_ˈa	0.077
l	ɖː_a	0.071
l	a	0.071
a	ˈi	0.069
a	-	0.069
ʁ	r	0.063
i	ˈɛ	0.056
i	ˈi_ʣ	0.056
i	-	0.056
ɛ	ˈe	0.053
ɛ	ˈa_ɣ	0.053
ɛ	ˈa_t	0.053
ɛ	-	0.053
