Eastphalian	West Frisian	probability
b	b	0.934
b	v	0.066
b_m	p	1.0
d	d	0.465
d	t	0.362
d	-	0.099
d	ʦ	0.064
f	f	0.93
f	-	0.041
f	v	0.041
h	h	1.0
j	j	0.428
j	ɡ	0.276
j	-	0.126
j	z	0.12
k	k	0.853
k	ʦ	0.083
k	ɣ	0.046
k	h	0.04
l	l	0.986
l	n	0.033
l_d	t	0.501
m	m	0.937
m	n	0.063
n	n	0.639
n	ə	0.315
n	-	0.045
n_d	n	1.0
p	p	0.939
p	t	0.058
r	r	0.787
r	-	0.081
r	r_ˈɛ	0.081
r	d	0.046
s	s	1.0
t	t	0.873
t	-	0.058
v	ʋ	0.495
v	v	0.289
v	-	0.206
w	v	0.699
w	ˈø	0.213
x	χ	0.862
x	-	0.12
z	s	0.673
z	z	0.214
z	ɕ	0.091
ç	χ	0.745
ç	ŋ	0.115
ç	-	0.11
ŋ	ŋ	0.822
ŋ	n	0.171
ɐ	r	0.86
ɐ	-	0.086
ɐ	ˈɪ_r	0.051
ə	-	0.517
ə	ə	0.479
ɡ	ɣ	1.0
ɣ	ɡ	0.647
ɣ	ɣ	0.206
ɣ	χ	0.122
ɪ	ə	0.715
ɪ	ɪ	0.201
ʃ	s_k	0.958
ʃ	s	0.05
ˈa	ˈa	0.472
ˈa	ˈɔː	0.109
ˈa	ˈaː	0.093
ˈa	ˈɪə̯	0.081
ˈa	ˈɛ	0.08
ˈaʊ̯	ˈuə̯	0.773
ˈaʊ̯	ˈoː	0.22
ˈaː	ˈaː	0.28
ˈaː	ˈiə̯	0.28
ˈaː	ˈɛː	0.175
ˈaː	ˈa	0.175
ˈeo̯	ˈɪə̯	0.645
ˈeo̯	ˈuː	0.182
ˈeo̯	ˈoə̯	0.081
ˈeo̯	ˈeː	0.079
ˈeː	ˈiə̯	0.296
ˈeː	ˈɛ	0.224
ˈeː	ˈɔː	0.148
ˈeː	ˈɪə̯	0.148
ˈeː	j	0.078
ˈiː	ˈiː	0.36
ˈiː	ˈi	0.298
ˈiː	j	0.231
ˈiː	ˈɛ_j	0.091
ˈoː	ˈuə̯	0.337
ˈoː	ˈoə̯	0.293
ˈoː	j	0.255
ˈoː	ˈuː	0.08
ˈuː	ˈuː	0.683
ˈuː	ˈu	0.107
ˈuː	ˈyː	0.083
ˈuː	ˈoː	0.076
ˈyː	j_ˈuə̯	1.0
ˈøː	ˈɪ	0.33
ˈøː	ˈuː	0.165
ˈœ	ˈa	0.45
ˈœ	ˈɔ	0.225
ˈœ	ˈɪ	0.13
ˈɒː	ˈiə̯	0.351
ˈɒː	ˈaː	0.235
ˈɒː	ˈa	0.148
ˈɒː	ˈoə̯	0.085
ˈɒː	ˈɪə̯	0.085
ˈɔ	ˈɔ	0.44
ˈɔ	ˈy	0.215
ˈɔ	ˈoə̯	0.187
ˈɔ	ˈɔu̯	0.088
ˈɔ	ˈaː	0.052
ˈɔ_l	ˈɔː	1.0
ˈɔʏ̯	ˈiə̯	0.631
ˈɔʏ̯	ˈɵ	0.167
ˈɔʏ̯	ˈɪə̯	0.104
ˈɛ	ˈɪ	0.458
ˈɛ	ˈɔ	0.176
ˈɛ	ˈa	0.116
ˈɛ	ˈɛi̯	0.088
ˈɛ	-	0.083
ˈɛə̯	ˈɛː	0.501
ˈɛɪ̯	ˈiə̯	0.397
ˈɛɪ̯	j	0.156
ˈɛɪ̯	ˈiː	0.075
ˈɛɪ̯	ˈɪə̯	0.07
ˈɛɪ̯	ˈi	0.063
ˈɛː	ˈɛi̯	0.264
ˈɛː	ˈiː	0.151
ˈɛː	ˈɛ	0.151
ˈɛː	ˈaː	0.112
ˈɛː	ˈɪə̯	0.1
ˈɪ	ˈɪ	0.556
ˈɪ	ˈi	0.144
ˈɪ	j_ˈɔ	0.093
ˈɪ	ˈa	0.061
ˈɪ	ˈiː	0.061
ˈʊ	ˈɔ	0.468
ˈʊ	ˈuː	0.241
ˈʊ	ˈuə̯	0.189
ˈʊ	ˈu	0.094
ˈʏ	ˈɪ	0.339
ˈʏ	ˈɛː	0.223
ˈʏ	ˈøə̯	0.223
ˈʏ	ˈyː	0.16
