Gothic	North Frisian	probability
<#	<#_j	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_s_k	<#_ʃ	1.0
<#_t	<#_t	1.0
<#_w	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʍ	v	1.0
<#_ˈɔː	<#_ˈuː	1.0
<#_θ	<#_t	1.0
a_n_#>	ə_#>	1.0
aː	-	1.0
d	-	1.0
f_#>	ə_n	1.0
h	-	1.0
h_t	x_t	1.0
i	ˈai̯	1.0
iː	-	1.0
j	-	1.0
k	k	1.0
l_a	l	1.0
l_i	l_v	1.0
l_θ	lʲ	1.0
m	m	1.0
n_d	n	1.0
nː	-	1.0
oː_#>	r_#>	1.0
p	p	1.0
r_#>	r_#>	1.0
r_ˈiː	r_ˈiː	1.0
s	-	1.0
s_k	ʃ	1.0
s_t	s_t	1.0
u	-	1.0
x	i	1.0
ŋ_ɡ	ŋ	1.0
ˈa_t	ˈɒː_d	1.0
ˈeː	ˈɔu̯	1.0
ˈi_l	ˈeː_l	1.0
ˈiu̯	ˈiː	1.0
ˈiː	ˈi	1.0
ˈoː	ˈœ	1.0
ˈu_lː	ˈʊ_l	1.0
ˈuː	ˈyː	1.0
ˈɔ	ˈyː	1.0
ˈɔ_r	ˈɔ_r	1.0
ˈɔː_θ	ˈyː	1.0
ˈɛ_r	ˈa_r	1.0
β	v	1.0
r	-	0.111
ɡ	-	0.571
ˈa	-	0.231
ˈi	ˈeː	0.091
ˈi	ˈɔː	0.091
a	-	0.2
l	l	0.882
r	r	0.722
ˈa	ˈuː	0.192
ˈi	ˈa	0.182
ˈi	-	0.182
ˈi	ˈaː	0.182
ˈu	ˈyː	0.222
ˈu	ˈɔː	0.222
θ	dʲ	0.222
θ	ˈɔu̯_d	0.222
<#_h	<#	0.143
<#_ˈa	<#_ˈeː	0.333
w	v	0.333
ˈi	ˈi	0.273
f	v	0.4
n_#>	ə_#>	0.154
t	-	0.214
ˈa	ˈa	0.154
ˈa	ˈœ	0.154
ˈɔː	ˈiː	0.4
n	n	0.5
ˈa	ˈɒ	0.115
ˈɛ	-	0.5
ˈɛ	ˈeː	0.5
ˈɛː	ˈɒ	0.25
ˈɛː	ˈiː	0.75
θ_#>	dʲ_#>	0.5
θ_#>	d_#>	0.5
f	f	0.6
n_#>	n_#>	0.846
oː	w	0.286
oː	ə	0.286
t	t	0.786
ˈu	ˈʊ	0.556
ˈɔː	ˈuː	0.6
θ	-	0.556
<#_h	<#_h	0.857
<#_ˈa	<#	0.667
n	-	0.167
n	s	0.167
n	nʲ_#>	0.167
r	ə_r	0.167
w	-	0.667
ˈa	ˈeː	0.077
ˈa	ˈʊ	0.077
a	ə	0.8
l	-	0.118
oː	-	0.429
s_#>	#>	0.959
ɡ	j	0.429
