West Frisian	Swiss German	probability
b	b̥	0.931
b	-	0.069
d	t	0.642
d	d̥	0.188
d	tː	0.097
d	ʦ	0.064
f	f	0.859
f	b̥	0.14
f_j	f	0.491
h	h	1.0
j	-	0.528
j	ˈyː	0.182
j	ˈiə̯	0.133
j	j	0.073
j	ˈæ	0.048
k	χ	0.69
k	k	0.228
k	-	0.055
k	ɡ̊	0.036
l	l	0.876
l	-	0.051
l	l_b̥	0.044
l	w	0.03
m	m	0.959
m	mː	0.046
n	n	0.578
n	-	0.314
n	ŋ	0.097
p	f	0.446
p	p͡f	0.305
p	fː	0.114
p	p	0.091
r	r	0.956
s	s	0.578
s	ʃ	0.39
s	ʃː	0.03
s_k	ʃ	1.0
t	t	0.475
t	sː	0.152
t	ʦ	0.14
t	d̥	0.095
t	s	0.08
v	ʋ	0.599
v	b̥	0.15
v	-	0.13
v	m	0.099
v_ə	f	1.0
z	s	0.292
z	ɡ̊	0.24
z	r	0.135
ŋ	ŋ	0.834
ŋ	ɡ̊	0.136
ɕ	s	1.0
ə	ə	0.628
ə	-	0.306
ə	i	0.063
ɡ	ɡ̊	1.0
ɣ	ɡ̊	0.761
ɣ	-	0.232
ɪ	i	1.0
ʋ	ʋ	1.0
ʦ	d̥	0.461
ʦ	χ	0.214
ʦ	ʦ	0.171
ˈa	ˈɒ	0.463
ˈa	ˈɒː	0.273
ˈa	ˈa	0.084
ˈa	ˈæ	0.067
ˈa	ˈe	0.067
ˈaː	ˈɒ	0.273
ˈaː	ˈɒː	0.141
ˈaː	ˈø	0.107
ˈaː	ˈou̯	0.085
ˈaː	ˈøi̯	0.083
ˈeː	ˈeː	0.258
ˈeː	ˈæ	0.17
ˈeː	ˈøː	0.17
ˈeː	ˈoː	0.148
ˈi	ˈi	0.488
ˈi	ˈiː	0.28
ˈi	ˈæi̯	0.137
ˈi	ˈæ	0.068
ˈiə̯	ˈɒː	0.24
ˈiə̯	ˈyː	0.141
ˈiə̯	ˈeː	0.127
ˈiə̯	ˈyə̯	0.096
ˈiə̯	ˈei̯	0.073
ˈiː	ˈiː	0.495
ˈiː	ˈi	0.12
ˈiː	ˈæi̯	0.12
ˈiː	ˈyː	0.089
ˈiː	ˈæː	0.089
ˈoə̯	ˈo_r	0.32
ˈoə̯	ˈu	0.295
ˈoə̯	ˈo	0.147
ˈoə̯	ˈoː	0.107
ˈoə̯	ˈɒ	0.103
ˈoː	ˈuə̯	0.363
ˈoː	ˈu	0.275
ˈu	ˈo	0.372
ˈu	ˈu	0.182
ˈuə̯	ˈuə̯	0.505
ˈuə̯	-	0.161
ˈuə̯	ˈɒ	0.107
ˈuə̯	ˈyə̯	0.107
ˈuə̯	ˈy	0.062
ˈuː	ˈuː	0.684
ˈuː	ˈyː	0.071
ˈuː	ˈiː	0.071
ˈuː	ˈoː	0.057
ˈuː	ˈo	0.054
ˈy	ˈo	1.0
ˈyː	ˈyː	0.415
ˈyː	ˈøi̯	0.204
ˈyː	ˈuː	0.204
ˈø	ˈø	0.275
ˈø	ˈɒː	0.24
ˈø	ˈe	0.135
ˈøə̯	ˈy	0.241
ˈɔ	ˈo	0.391
ˈɔ	ˈu	0.247
ˈɔ	ˈi	0.191
ˈɔ	-	0.079
ˈɔ	ˈø	0.065
ˈɔ_χ	χ	1.0
ˈɔu̯	ˈiə̯	0.282
ˈɔu̯	ˈo	0.282
ˈɔː	ˈɒ	0.464
ˈɔː	ˈɒ_l	0.292
ˈɔː	ˈa	0.113
ˈɔː	ə	0.08
ˈɛ	ˈe	0.19
ˈɛ	ˈɒ	0.125
ˈɛ	ˈa	0.125
ˈɛ	ˈau̯	0.125
ˈɛ	ˈæ	0.107
ˈɛi̯	ˈæ	0.293
ˈɛi̯	ˈɒ	0.169
ˈɛi̯	ˈɒː	0.118
ˈɛi̯	ˈæː	0.114
ˈɛi̯	ˈæi̯	0.114
ˈɛː	ˈɒː	0.229
ˈɛː	ˈɒ	0.229
ˈɛː	ˈu	0.229
ˈɛː	ˈæː	0.148
ˈɛː	ˈei̯	0.096
ˈɪ	ˈi	0.278
ˈɪ	ˈæ	0.166
ˈɪ	ˈy	0.166
ˈɪ	-	0.103
ˈɪ	ˈu	0.072
ˈɪə̯	ˈoː	0.215
ˈɪə̯	ˈou̯	0.154
ˈɪə̯	ˈau̯	0.121
ˈɪə̯	ˈøː	0.105
ˈɪə̯	ˈæ	0.08
ˈɵ	ˈyə̯	0.491
χ	χ	0.5
χ	ɡ̊	0.497
