West Frisian	Swiss German	probability
b	b̥	0.981
d	t	0.655
d	d̥	0.24
d	tː	0.092
f	f	0.875
f	b̥	0.125
h	h	1.0
j	-	0.582
j	ˈei̯	0.113
j	ˈiə̯	0.107
j	ˈyː	0.1
k	χ	0.601
k	-	0.218
k	k	0.126
l	l	0.98
m	m	0.843
m	-	0.092
m	mː	0.065
n	n	0.741
n	-	0.144
n	ŋ	0.085
p	f	0.632
p	p͡f	0.171
p	fː	0.141
p	p	0.056
r	r	0.933
s	s	0.509
s	ʃ	0.462
t	t	0.314
t	sː	0.2
t	ʦ	0.174
t	d̥	0.166
t	s	0.082
v	ʋ	0.68
v	-	0.161
v	b̥	0.058
v	m	0.05
v	f	0.05
z	ɡ̊ː	0.465
z	ɡ̊	0.262
z	r	0.163
z	s	0.11
ŋ	ŋ	0.851
ŋ	ɡ̊	0.149
ɕ	s	1.0
ə	ə	0.873
ə	-	0.108
ɡ	ɡ̊	1.0
ɣ	ɡ̊	0.515
ɣ	ɡ̊ː	0.434
ɣ	-	0.051
ɪ	æ	0.793
ɪ	i	0.207
ʋ	ʋ	1.0
ʦ	d̥	0.328
ʦ	χ	0.286
ʦ	ʦ	0.216
ʦ	s	0.17
ˈa	ˈɒ	0.454
ˈa	ˈɒː	0.343
ˈa	ˈæ	0.086
ˈaː	ˈæː	0.225
ˈaː	ˈɒ	0.223
ˈaː	ˈɒː	0.168
ˈaː	-	0.143
ˈaː	ˈæ	0.092
ˈaː	ˈou̯	0.057
ˈeː	ˈeː	0.56
ˈeː	ˈøː	0.261
ˈeː	ˈæ	0.115
ˈeː	ˈoː	0.064
ˈi	ˈi	0.459
ˈi	ˈiː	0.408
ˈi	ˈuə̯	0.061
ˈi	ˈæi̯	0.058
ˈiə̯	ˈɒː	0.249
ˈiə̯	ˈyə̯	0.162
ˈiə̯	ˈei̯	0.131
ˈiə̯	ˈæː	0.106
ˈiə̯	ˈɛi̯	0.106
ˈiə̯	ˈyː	0.073
ˈiə̯	ˈæ	0.066
ˈiː	ˈiː	0.336
ˈiː	ˈi	0.278
ˈiː	ˈɒ	0.139
ˈiː	ˈyː	0.103
ˈiː	ˈæi̯	0.066
ˈoə̯	ˈo	0.438
ˈoə̯	ˈoː	0.245
ˈoə̯	ˈy	0.131
ˈoə̯	ˈu	0.128
ˈoə̯	ˈɒ	0.058
ˈoː	ˈuə̯	0.68
ˈoː	ˈu	0.27
ˈu	ˈu	0.915
ˈu	ˈo	0.085
ˈuə̯	ˈuə̯	0.389
ˈuə̯	-	0.305
ˈuə̯	ˈoː	0.098
ˈuə̯	ˈyə̯	0.087
ˈuə̯	ˈɒ	0.058
ˈuː	ˈuː	0.462
ˈuː	ˈoː	0.19
ˈuː	ˈu	0.149
ˈuː	ˈiː	0.088
ˈuː	ˈo	0.07
ˈu̯o	ˈyə̯	1.0
ˈy	ˈo	0.943
ˈy	ˈy	0.057
ˈyː	ˈuː	0.331
ˈyː	ˈøi̯	0.331
ˈyː	ˈyː	0.22
ˈyː	ˈu	0.119
ˈø	ˈɒː	0.697
ˈø	ˈe	0.193
ˈø	ˈø	0.109
ˈøə̯	ˈy	1.0
ˈɔ	ˈu	0.292
ˈɔ	ˈo	0.238
ˈɔ	ˈi	0.187
ˈɔ	-	0.159
ˈɔ	ˈoː	0.088
ˈɔu̯	ˈiə̯	0.611
ˈɔu̯	ˈo	0.389
ˈɔː	ˈɒ	0.782
ˈɔː	ə	0.218
ˈɛ	-	0.265
ˈɛ	ˈæ	0.214
ˈɛ	ˈi	0.133
ˈɛ	ˈe	0.13
ˈɛ	ˈɒ	0.097
ˈɛ	ˈøi̯	0.095
ˈɛi̯	ˈæ	0.35
ˈɛi̯	ˈe	0.138
ˈɛi̯	ˈæː	0.138
ˈɛi̯	ˈɒː	0.135
ˈɛi̯	ˈɒ	0.097
ˈɛi̯	ˈeː	0.077
ˈɛi̯	ˈæi̯	0.066
ˈɛː	ˈu	0.219
ˈɛː	ˈæː	0.219
ˈɛː	ˈɒ	0.219
ˈɛː	ˈy	0.149
ˈɛː	ˈei̯	0.096
ˈɛː	ˈɒː	0.096
ˈɪ	ˈi	0.36
ˈɪ	ˈu	0.133
ˈɪ	ˈy	0.125
ˈɪ	ˈæ	0.109
ˈɪ	-	0.105
ˈɪ	ˈø	0.06
ˈɪə̯	ˈoː	0.192
ˈɪə̯	ˈɒː	0.163
ˈɪə̯	ˈæ	0.16
ˈɪə̯	ˈau̯	0.08
ˈɪə̯	ˈou̯	0.078
ˈɪə̯	ˈɒ	0.075
ˈɪə̯	ˈy	0.07
ˈɪə̯	ˈøː	0.062
χ	χ	0.508
χ	ɡ̊	0.295
χ	ɡ̊ː	0.173
