Aragonese	Megleno-Romanian	probability
f	f	1.0
r	r	1.0
ɣ	k	1.0
ɲ	n	1.0
ʧ	ʒ	1.0
ˈu	ˈu	1.0
d	d	0.771
e	ə	0.071
j	-	0.101
p	kʲ	0.071
ɾ	-	0.211
ˈa	ˈɔ	0.231
ˈo	o̯ˈa	0.281
θ	ʦ	0.881
b	b	0.092
m	m	0.942
ʎ	ʎ	0.242
ˈa	i	0.052
ˈe	ˈo	0.062
ˈe	e̯ˈa	0.082
ˈe	ˈe	0.202
ˈo	ˈu	0.492
l	r	0.103
n	n_i	0.083
t	-	0.103
w	-	0.753
e	-	0.094
i	i	0.494
j	p	0.114
k	ʦ	0.064
l	-	0.064
ð	t	0.744
ŋ	ŋ	0.474
ɡ	ɡ	0.454
ɾ	r_i	0.124
ˈi	ˈi	0.894
e	i	0.835
j	i	0.575
l	ʎ	0.125
o	ə	0.055
o	u	0.945
ɾ	r	0.665
ˈe	ˈi	0.055
β	b	0.285
a	-	0.136
a	ə	0.816
i	-	0.506
k	k	0.936
n	n	0.886
s	s	0.816
ð	d	0.256
ŋ	n	0.526
ɡ	-	0.546
ˈi	ˈu	0.106
β	-	0.286
s	ʃ	0.167
t	t	0.897
w	w	0.247
ˈo	ˈo	0.227
b	v	0.908
l	l	0.708
m	-	0.058
ʎ	-	0.568
ˈe	ˈu	0.188
ˈe	ˈa	0.288
d	z	0.229
j	ʦ	0.209
p	p	0.929
ʎ	k_ʎ	0.19
ˈa	ˈɔ_j	0.119
ˈa	ˈa	0.599
ˈe	i_#>	0.089
β	p	0.429
θ	ʧ	0.119
