Occitan	Eastern Lombard	probability
f	f	1.0
i	i	1.0
lː	z	1.0
p	p	1.0
v	ʋ	1.0
ŋ	ŋ	1.0
ɣ	ɡ	1.0
ɥ	-	1.0
ʦ	s	1.0
d	-	0.051
j	-	0.721
n	t	0.061
n	n	0.721
u	o	0.81
w	-	0.521
ð	d	0.551
ʎ	-	0.281
ʎ	ʤ	0.281
ʧ	ʧ	0.191
ˈa	a	0.061
ˈi	ˈe	0.211
ˈu	ˈu	0.351
ˈy	ˈo	0.091
ˈɔ	ˈø	0.161
a	e	0.072
e	e	0.402
ˈe	ˈe	0.352
ˈu	ˈu_r	0.142
ˈy	ˈy_r	0.072
ˈɔ	ˈu	0.082
β	-	0.812
l	j	0.153
t	t	0.73
ɔ	-	0.053
ˈe	-	0.113
ˈy	ˈy	0.163
j	e	0.24
k	k_w	0.064
l	l	0.724
m	m	0.94
s	s	0.954
z	z	0.754
ɡ	ɡ_w	0.154
ɲ	ɲ	0.934
ʤ	d	0.204
β	ʋ	0.084
β	b	0.104
b	b	0.955
e	a	0.05
e	-	0.335
k	k	0.875
n	n_t	0.05
r	r	0.855
t	-	0.065
w	f	0.375
ˈu	ˈɔ	0.085
ˈu	ˈy	0.115
ˈɛ	ˈø	0.085
l	-	0.066
m	-	0.06
n	ɲ	0.056
r	r_e	0.076
t	ʧ	0.06
t	t_e	0.146
z	-	0.246
ɡ	-	0.146
ɲ	n	0.066
ʤ	z	0.6
ˈa	ˈa	0.876
ˈy	ˈø	0.616
e	e_s	0.067
ɔ	a	0.947
ɡ	ɡ	0.7
ɾ	r	0.767
ʎ	j	0.437
ˈe	ˈi	0.227
ˈɔ	ˈo	0.287
ˈɔ	ˈɔ	0.47
ˈɛ	ˈɛ	0.397
ˈɛ	ˈe	0.437
a	a	0.898
e	i	0.088
u	-	0.068
ʤ	ʤ	0.068
ʤ	-	0.128
ˈe	ˈɛ	0.308
ˈi	-	0.068
ˈi	ˈi	0.68
ˈu	ˈo	0.248
ˈy	ˈɔ	0.058
d	d	0.899
n	-	0.069
u	u	0.079
w	e	0.069
ð	t	0.449
ɾ	-	0.19
ʧ	t	0.809
ˈu	ˈø	0.059
