Portuguese	Ladin	probability
b	b	0.927
b	m	0.073
d	d	0.904
ẽ	e	1.0
f	f	1.0
i	-	0.81
i	i	0.115
i	e	0.075
ĩ	i	1.0
j	-	0.586
j	j	0.154
j	ˈe	0.074
j	e	0.063
j̃	n	0.362
j̃	a	0.352
j̃	-	0.153
j̃	ˈi	0.133
k	k	0.464
k	ʨ	0.446
l	l	0.904
l	j_l	0.051
m	m	0.944
n	n	0.908
o	o	1.0
p	p	0.904
p	-	0.064
s	s	0.434
s	ʧ	0.175
s	ʃ	0.112
s	ʨ	0.109
s	ʦ	0.082
s	-	0.051
t	t	0.6
t	t_e	0.285
t	ʦ	0.071
u	-	0.683
u	l	0.121
u	o	0.08
v	v	0.742
v	-	0.178
v	b	0.068
w	-	0.684
w	ˈa	0.094
w	ˈɛ	0.078
w	l	0.051
w̃	n	0.779
w̃	-	0.221
z	-	0.431
z	ʒ	0.214
z	z	0.132
z	s	0.131
z	d	0.092
ð	d	0.44
ð	t	0.353
ð	-	0.207
ɐ	a	0.785
ɐ	-	0.129
ɐ̃	o	0.426
ɐ̃	e	0.327
ɐ̃	-	0.161
ɐ̃	a	0.086
ɔ	o	1.0
ɡ	ɡ	0.856
ɡ	ʥ	0.1
ɣ	ɡ	0.483
ɣ	-	0.205
ɣ	j	0.147
ɣ	v	0.109
ɣ	ʨ	0.054
ɨ	-	0.537
ɨ	e	0.271
ɨ	a	0.109
ɨ	ˈe	0.06
ɫ	l	0.67
ɫ	w	0.261
ɫ	ˈɔ	0.069
ɲ	n	0.729
ɲ	ɲ	0.271
ɾ	r	0.603
ɾ	-	0.177
ɾ	j	0.16
ʁ	r	0.819
ʁ	f	0.122
ʁ	-	0.059
ʃ	ʃ	0.387
ʃ	s	0.343
ʃ	-	0.101
ʎ	d	0.411
ʎ	-	0.268
ʎ	j	0.241
ʎ	l	0.081
ʒ	ʒ	0.81
ʒ	ʧ	0.078
ˈa	ˈa	0.373
ˈa	ˈɛ	0.313
ˈa	-	0.25
ˈe	ˈe	0.832
ˈe	j	0.08
ˈẽ	ˈɛ_n	0.726
ˈẽ	n	0.181
ˈẽ	ˈɛ	0.093
ˈi	ˈi	0.838
ˈi	-	0.054
ˈĩ	ˈi_n	0.476
ˈĩ	ŋ	0.436
ˈĩ	ˈɛ_n	0.088
ˈo	ˈɔ	0.42
ˈo	w	0.251
ˈo	w_ˈɛ	0.125
ˈo	ˈo	0.102
ˈo	ˈɔ_n	0.061
ˈõ	ˈo_n	0.444
ˈõ	ˈɔ_n	0.332
ˈõ	ˈɔ	0.136
ˈõ	ˈo	0.088
ˈu	ˈu	0.72
ˈu	ˈo	0.174
ˈũ	ˈu	1.0
ˈɐ	ˈa	0.34
ˈɐ	ˈe	0.261
ˈɐ	ˈɛ	0.199
ˈɐ	-	0.079
ˈɐ	j	0.069
ˈɐ	w	0.053
ˈɐ̃	ˈa	0.478
ˈɐ̃	ˈɛ	0.16
ˈɐ̃	ˈo	0.156
ˈɐ̃	ˈa_n	0.138
ˈɐ̃	-	0.069
ˈɔ	ˈo	0.377
ˈɔ	ˈɔ	0.288
ˈɔ	w_ˈɛ	0.193
ˈɔ	ˈa	0.098
ˈɛ	ˈɛ	0.865
ˈɨ	ˈe	0.661
ˈɨ	ˈi	0.339
β	v	0.498
β	w	0.345
β	p	0.074
β	-	0.066
