Pennsylvania German	Old Frisian	probability
ˈʊ_n	ˈuː	1.0
ˈɔː_ɑ	ˈeː_r	1.0
ˈɔɪ̯	ˈaː_j	1.0
ʃ_l	s_l	1.0
ɣ	-	1.0
ə_m	m	1.0
t	t	1.0
p	pː	1.0
m_ˈɪ	m_ˈe	1.0
l_d̥	l_d	1.0
h	h	1.0
f_ə	p_ə	1.0
eː	iː	1.0
d_ɾ	d_r	1.0
d_ə	d_ə	1.0
b̥	v	1.0
m	m	0.96
l	l	0.953
b	b	0.949
ɾ	r	0.936
f	f	0.832
ˈaʊ̯	ˈuː	0.83
n	n	0.813
ʋ	w	0.807
ˈʊ	ˈu	0.802
ˈuː	ˈoː	0.8
ˈɛ	ˈe	0.78
ŋ	ŋ_ɡ	0.78
ə	ə	0.767
ˈiː	ˈi̯aː	0.715
ɡ	ɡ	0.709
ʦ	t	0.685
d̥	d	0.669
ˈɛː	ˈe	0.667
ˈɪ	ˈi	0.657
ɪ	-	0.6
ʃ	s	0.579
j	j	0.574
ˈeː	ˈɛː	0.562
ˈaɪ̯	ˈiː	0.535
ç	k	0.535
d	θ	0.531
s	s	0.502
ˈɔ	ˈo	0.5
ˈoː	ˈaː	0.442
ɡ̊	-	0.437
ˈaː	-	0.434
x	x	0.43
j	ɣ	0.426
ʃ	s_k	0.421
k	k	0.412
ɑ	r	0.406
ɪ	i	0.4
s	t	0.4
ɑ	ə_r	0.395
ˈa	ˈa	0.38
ɡ̊	ɡː	0.371
ˈɔː	ˈaː	0.364
d	d	0.343
ˈa	ˈɔː	0.339
ˈɛː	-	0.333
d̥	t	0.331
ˈoː	ˈeː	0.315
ʦ	tː	0.315
ˈaː	ˈɔː_r	0.311
ˈɔ	ˈu	0.3
ˈɔː	ˈa	0.293
ɡ	j	0.291
ˈiː	ˈeː	0.285
ç	ɣ̥	0.27
ˈaː	r	0.256
x	k	0.252
ˈoː	ˈɔː	0.243
ˈaɪ̯	ˈi̯uː	0.231
ŋ	ŋ	0.22
k	ʦ	0.217
k	kː	0.203
ˈɔ	-	0.2
ˈuː	ˈeː	0.2
ˈɔː	-	0.198
ç	x	0.196
ɡ̊	ɣ̥	0.192
x	-	0.187
ˈeː	ˈe	0.182
ˈeː	ˈaː	0.174
ˈɪ	ˈe	0.173
ˈɪ	-	0.171
ˈaʊ̯	-	0.17
k	-	0.168
f	p	0.168
ˈa	ˈe	0.166
ˈaɪ̯	-	0.161
ə	j_ə	0.16
ˈɔː	ˈe	0.145
ˈɛ	-	0.137
x	k_ə	0.131
ɑ	r_ə	0.128
ˈa	ˈi	0.115
ˈʊ	ˈoː	0.099
ˈʊ	ˈo	0.099
n	nː	0.094
ʋ	v	0.092
ˈɛ	ˈo	0.083
ˈeː	ˈaː_n	0.082
ʋ	h_w	0.075
ˈaɪ̯	ˈi	0.073
ɑ	ˈeː_r	0.07
s	z	0.067
d	ð	0.067
ɾ	h_r	0.064
n	-	0.055
b	p	0.051
