Cantonese	Cantonese	probability
⁵⁵	¹¹	1.0
⁵	²	1.0
ʧ	ʦ	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ʃ	ɕ	1.0
ɵ_ɥ	y	1.0
ɵ	w	1.0
ɪ	ĩ	1.0
ɛː	ɤ	1.0
ɔː_ŋ	ɒ̃	1.0
ɔː_n	æ̃	1.0
ɔː_j	a_j	1.0
ɐ_j	i	1.0
œː_ŋ	ɒ̃	1.0
ŋ̍	v_u	1.0
¹³	⁵³	1.0
³³	⁴⁵	1.0
³	²	1.0
²¹	¹¹	1.0
²²	⁴⁵	1.0
w_ɐ	ỹ	1.0
uː	-	1.0
tʰ	tʰ͡x	1.0
t	t	1.0
pʰ	pʰ͡x	1.0
p	p	1.0
l	l	1.0
kʰ	ʨʰ	1.0
iː_n	j_e	1.0
aː_n	æ̃	1.0
aː_m	æ̃	1.0
³⁵	⁵³	0.947
w	w	0.875
ŋ	ŋ	0.867
aː	a	0.846
²	²	0.8
s	s	0.75
t̚	ʔ	0.7
k̚	ʔ	0.688
ʧʰ	ʦʰ	0.667
f	f	0.636
ɔː	ɤ	0.625
<#_j	<#	0.625
yː	ɥ	0.6
k	ʨ	0.6
e	i	0.6
ɐ	ə	0.583
o	a	0.571
ʊ	ũ	0.5
n	ŋ	0.5
<#	<#_ɣ	0.5
<#	<#_x	0.5
m	m	0.462
iː	z̩	0.438
o	u	0.429
j	j	0.412
k	k	0.4
e	e	0.4
m	v	0.385
h	x	0.375
<#_j	<#_ə	0.375
j	-	0.353
ʧʰ	ʨʰ	0.333
k̚	ə_ʔ	0.312
t̚	ə_ʔ	0.3
ʊ	ə	0.25
ʊ	w_ə	0.25
ɔː	-	0.25
ɐ	ə̃	0.25
s	ɕ	0.25
iː	j_a	0.25
h	kʰ͡x	0.25
j	ʐ	0.235
²	⁵⁴	0.2
yː	y	0.2
yː	-	0.2
iː	ɻ	0.188
h	ʨʰ	0.188
n	n	0.182
n	e	0.182
f	x	0.182
f	kʰ͡x	0.182
ɐ	ĩ	0.167
m	ŋ	0.154
aː	-	0.154
n	æ̃	0.136
ŋ	n	0.133
ɔː	o	0.125
w	-	0.125
iː	a	0.125
h	ɕ	0.125
h	h	0.062
³⁵	³¹	0.053
