Middle High German	Danish	probability
ˈɑ_s	ˈɑː	1.0
ˈɑ_r	ˈɑˀ	1.0
ˈyə̯	-	1.0
ˈou̯	-	1.0
ˈiə̯_r	ɐ	1.0
ˈeː	ˈeˀ	1.0
ʦː	-	1.0
ʃː	s_ɡ̊	1.0
ɡ_ə	jˀ	1.0
ɛ	ˈɑ_d̥	1.0
ə_r	ɐ	1.0
ɑː	ˈɒː	1.0
ɑ	ə	1.0
ŋ_ɡ̊	ŋˀ	1.0
ŋ_ɡ	ŋ	1.0
ŋ	-	1.0
xː	-	1.0
x_t	d̥	1.0
w_ˈi	ʋ	1.0
v	f	1.0
s̻ː	ð̞ˠ	1.0
s̻	ð̞ˠ	1.0
s_ə	s_ə	1.0
rː	ˈœˀ	1.0
r_ə	ɐ	1.0
p͡f	-	1.0
p	b̥	1.0
oː	ə	1.0
ou̯	ˈøˀ	1.0
n_d̥	nˀ	1.0
n_d	n	1.0
mː	ˈø_m	1.0
m_b̥	mˀ	1.0
lː	lˀ	1.0
l_b̥	lˀ	1.0
kː	ɡ̊	1.0
kʰ	kʰ	1.0
k	ɡ̊	1.0
i	i	1.0
fː	b̥	1.0
f_ə	b̥_ə	1.0
f	b̥	1.0
d̥	ð̞ˠ	1.0
b̥	w	1.0
b_ə	w	1.0
b	b̥	1.0
m	m	0.975
s	s	0.961
ə	ə	0.798
ʦ	ʦʰ	0.785
w	ʋ	0.711
n	n	0.701
ɡ	-	0.691
d	ʦʰ	0.679
nː	n	0.657
l	l	0.636
ˈei̯	ˈeˀ	0.627
h	h	0.627
ˈuə̯	ˈoˀ	0.6
ʃ	s	0.594
ˈyː	-	0.588
ˈiː	ˈiˀ	0.575
ˈuː	ˈuˀ	0.564
ˈy	-	0.505
ˈoː	ˈœˀ	0.5
ˈoː	ˈøˀ	0.5
ˈu	ˈu	0.483
t	ð̞ˠ	0.479
ˈiə̯	ˈyˀ	0.467
ˈe	-	0.46
ˈi	ˈe	0.435
ˈyː	ˈyˀ	0.412
x	j	0.41
ʃ	s_ɡ̊	0.406
ˈuə̯	-	0.4
t	d̥	0.399
ˈiə̯	ˈyː	0.388
ˈɛ	ˈɛ	0.385
ˈɑː	ˈɒˀ	0.376
r	ʁ	0.372
ˈo	-	0.365
l	lˀ	0.364
ˈo	ˈo	0.361
ˈe	ˈe	0.36
ɡ̊	w	0.358
ˈɑ	ˈæ	0.356
ɡ̊	-	0.349
r	ɐ	0.349
nː	nˀ	0.343
ˈɑː	ˈɔː	0.312
ˈɑː	ˈɔˀ	0.312
x	ɡ̊	0.31
ɡ	w	0.309
ɡ̊	j	0.294
d	-	0.292
ˈy	ˈø	0.291
w	-	0.289
x	ˈɛ	0.281
r	ɐˀ	0.279
ˈo	ˈu	0.274
ˈei̯	-	0.268
ˈi	-	0.246
ˈɛ	-	0.233
ˈɑ	ˈɑ	0.231
ˈiː	-	0.224
h	-	0.222
ʦ	d̥	0.215
ˈy	ˈœ	0.204
ˈiː	ˈiː	0.2
ˈɛ	j	0.195
ˈu	ˈœ	0.19
ˈuː	ˈɔ	0.182
ˈu	-	0.181
ˈe	ˈœː	0.18
h	j	0.15
n	ə	0.147
ˈu	ˈo	0.146
ˈiə̯	-	0.145
ˈi	ˈiˀ	0.139
ˈi	ˈi	0.129
ˈuː	ˈuː	0.128
ˈuː	-	0.126
t	-	0.122
ˈei̯	ˈɛ	0.105
ə	-	0.09
ˈɑ	-	0.087
ˈɑ	ˈʌ	0.073
ˈɑ	ˈɔˀ	0.073
n	nˀ	0.064
ˈɛ	ˈɑ	0.062
ˈɛ	ˈeˀ	0.062
ˈɛ	ˈe	0.062
ˈɑ	ˈɛː	0.056
ˈɑ	ˈe	0.053
ˈi	j	0.05
