Asturian	Sicilian	probability
f	f	1.0
i	ɪ	1.0
p	p	1.0
w	w	1.0
ɟ͡ʝ	-	1.0
ɡ	ɡ	1.0
ˈu	ˈu	1.0
e	ɪ	0.441
l	l	0.61
o	-	0.21
ɾ	r	0.071
ɾ	ɾ	0.341
ʃ	ʤ	0.091
ˈe	ˈi	0.411
β	-	0.1
b	v	0.782
e	ʊ	0.112
l	ɖː	0.152
r	r	0.462
ʧ	t	0.112
θ	ɕ_ɪ	0.112
a	a	0.953
e	i	0.193
l	w	0.063
m	m	0.933
r	ʐ	0.43
t	ʈ	0.053
ð	ʈ	0.13
ŋ	-	0.083
ɣ	ɡ	0.283
ɾ	r_ɪ	0.13
ʃ	j	0.83
ʎ	ɖː	0.273
θ	-	0.133
θ	ɕ	0.603
d	-	0.064
k	k	0.914
l	-	0.054
o	o	0.074
o	u	0.164
ð	t	0.844
ɲ	nː	0.284
ɾ	ɽ	0.084
ɾ	ɾ_ɪ	0.224
ʝ	-	0.074
β	v	0.64
e	a	0.195
m	mː	0.055
d	d	0.936
k	kː	0.086
o	ˈu	0.086
o	a_w	0.116
ŋ	n_ɪ	0.456
ŋ	ŋ	0.46
ɲ	ɲː	0.716
ˈa	ˈa	0.996
ˈi	ˈi	0.946
ˈo	ˈa_w	0.06
ˈo	ˈu	0.416
β	p	0.236
j	-	0.977
l	l_ɪ	0.067
o	ʊ	0.307
t	tː	0.157
ɣ	k	0.717
ʎ	l	0.727
ˈo	ˈo	0.127
ˈo	ˈɔ	0.37
b	b	0.218
r	ʐː	0.108
t	t	0.768
u	ʊ	0.988
ʝ	ɟː	0.398
ʧ	tː	0.888
ˈe	ˈɛ	0.118
ˈe	ˈa	0.168
ˈe	ɪ	0.228
n	n	0.949
s	s	0.929
ɾ	-	0.129
ʃ	ʃː	0.079
ʝ	cː	0.49
θ	z	0.109
