Old High German	Eastphalian	probability
ˈɛ_h	ˈɛɪ̯	1.0
ˈɑː	ˈɒː	1.0
ˈuː	ˈuː	1.0
ˈou̯	ˈeo̯	1.0
ˈio̯	ˈɛɪ̯	1.0
ˈie̯	ˈiː	1.0
ˈeː	-	1.0
ʦː	t	1.0
ʦ	t	1.0
ɡ_ɑ	ŋ	1.0
ɛ_r	ɐ	1.0
ɛ_h	ɒː	1.0
ɑ_r	ɐ	1.0
ɑ_n	m	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
xː	k	1.0
u	-	1.0
tː	d	1.0
s̻ː_ɑ	t	1.0
s̻ː	t	1.0
s̻	t	1.0
s_t	s_t	1.0
s_k	ʃ	1.0
rː	ˈøː_ɣ	1.0
r_ˈou̯	r	1.0
r_i	ɐ	1.0
p͡f	p	1.0
p	p	1.0
oː	-	1.0
nː	n	1.0
n_t	n	1.0
n_d	n	1.0
mː	-	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kː	k	1.0
kʰ	k	1.0
k	k	1.0
j	j	1.0
h	h	1.0
fː	p	1.0
f_ɑ	b	1.0
eː	-	1.0
e	-	1.0
n	n	0.954
ɑ	-	0.937
ˈi	ˈɪ	0.916
f	f	0.819
ˈiː	ˈiː	0.765
ˈei̯	ˈɛɪ̯	0.763
d	d	0.745
b	b	0.721
w	v	0.683
ˈoː	ˈeo̯	0.676
s	z	0.628
ˈɑ	ˈa	0.597
r	ɐ	0.568
ˈe	-	0.54
i	ə	0.54
o	-	0.532
x	-	0.501
ˈuo̯	ˈaʊ̯	0.5
x	x	0.499
o	ə	0.468
t	d̥	0.463
ˈe	ˈɛ	0.46
i	-	0.46
r	r	0.411
ˈuo̯	ˈɔʏ̯	0.389
ˈiu̯	ˈyː	0.387
ɡ	j	0.384
s	s	0.372
ˈo	ˈɔ	0.327
ˈɛ	ˈeː	0.324
ˈoː	-	0.324
t	t	0.312
ˈu	ˈʊ	0.311
ɡ	-	0.309
ˈiu̯	ˈʏ	0.307
ˈiu̯	-	0.307
ˈo	ˈoː	0.3
ˈo	ˈʊ	0.277
ˈu	ˈʏ	0.258
d	-	0.255
ˈɛ	ˈɛ	0.251
ˈɛ	ˈɛː	0.238
ˈɛ	ˈa	0.188
ɡ	ç	0.184
ˈei̯	ˈɪ	0.182
f	p	0.181
b	v	0.174
w	w	0.168
ˈu	ˈoː	0.166
ˈɑ	ˈɒː	0.163
w	-	0.149
ˈu	ˈœ	0.138
t	-	0.13
ˈu	ˈɔ	0.127
ˈiː	ˈɪ	0.118
ˈiː	-	0.118
ˈuo̯	ˈʊ	0.112
ˈo	-	0.096
t	d	0.094
ɡ	ɣ	0.088
ˈi	ˈɛ	0.084
ˈɑ	ˈɛː	0.076
ˈɑ	ˈaː	0.075
b	-	0.075
ɑ	ɪ	0.063
ˈei̯	ˈaɪ̯	0.055
ˈɑ	ˈɔ	0.054
