Scots	Old English	probability
θ	θ	1.0
ˈʌu̯	ˈo_ɫ	1.0
ˈɛː	ˈe_j	1.0
ˈɔɪ̯	w_ˈeo̯	1.0
ˈɑː_x	xː	1.0
ˈøː	ˈoː_x	1.0
ˈø	ˈoː	1.0
ˈoː	ˈo	1.0
ˈo	ˈo	1.0
ˈaːɪ̯	ˈiː	1.0
ˈaː	ˈi_ʧ	1.0
ˈaɪ̯	-	1.0
ʧ	ʧ	1.0
ʤ	ʤ	1.0
ʃ	ʃ	1.0
ɪ	iː_ʧ	1.0
ɛ	e	1.0
ə_r	r	1.0
ə_n	n	1.0
z	z	1.0
w_ˈɪ	w	1.0
w_ˈa	w	1.0
w	w	1.0
v	v	1.0
r_n	r_n	1.0
m	m	1.0
h	h	1.0
f	f	1.0
e	i_j	1.0
b	b	1.0
d	d	0.975
r	r	0.966
s	s	0.956
j	j	0.887
t	t	0.877
kʰ	k	0.869
p	p	0.839
ˈʌ	ˈu	0.825
ɡ	ɡ	0.797
ŋ	ŋ_ɡ	0.793
n	n	0.792
l	l	0.668
k	k	0.666
ˈəi̯	ˈiː	0.647
ˈu	ˈuː	0.638
ˈe	ˈɑː	0.626
x	ɣ̊	0.615
ç	x	0.571
ð	ð	0.56
ˈɪ	ˈi	0.54
ə	e	0.525
i	i_j	0.525
ˈuː	ˈuː	0.502
ʍ	h_w	0.5
ʍ	h	0.5
i	iːy̯	0.475
ˈa	ˈɑ	0.463
ð	d	0.44
ç	ç	0.429
ˈɛ	ˈe	0.421
ˈeː	ˈæɑ̯	0.42
ˈɑː	ˈɑ	0.404
ə	o	0.404
x	-	0.385
ˈu	-	0.362
ˈeː	-	0.329
ˈa	-	0.303
ˈuː	w	0.297
l	ɫ	0.294
ˈiː	ˈæːɑ̯	0.285
ˈi	ˈeː	0.258
ˈiː	ˈeːo̯	0.256
ˈɛ	-	0.236
ˈi	ˈeːo̯	0.229
ˈe	ˈɑ	0.228
ˈɑː	ˈæɑ̯_ɫ	0.227
ˈɑː	ˈæɑ̯	0.221
k	ʧ	0.212
ˈiː	ˈiːy̯	0.211
ŋ	ŋ	0.207
ɡ	ʤ	0.203
ˈuː	ˈu_ɫː	0.201
ˈəi̯	ˈyː	0.179
ˈʌ	ˈeo̯	0.175
ˈəi̯	-	0.174
ˈi	ˈæːɑ̯	0.173
ˈi	-	0.169
ˈɛ	ˈæ	0.163
p	pː	0.161
ˈiː	ˈeː	0.15
ˈɑː	ˈɑː_w	0.149
ˈe	ˈæːɑ̯	0.146
ˈɛ	ˈeo̯	0.145
kʰ	ʧ	0.131
n	nː	0.118
ˈeː	ˈɑː	0.117
ˈa	ˈæ	0.117
ˈa	ˈe	0.117
j	æːɑ̯	0.113
ˈɪ	ˈu	0.107
ˈɪ	-	0.107
ˈiː	ˈeːo̯_ɣ	0.098
ˈɪ	ˈy	0.097
n	n_e	0.091
ˈi	ˈæː	0.086
ˈi	ˈe	0.084
ˈeː	ˈæːɑ̯	0.075
t	tː	0.068
k	k_ɑ	0.064
ˈɪ	ˈoː	0.06
ˈɪ	ˈeːo̯	0.06
k	kː	0.057
t	t_e	0.055
