Standard Serbian	Old Prussian	probability
̌	-	1.0
̂	-	1.0
ʨ	k_t	1.0
ʧ	b_i	1.0
ʒ	ɡ	1.0
ʎ	eː	1.0
ʃ	k_a	1.0
ɡ	ɡ_i	1.0
z	z	1.0
x	u_s	1.0
uː_̂	i	1.0
u	-	1.0
s	s	1.0
r̩ː	r	1.0
r̩	i_r	1.0
p	p	1.0
m_eː	m_e	1.0
m	m	1.0
l	l	1.0
j_e	ai̯	1.0
iː	-	1.0
i_̂	u	1.0
eː_̂	i	1.0
eː	iː	1.0
e_̌	e	1.0
e_̂	e	1.0
b	b	1.0
aː	-	1.0
a_̂	a	1.0
r	r	0.834
e	-	0.816
t	t	0.79
k	k	0.728
oː	a	0.725
ʋ	v	0.715
n	n	0.707
d	d	0.65
o	-	0.584
uː	au̯	0.565
i	o_n	0.532
i	oːu̯	0.468
uː	-	0.435
o	a	0.416
a	o	0.348
n	n_a	0.293
a	e	0.281
oː	a_l	0.275
k	u	0.272
a	-	0.233
d	n	0.223
e	e	0.184
ʋ	w	0.175
r	-	0.166
t	n_t	0.152
a	a	0.139
d	-	0.127
ʋ	au̯	0.11
t	s	0.057
