Standard German	East Frisian Low Saxon	probability
ˈʊ_ɐ	ˈyːʏ̯	1.0
ˈɛː	-	1.0
ˈøː	ˈøː	1.0
ˈoː_n	ˈɒː_n	1.0
ˈaɪ̯_t	ˈiː_d̥	1.0
ʦ	t	1.0
ɪ_ç	ɐ_ɣ̊	1.0
ɪ	ɡ̊	1.0
ɡ̊	ɣ̊	1.0
ɡ_ə	ɣ̊	1.0
ɡ	ɡ	1.0
ɐ_n	ɐ_n	1.0
ɐ	ɐ	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
z_ə	z̥	1.0
z	z	1.0
x_ə	k	1.0
tʰ	d	1.0
t_n	d_n	1.0
s_t	s_t	1.0
s	t	1.0
p͡f	p	1.0
n_d	n	1.0
m	m	1.0
l_ə	ɫ	1.0
l	l	1.0
kʰ	k	1.0
k_ə	ɣ̊	1.0
j	j	1.0
h	h	1.0
f_n	p_n	1.0
eː	ɑɪ̯	1.0
d_ɐ	ɐ	1.0
d	d	1.0
b̥	v̥	1.0
b_ɐ	v_ɐ	1.0
b_n	v_n	1.0
b	b	1.0
a	-	1.0
n	n	0.958
ə	-	0.905
d̥	d̥	0.895
ˈɪ	ˈɪ	0.841
ʁ	r	0.81
ˈɔʏ̯	-	0.779
v	v	0.766
f	f	0.747
ˈʊ	ˈʊ	0.662
ˈuː	ˈɑʊ̯	0.65
ç	k	0.632
ˈʏ	ˈʏ	0.603
ˈa	ˈɑ	0.58
k_n	k_n	0.57
x	χ	0.568
ˈiː	ˈæɪ̯	0.563
ʃ	s	0.555
ˈoː	ˈoː	0.511
ˈeː	-	0.5
ˈyː	ˈœy̯	0.497
ˈaɪ̯	ˈæɪ̯	0.465
t	t	0.456
ˈaʊ̯	ˈuː	0.454
ʃ	s_k	0.445
x	k	0.432
k_n	ɣ̊	0.43
ˈaː	ˈɒː	0.424
t	d̥	0.401
ˈʏ	ˈʏə̯	0.397
ç	χ	0.368
ˈoː	ˈøː	0.353
ˈɔ	ˈoː	0.324
ˈɛ	ˈɛ	0.304
ˈaɪ̯	ˈiː	0.303
ˈaʊ̯	ˈoː	0.3
ˈɔ	ˈɔ	0.298
ˈeː	ˈɛːɪ̯	0.282
ˈɛ	ˈeː	0.253
f	p	0.253
ˈyː	ˈøː	0.251
ˈyː	-	0.251
ˈiː	-	0.251
ˈɛ	-	0.249
ˈaʊ̯	-	0.246
ˈɔʏ̯	ˈyː	0.221
ˈʊ	-	0.218
ˈeː	ˈeː	0.218
ʁ	-	0.19
ˈiː	ˈæː	0.186
ˈɔ	ˈœ	0.182
v	w	0.181
ˈaː	-	0.168
ˈuː	-	0.144
ˈa	ˈɑː	0.141
ˈuː	ˈœːy̯	0.139
ˈoː	-	0.137
ˈaː	ˈɑ	0.128
ˈa	ˈɑːɑ̯	0.12
ˈaː	ˈɔː	0.117
d̥	-	0.105
ˈaɪ̯	-	0.099
ˈɔ	ˈʊ	0.098
ˈɔ	-	0.098
ˈɛ	ˈɑː	0.097
ˈɛ	ˈeːe̯	0.097
ˈa	ˈɒː	0.096
ə	n	0.095
ˈʊ	ˈɔ	0.087
ˈɪ	-	0.082
ˈaː	ˈɛ	0.082
ˈaː	ˈɒːɒ̯	0.082
ˈɪ	ˈɛ	0.077
t	d	0.071
t	-	0.071
ˈuː	ˈøy̯	0.067
ˈaɪ̯	ˈɪ	0.059
v	-	0.053
