Western Lombard	French	probability
ã	ɑ̃	1.0
b	b	1.0
m	m	1.0
o	u	1.0
p	p	1.0
u	ɔ	1.0
w	-	1.0
z	z	1.0
ʃ	s	1.0
ˈẽː	ɑ̃	1.0
ˈĩː	ɛ̃	1.0
ˈũː	ɔ̃	1.0
ˈyː	œ	1.0
ˈø	œ	1.0
ˈøː	œ	1.0
ˈɛ̃ː	ɑ̃	1.0
a	-	0.051
j	j	0.291
n	-	0.291
s	t_ʁ	0.101
ɲ	ɛ̃	0.421
ˈa	a	0.221
ˈãː	ɛ̃	0.671
ˈe	ɛ	0.451
ˈy	ɥ	0.121
d	-	0.52
e	-	0.622
f	f	0.982
k	k	0.502
ʤ	-	0.202
ˈe	i	0.092
a	a	0.933
l	l	0.83
ˈi	w	0.113
ˈy	ɛ	0.103
i	i	0.254
k	-	0.154
k	ʃ	0.344
s	ʒ	0.064
t	-	0.054
ɡ	-	0.254
ɲ	n	0.054
ʋ	v	0.944
ʦ	s	0.864
ˈaː	ɛ	0.744
ˈe	w_a	0.134
ˈi	y	0.084
ˈɔ	ɔ	0.724
j	-	0.35
s	-	0.175
ɲ	ɲ	0.525
ʧ	-	0.305
ˈe	j_ɛ	0.125
ˈu	y	0.255
ˈɛ	w_a	0.245
i	ə	0.746
r	ʁ	0.986
s	s	0.66
t	t	0.946
ɡ	ɡ	0.746
ʋ	v_w	0.056
ʦ	t	0.136
ʧ	j	0.156
ˈaː	e	0.256
ˈi	i	0.516
ˈɔ	o	0.276
ˈɛ	-	0.176
l	-	0.17
d	d	0.48
e	ə	0.378
ʤ	ʒ	0.798
ˈa	ɛ	0.318
ˈa	e	0.378
ˈe	-	0.198
ˈi	i_ʁ	0.288
ˈu	ɥ_i	0.118
ˈu	u	0.628
ˈy	y	0.708
ˈɛ	ɛ	0.578
j	l	0.359
n	n	0.709
ʧ	s	0.539
ˈãː	ɑ̃	0.329
ˈy	u	0.069
