Logudorese	Walloon	probability
f	f	1.0
j	-	1.0
nː	n	1.0
ŏ	-	1.0
rː	-	1.0
sː	-	1.0
z	-	1.0
ð	-	1.0
ŋ	-	1.0
ɖ	-	1.0
ɖː	-	1.0
ʣ	-	1.0
a	ˈa	0.191
b	v	0.691
d	d	0.891
e	ˈa	0.051
i	-	0.721
m	-	0.401
p	p	0.981
r	ʀ	0.311
s	ʃ	0.051
u	ˈa	0.31
ɡ	ɡ	0.061
ˈi	-	0.1
ˈi	ˈi	0.121
ˈo	ˈøː	0.161
β	f	0.541
a	-	0.222
b	b	0.12
d	ʤ	0.072
e	ˈiː	0.262
k	k	0.372
o	ɔ	0.272
ˈa	ˈa	0.142
ˈu	ˈɔ	0.342
k	-	0.363
u	j	0.163
ɡ	ʤ	0.333
ɣ	-	0.933
ˈi	ˈɛ	0.513
ˈo	ˈuː	0.273
ˈu	ˈøː	0.073
ˈu	ˈu	0.193
l	-	0.204
r	-	0.594
t	t	0.244
ˈe	j	0.214
ˈe	j_ˈɛ	0.224
ˈe	ˈiː	0.274
ˈo	w_ˈa	0.154
ˈo	ˈɔ	0.184
b	ʤ	0.075
e	j	0.195
n	n	0.25
n	-	0.75
r	l	0.095
ˈe	ˈi	0.075
ˈe	ˈeː	0.115
k	ʧ	0.226
l	l	0.796
s	s	0.936
t	-	0.756
ˈa	ˈɑ̃	0.076
ˈa	ˈɔː	0.216
ˈo	ˈoː	0.066
e	ˈɛ	0.17
u	-	0.527
ɡ	-	0.607
ɣ	ɡ	0.067
ˈu	ˈuː	0.257
e	-	0.308
o	-	0.728
ˈa	ˈe	0.108
ˈe	w_ˈɛ	0.098
ˈi	w	0.078
ˈi	ˈiː	0.138
ˈo	-	0.098
a	a	0.569
b	-	0.099
i	ɛ	0.279
m	m	0.599
ˈa	-	0.319
ˈu	ˈy	0.09
β	-	0.459
