Campidanese	Asturian	probability
m	m	1.0
s	s	1.0
v	-	1.0
z	s	1.0
ŋ	ŋ	1.0
ɖː	ʎ	1.0
ɲː	ɲ	1.0
ʃː	ʃ	1.0
ʒ	θ	1.0
ʣ	ʝ	1.0
ʤ	-	1.0
ʦ	θ	1.0
β	β	1.0
k	k	0.901
nː	n	0.211
o	u	0.091
u	u	0.861
ʧ	θ_j	0.181
ˈi	ˈi	0.551
j	j	0.162
l	<#_ɡ	0.142
n	n	0.802
r	-	0.062
ˈa	ˈa	0.832
ˈe	ˈe	0.782
ˈu	ˈo	0.52
a	e	0.053
r	r	0.073
w	w	0.893
ð	ð	0.913
ʧ	ʎ	0.073
e	e	0.964
f	f	0.814
o	-	0.074
o	o	0.834
ɡ	ɣ	0.124
ɣ	ɣ	0.874
ˈo	w_ˈe	0.404
a	a	0.935
b	b_j	0.175
i	e	0.545
p	p_j	0.085
p	p	0.875
r	ɾ	0.715
i	i	0.06
i	u	0.116
t	ʧ	0.136
t	t	0.816
u	-	0.086
ɣ	-	0.126
ʧ	θ	0.746
ˈa	a	0.056
b	b	0.817
j	ɾ	0.17
w	-	0.107
ð	-	0.087
ɡ	-	0.147
d	d	0.978
j	ʝ	0.668
l	l	0.368
r	ʎ	0.138
ˈi	ˈe	0.408
ˈo	o	0.068
ˈu	ˈu	0.48
f	-	0.139
i	-	0.129
i	ˈe	0.129
k	-	0.099
l	ʎ	0.489
n	-	0.149
nː	ɲ	0.789
ɡ	ɡ	0.729
ˈe	j_ˈe	0.189
ˈo	ˈo	0.459
