Ripuarian	Faroese	probability
e	a	1.0
ˈøʏ̯	ˈʊ	1.0
d	d̥	0.341
h	h	0.891
l	l	0.781
p	ʰpː	0.121
p	pʰ	0.181
p	ʰp	0.301
t	d̥	0.071
ɪ	ʊ	0.81
ʀ	ɹ	0.881
ʋ	kʰ_v	0.091
ˈa	ˈɔ̯aː	0.071
ˈa	ˈɛːa̯	0.191
ˈaʊ̯	ˈʉːu̯	0.181
ˈaʊ̯	ˈʏ	0.181
ˈeː	ˈai̯	0.11
ˈiː	ˈɔ̯aː	0.271
ˈyː	ˈʊ	0.151
ˈɛ	ˈɔ	0.091
ˈɪ	ˈʊ̯iː	0.181
ˈʏ	ˈʊ	0.181
d̥	d̥	0.052
d̥	v	0.062
f	f	0.72
k	-	0.122
l	l̥	0.052
ɕ	ʤ̊	0.082
ɕ	v	0.122
ɣ	v̥	0.762
ˈa	ˈa	0.302
ˈaʊ̯	ˈɪ	0.402
ˈeɪ̯	ˈai̯	0.492
ˈeː	ˈʉːu̯	0.052
ˈeː	ˈʏ	0.062
ˈeː	ˈʊ	0.162
ˈiː	ˈʊ̯iː	0.492
ˈuː	ˈɔːi̯	0.072
ˈuː	ˈɪ	0.092
ˈyː	-	0.122
ˈɛː	-	0.052
ˈʊ	ˈʊ	0.342
b	b̥	0.983
j	ɡ̊	0.813
k	k	0.083
m	m	0.823
n	n	0.483
t	-	0.133
v	f	0.053
v̥	v̥	0.103
x	-	0.323
ŋ	-	0.073
ŋ	ŋ	0.353
ɐ	ɪ_ɹ	0.113
ɐ	ɹ	0.523
ɕ	w	0.063
ɕ	ʰtː	0.143
ə	ɪ	0.093
ɣ	j	0.183
ʃ	ʃ	0.323
ˈoː	ˈɔ	0.183
ˈu	ˈuː	0.813
ˈuː	ˈɛːi̯	0.313
ˈyː	ˈiː	0.183
ˈœ	ˈɪ	0.453
ˈɛ	ˈa	0.063
d̥	w	0.094
k	ʧʰ	0.124
k	ɡ̊ː	0.134
m	-	0.14
n	n̥	0.084
z	ʃ	0.164
ɡ̊	d̥	0.474
ˈeɪ̯	ˈɛ	0.114
ˈeɪ̯	ˈʊ̯iː	0.394
ˈeː	ˈɛːa̯	0.094
ˈeː	ˈeː	0.094
ˈiː	ˈa	0.084
ˈo	ˈɔ̯aː	0.094
ˈøː	ˈøː	0.724
ˈʏ	ˈɔ	0.284
d	-	0.235
d̥	-	0.385
n	nː	0.115
s	ʰtː	0.05
s	ʰt	0.125
s	t	0.365
ŋ	nː	0.065
ŋ	n	0.425
ɣ	ʤ̊	0.055
ʦ	t	0.065
ˈeː	ˈɔːu̯	0.095
ˈoʊ̯	ˈʊ	0.5
ˈoʊ̯	ˈɔːi̯	0.5
ˈoː	ˈɛːi̯	0.075
ˈɔ	ˈœ	0.125
ˈɔ	ˈɔ	0.225
ˈɛ	ˈœ	0.085
ˈɪ	ˈɪ	0.575
ˈʏ	ˈiː	0.145
f	v	0.196
n	ʤ̊ː	0.056
n	-	0.126
s	s	0.436
t	ʰt	0.136
t	t	0.66
x	k	0.106
z	s	0.836
ɐ	ɹ_ʊ	0.156
ʦ	-	0.066
ˈaʊ̯	ˈœ	0.076
ˈaʊ̯	ˈɛːi̯	0.16
ˈaː	ˈa	0.296
ˈe	ˈœ	0.056
ˈeː	ˈaːi̯	0.176
ˈoː	ˈɔːu̯	0.246
ˈœ	ˈa	0.16
ˈɛ	ˈʊ̯iː	0.06
ˈɛ	ˈeə̯	0.06
ˈɛ	ˈøː	0.06
ˈɛː	ˈeː	0.116
ˈɛː	ˈuː	0.146
ˈɪ	ˈeː	0.076
d	tʰ	0.347
v̥	v	0.897
x	ʰtː	0.537
ʀ	-	0.07
ʃ	s	0.677
ˈa	ˈeː	0.067
ˈa	ˈɛ	0.07
ˈa	w	0.07
ˈa	ˈɔ	0.167
ˈe	ˈeː	0.07
ˈu	ˈoː	0.187
ˈuː	ˈʊ	0.197
ˈyː	ˈɔːi̯	0.147
ˈœ	ˈʊ	0.387
ˈɔ	ˈɔ̯aː	0.167
ˈɛ	ˈɪ	0.157
j	ʤ̊	0.08
k	kʰ	0.408
l	t_l̥	0.08
p	p	0.148
v	v	0.778
ə	-	0.128
ə	a	0.688
ɡ̊	j	0.08
ɡ̊	ɡ̊	0.428
ʋ	-	0.118
ʋ	v	0.748
ʦ	tʰ	0.658
ˈaː	ˈøː	0.088
ˈaː	ˈɔ	0.178
ˈe	ˈiː	0.108
ˈe	ˈɪ	0.338
ˈiː	ˈɛːa̯	0.068
ˈoː	ˈɛːa̯	0.088
ˈoː	ˈɔ̯aː	0.148
ˈɔ	ˈʊ	0.328
ˈɛ	ˈɛ	0.198
ˈɛː	j	0.138
ˈɛː	ˈa	0.248
ˈʊ	ˈɔ	0.658
d̥	t	0.069
d̥	j	0.339
f	p	0.059
h	j	0.109
j	ʤ̊ː	0.059
p	tː	0.249
v	-	0.169
ŋ	ɲ	0.059
ɐ	ʊ	0.09
ɕ	k	0.509
ɪ	l̥	0.19
ʦ	ʰtː	0.079
ʦ	ʈ	0.089
ˈaː	ˈɛːa̯	0.389
ˈe	ˈʊ̯iː	0.159
ˈe	ˈɛ	0.209
ˈo	ˈʊ	0.839
ˈoː	ˈɛ	0.129
ˈuː	ˈʉːu̯	0.309
ˈyː	ˈʊ̯iː	0.379
ˈøː	ˈɔːi̯	0.149
ˈɔ	ˈuː	0.079
ˈɛ	ˈiː	0.069
ˈɛ	ˈeː	0.119
ˈɛː	ˈøː	0.059
ˈɛː	ˈɛ	0.159
ˈɪ	ˈɛ	0.139
ˈʏ	ˈɪ	0.389
