Ripuarian	Faroese	probability
b	b̥	1.0
d	d̥	0.357
d	tʰ	0.283
d	-	0.281
d	v	0.049
d	ʤ̊	0.033
f	f	0.635
f	v	0.12
f	-	0.104
f	p	0.082
f	v_ʊ	0.043
h	h	1.0
j	ɡ̊	0.721
j	-	0.22
j	ʤ̊	0.051
k	kʰ	0.25
k	ɡ̊_ʊ	0.155
k	d̥_ʊ	0.124
k	-	0.124
k	d̥	0.097
l	l	0.622
l	l̥	0.184
l	l_ʊ	0.118
l	nː	0.036
l	-	0.031
l_ə	l	1.0
m	m	0.633
m	m_ʊ	0.242
m	-	0.12
n	n	0.458
n	-	0.222
n	nː	0.133
n	n̥	0.095
n	m	0.037
p	tː	0.25
p	p	0.19
p	ʰp	0.114
s	s	0.42
s	t	0.385
s	ʰt	0.147
s	sː	0.044
t	-	0.44
t	t	0.258
t	j_ʊ	0.087
t	w	0.076
t	ʰt	0.076
v	v	0.703
v	-	0.164
v	f	0.109
x	ʰtː	0.579
x	k	0.193
x	-	0.193
x	w	0.038
z	s	0.908
z	ʃ	0.091
ŋ	ŋ	0.365
ŋ	n	0.304
ŋ	nː	0.128
ŋ	-	0.074
ŋ	ɲ	0.06
ŋ_k	ʰkː	0.484
ɐ	ɹ	0.446
ɐ	ɪ_ɹ	0.206
ɐ	ʊ_ɹ	0.129
ɐ	-	0.068
ɐ	ɹ_a	0.054
ɕ	ʰtː_ʊ	0.229
ɕ	k	0.188
ɕ	v_ʊ	0.173
ɕ	-	0.114
ɕ	w	0.086
ə	a	0.713
ə	-	0.15
ə	ɪ	0.052
ə	n̥	0.037
ə	ɛ	0.034
ə_l	l	0.484
ɣ	ɡ̊	0.319
ɣ	j	0.098
ɣ	ʤ̊	0.086
ɪ	ʊ	1.0
ʀ	ɹ	0.893
ʀ	r	0.066
ʀ	-	0.046
ʃ	s	0.482
ʃ	ʃ	0.279
ʃ	s_k	0.174
ʃ	f	0.058
ʋ	v	0.619
ʋ	-	0.32
ʋ	ˈʉːu̯	0.06
ʦ	tʰ	0.431
ʦ	t	0.158
ʦ	d̥	0.104
ʦ	-	0.104
ʦ	ʧʰ	0.104
ˈa	ˈa	0.4
ˈa	ˈɛːa̯	0.229
ˈa	ˈɔ	0.142
ˈa	w	0.07
ˈa	ˈɛ	0.056
ˈa_t	ˈɛːa̯	1.0
ˈaʊ̯	ˈɛːi̯	0.416
ˈaʊ̯	ˈɪ	0.239
ˈaʊ̯	ˈʉːu̯	0.239
ˈaʊ̯	ˈœ	0.062
ˈaː	ˈɛːa̯	0.428
ˈaː	ˈɔ	0.229
ˈaː	ˈa	0.174
ˈaː	ˈøː	0.115
ˈaː	ˈiː	0.046
ˈe	ˈiː	0.415
ˈe	ˈɪ	0.283
ˈe	ˈɛ	0.129
ˈe	ˈʊ̯iː	0.108
ˈeɪ̯	ˈʊ̯iː	1.0
ˈeː	ˈai̯	0.211
ˈeː	ˈaːi̯	0.144
ˈeː	ˈɛːa̯	0.124
ˈeː	ˈa	0.095
ˈeː	ˈʏ	0.071
ˈiː	ˈʊ̯iː	0.726
ˈiː	ˈɛːa̯	0.125
ˈiː	ˈɪ	0.052
ˈiː	ˈɔːu̯	0.047
ˈiː	ˈɔ̯aː	0.045
ˈo	ˈʊ	0.78
ˈo	ˈœ	0.219
ˈoː	ˈɔːu̯	0.404
ˈoː	ˈɔ̯aː	0.303
ˈoː	ˈoː	0.099
ˈoː	ˈɛːi̯	0.065
ˈoː	ˈœ	0.065
ˈu	ˈʊ	0.366
ˈu	ˈuː	0.177
ˈuː	ˈʉːu̯	0.408
ˈuː	ˈɛːi̯	0.355
ˈuː	ˈʊ	0.139
ˈuː	ˈɔːi̯	0.071
ˈyː	ˈʊ	0.347
ˈyː	ɹ_ʊ	0.254
ˈyː	ˈɔːi̯	0.229
ˈyː	ʊ	0.041
ˈøː	ˈøː	0.588
ˈøː	ˈɔːi̯	0.21
ˈøː	ˈʊ̯iː	0.065
ˈœ	ˈɪ	0.435
ˈœ	ˈʊ	0.361
ˈœ	ˈa	0.181
ˈɔ	ˈœ	0.247
ˈɔ	ˈʊ	0.247
ˈɔ	ˈɔ	0.215
ˈɔ	ˈuː	0.105
ˈɔ	ˈɔ̯aː	0.079
ˈɛ	ˈœ	0.239
ˈɛ	ˈiː	0.114
ˈɛ	ˈeː	0.114
ˈɛ	ˈɪ	0.09
ˈɛ	ʊ̯ˈiː	0.069
ˈɛː	ˈa	0.296
ˈɛː	j	0.162
ˈɛː	ˈeː	0.122
ˈɛː	ˈøː	0.107
ˈɛː	ˈɛːa̯	0.107
ˈɪ	ˈɪ	0.42
ˈɪ	ˈɛːi̯	0.152
ˈɪ	ˈɛ	0.152
ˈɪ	j	0.139
ˈɪ	ˈʊ̯iː	0.075
ˈɪ_ɕ	ˈeː	0.484
ˈʊ	ˈɔ	1.0
ˈʏ	ˈɔ	0.297
ˈʏ	ˈɪ	0.297
ˈʏ	ˈʊ	0.179
ˈʏ	ˈiː	0.108
