Swedish	Old English	probability
ˈɔ_kː	kː	1.0
ˈœː_r	r	1.0
ˈæː	ˈeo̯	1.0
ˈæ	ˈeo̯	1.0
ˈoː_n	ˈu_n	1.0
ˈiː	ˈiː	1.0
ʊ	n	1.0
ʈː	r_t	1.0
ʈ	t	1.0
ʂ	r_s	1.0
ɳ	r_n	1.0
ɛ_n	n	1.0
ɖ	r_d	1.0
ɔ	iːy̯	1.0
tʰ	θ	1.0
t	t	1.0
r	r	1.0
pː	pː	1.0
pʰ	p	1.0
p	p	1.0
m	m	1.0
lː	ɫː	1.0
jː	ʤː	1.0
j_ˈʉː	d_ˈeːo̯	1.0
h	h	1.0
f	f	1.0
d	d	1.0
b	b	1.0
ˈɪ	ˈi	0.879
s	s	0.82
mː	m	0.79
kʰ	k	0.773
ˈeː	ˈɑː	0.767
n	n	0.764
ŋː	ŋ_ɡ	0.731
ɪ	-	0.728
tː	t	0.691
v	w	0.652
ɕ	ʧ	0.638
s_k	ʃ	0.615
ˈuː	ˈoː	0.607
ɛ	e	0.604
ˈœ	-	0.603
ɡː	ʤ	0.596
ˈyː	w_e	0.575
nː	n	0.574
l	ɫ	0.574
a	ɑ_n	0.571
ŋ	j	0.542
k	ʧ	0.537
ɧ	s	0.529
ˈɵ	ˈu	0.512
ˈɛː	ˈe	0.503
ˈʊ	ˈu_ŋ	0.5
ˈʊ	-	0.5
ˈɔ	ˈo	0.495
ɡ	ɣ	0.486
ɧ	ʃ	0.471
ŋ	-	0.458
ˈʉː	ˈeːo̯	0.456
ˈʏ	ˈy	0.449
ˈa	ˈɑ	0.449
ˈøː	-	0.437
kː	ŋ_k	0.434
nː	nː	0.426
l	l	0.426
ˈyː	ˈeːo̯	0.425
ɡː	ɑ	0.404
ˈɑː	ˈæ	0.386
s_k	ʃː	0.385
ɛ	o	0.373
ˈʉː	ˈuː	0.371
ˈɛ	ˈe	0.368
ˈa	ˈæɑ̯	0.368
ɕ	θ	0.362
kː	k	0.349
ˈøː	ˈæːɑ̯	0.34
ˈʏ	ˈi	0.327
ˈoː	ˈoː	0.322
ɡ	j	0.311
tː	tː	0.309
ˈoː	ˈæː	0.306
ˈɛː	-	0.296
j	-	0.291
j	l	0.29
ˈɑː	ˈɑ	0.288
ˈɔ	ˈu	0.275
v	v	0.275
ɪ	iː	0.272
ŋː	ɡ	0.269
k	k	0.262
ˈuː	ˈo	0.243
j	ˈeo̯	0.242
ˈeː	ˈi	0.233
ˈoː	ˈæːɑ̯	0.232
ˈɔ	-	0.23
a	e	0.23
kʰ	ʧ	0.227
ˈʏ	ˈeːo̯	0.224
ˈøː	ˈeː	0.223
kː	ʧː	0.217
mː	mː	0.21
k	-	0.202
ˈɛː	ˈeːo̯_w	0.201
ˈœ	ˈo	0.201
ˈœ	ˈyː	0.196
ˈɛ	-	0.194
ˈɵ	ˈuː	0.188
ˈɑː	ˈæɑ̯	0.185
j	ɣ̊	0.177
ˈʉː	-	0.174
ˈɵ	ˈo	0.152
ˈuː	-	0.149
ˈɵ	-	0.148
ˈɑː	-	0.141
ˈa	-	0.122
ˈɪ	-	0.121
ˈɛ	ˈi	0.12
n	nː	0.12
ˈɛ	ˈɑː	0.117
ˈɛ	ˈeːo̯	0.117
n	-	0.116
s	z	0.103
ɡ	ʧ	0.102
ɡ	ɣ̊	0.102
ˈoː	ˈɑː	0.1
ˈɛ	ˈɛ	0.084
a	ɑ	0.084
a	-	0.083
s	s_w	0.077
v	h_w	0.072
ˈa	ˈæ	0.061
