Piedmontese	Aragonese	probability
ʧ	θ	1.0
ˈy	ˈu	1.0
ˈø	w_ˈe	1.0
b	b	0.601
l	ʎ_o	0.1
m	m_b	0.051
n	-	0.051
r	r	0.171
t	t_o	0.291
ɡ	ɡ	0.661
ɲ	n	0.271
ˈi	ˈi	0.831
a	a	0.912
i	i	0.312
r	ɾ_o	0.062
s	θ	0.222
w	-	0.132
z	s	0.12
ŋ	-	0.072
ʤ	-	0.102
ˈe	ˈa_ɾ	0.522
ˈɔ	ˈo	0.302
e	j	0.093
j	ʎ_o	0.23
j	l	0.313
p	p	0.993
r	ɾ	0.673
u	e	0.053
u	o	0.883
ˈi	j	0.063
ˈu	ˈo	0.663
d	d_o	0.064
f	f	0.994
i	e	0.134
i	o	0.214
i	-	0.34
j	j	0.064
j	ʎ	0.24
n	n	0.874
r	-	0.094
u	u	0.064
v	β	0.424
z	θ	0.634
ˈu	w_ˈe	0.124
ˈu	ˈu	0.164
ˈɔ	w_ˈe	0.564
ˈɛ	ˈe	0.404
e	e	0.45
j	-	0.125
v	b	0.535
ˈe	ˈe	0.35
ˈɔ	o	0.135
e	ˈe_ɾ	0.356
n	n_o	0.076
s	-	0.06
s	j_ʃ	0.086
ˈi	ˈe	0.106
ˈɛ	j_ˈe	0.56
b	β	0.367
d	d	0.747
l	l	0.827
z	-	0.247
ˈa	ˈa	0.937
e	i	0.08
k	k	0.928
s	s	0.568
t	t_e	0.088
w	w	0.868
ʤ	ʧ	0.898
ˈe	ˈe_ɾ	0.128
d	ð	0.189
m	m	0.949
t	t	0.529
ŋ	n_o	0.09
ŋ	ŋ	0.289
ŋ	n	0.549
ɡ	ɣ	0.339
ɲ	ɲ	0.729
